"Commodity Code","Country or Area Code","Country or Area","Transaction Code","Commodity - Transaction Code","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2013","Metric tons,  thousand","10.26",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2012","Metric tons,  thousand","21.01",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2011","Metric tons,  thousand","34",""
"BT","8","Albania","GA","BTGA","Bitumen - Total energy supply","2010","Metric tons,  thousand","77.58",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2019","Metric tons,  thousand","36.79",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2018","Metric tons,  thousand","7.1",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2017","Metric tons,  thousand","14.81",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2016","Metric tons,  thousand","68",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2015","Metric tons,  thousand","26",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2014","Metric tons,  thousand","1.91",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2013","Metric tons,  thousand","10.26",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2012","Metric tons,  thousand","21.01",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2011","Metric tons,  thousand","34.01",""
"BT","8","Albania","NA","BTNA","Bitumen - Final consumption","2010","Metric tons,  thousand","77.58",""
"BT","12","Algeria","01","BT01","Bitumen - Production","2018","Metric tons,  thousand","115","1"
"BT","12","Algeria","01","BT01","Bitumen - Production","2017","Metric tons,  thousand","127","1"
"BT","12","Algeria","01","BT01","Bitumen - Production","2016","Metric tons,  thousand","144","1"
"BT","12","Algeria","01","BT01","Bitumen - Production","2015","Metric tons,  thousand","115",""
"BT","12","Algeria","01","BT01","Bitumen - Production","2014","Metric tons,  thousand","99",""
"BT","12","Algeria","01","BT01","Bitumen - Production","2013","Metric tons,  thousand","159",""
"BT","12","Algeria","01","BT01","Bitumen - Production","2012","Metric tons,  thousand","209",""
"BT","12","Algeria","01","BT01","Bitumen - Production","2011","Metric tons,  thousand","175",""
"BT","12","Algeria","01","BT01","Bitumen - Production","2010","Metric tons,  thousand","209",""
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2018","Metric tons,  thousand","115","1"
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2017","Metric tons,  thousand","127","1"
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2016","Metric tons,  thousand","144","1"
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2015","Metric tons,  thousand","115",""
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2014","Metric tons,  thousand","99",""
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2013","Metric tons,  thousand","159",""
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2012","Metric tons,  thousand","209",""
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2011","Metric tons,  thousand","175",""
"BT","12","Algeria","013","BT013","Bitumen - production from refineries","2010","Metric tons,  thousand","209",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2018","Metric tons,  thousand","276",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2017","Metric tons,  thousand","255",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2016","Metric tons,  thousand","321",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2015","Metric tons,  thousand","388",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2014","Metric tons,  thousand","772",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2013","Metric tons,  thousand","729",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2012","Metric tons,  thousand","214",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2011","Metric tons,  thousand","240",""
"BT","12","Algeria","03","BT03","Bitumen - Imports","2010","Metric tons,  thousand","323",""
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2018","Metric tons,  thousand","391","1"
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2017","Metric tons,  thousand","382","1"
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2016","Metric tons,  thousand","465","1"
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2015","Metric tons,  thousand","503",""
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2014","Metric tons,  thousand","871",""
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2013","Metric tons,  thousand","888",""
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2012","Metric tons,  thousand","423",""
"BT","12","Algeria","11","BT11","Bitumen - Non-energy uses","2011","Metric tons,  thousand","415",""
