udise_district_code,udise_block_code,block_name
3329,udiseCode/332902,Ambasamudram
1603,udiseCode/160301,Ambassa
1603,udiseCode/160309,Ambassa M.C
2725,udiseCode/272501,Ambegaon
0812,udiseCode/081206,Amber
2721,udiseCode/272115,Ambernath
3622,udiseCode/362204,Amberpet
2202,udiseCode/220201,Ambikapur
0919,udiseCode/091913,Ambiyapur
2407,udiseCode/240712,Amc
1010,udiseCode/101015,Amdabad
1911,udiseCode/191101,Amdanga
3616,udiseCode/361625,Ameenpur
3622,udiseCode/362201,Ameerpet
0825,udiseCode/082503,Amet
0949,udiseCode/094925,Amethi
0973,udiseCode/097302,Amethi
2711,udiseCode/271102,Amgaon
1816,udiseCode/181603,Amguri
3101,udiseCode/310102,Amini
2402,udiseCode/240201,Amirgadh
2335,udiseCode/233501,Amla
1707,udiseCode/170703,Amlarem
0308,udiseCode/030802,Amloh
3310,udiseCode/331001,Ammapettai-Erode
3321,udiseCode/332109,Ammapettai-Tnj
1017,udiseCode/101701,Amnour
2421,udiseCode/242101,Amod
1009,udiseCode/100903,Amour
1607,udiseCode/160705,Ampinagar
3628,udiseCode/362813,Amrabad
2010,udiseCode/201012,Amrapara
2707,udiseCode/270702,Amravati
2707,udiseCode/270715,Amravati Mc
2413,udiseCode/241301,Amreli
1819,udiseCode/181901,Amri
1833,udiseCode/183301,Amri
0906,udiseCode/090618,Amroha
0906,udiseCode/090622,Amroha City
2817,udiseCode/281749,Amruthaluru
1916,udiseCode/191601,Amta-I
1916,udiseCode/191602,Amta-Ii
3304,udiseCode/330412,Anaicut
3312,udiseCode/331207,Anaimalai
2813,udiseCode/281371,Anakapalle
2813,udiseCode/281333,Anakapalli
3306,udiseCode/330603,Anakkavur
2415,udiseCode/241501,Anand
2106,udiseCode/210601,Anandapur
2813,udiseCode/281325,Anandapuram
2106,udiseCode/210614,Anandapur Mpl
0957,udiseCode/095713,Anand Nagar
2017,udiseCode/201724,Anandpur
0828,udiseCode/082805,Anandpuri
0307,udiseCode/030701,Anandpur Sahib
2822,udiseCode/282225,Anantapur
2813,udiseCode/281306,Ananthagiri
3630,udiseCode/363014,Ananthagiri
2819,udiseCode/281921,Ananthasagaram
0106,udiseCode/010603,Anantnag
2814,udiseCode/281433,Anaparthi
3213,udiseCode/321301,Anchal
1909,udiseCode/190901,Andal
1926,udiseCode/192601,Andal
0316,udiseCode/031602,Andana 
1016,udiseCode/101601,Andar
3315,udiseCode/331501,Andhanallur
1005,udiseCode/100501,Andharathadhi
3616,udiseCode/361615,Andhole
3316,udiseCode/331608,Andimadam
3332,udiseCode/333208,Andimadam
3604,udiseCode/360426,Andole
3101,udiseCode/310103,Andrott
2920,udiseCode/292004,Anekal
1210,udiseCode/121003,Anelih-Arzu
3208,udiseCode/320802,Angamaly
2014,udiseCode/201410,Angara
2115,udiseCode/211501,Angul
2115,udiseCode/211509,Angul Mpl
1210,udiseCode/121001,Anini-Mipi
2707,udiseCode/270703,Anjangaon Surji
2401,udiseCode/240104,Anjar
2415,udiseCode/241502,Anklav
2421,udiseCode/242102,Ankleshwar
2910,udiseCode/291001,Ankola
3318,udiseCode/331802,Annagrammam
3609,udiseCode/360913,Annapureddipalle
3322,udiseCode/332202,Annavasal
0204,udiseCode/020405,Anni
3312,udiseCode/331215,Annur
0801,udiseCode/080109,Anoopgarh
0911,udiseCode/091113,Anoopshahar
0911,udiseCode/091124,Anoopshahrnagarkshetr
0831,udiseCode/083102,Anta
2214,udiseCode/221403,Antagarh
3607,udiseCode/360703,Antargoan
3207,udiseCode/320701,Anthikkad
3310,udiseCode/331002,Anthiyur
2819,udiseCode/281913,Anumasamudrampet
3608,udiseCode/360851,Anumula
3629,udiseCode/362916,Anumula Haliya
2347,udiseCode/234701,Anuppur
0920,udiseCode/092012,Aonla
1029,udiseCode/102901,Ara
0821,udiseCode/082102,Arain
0967,udiseCode/096705,Arajilines
2923,udiseCode/292302,Arakalagudu
3304,udiseCode/330401,Arakkonam
3209,udiseCode/320902,Arakulam
2813,udiseCode/281305,Arakuvalley
1912,udiseCode/191208,Arambagh
1912,udiseCode/191222,Arambagh  Municipality
2211,udiseCode/221122,Arang
3212,udiseCode/321202,Aranmula
3322,udiseCode/332211,Aranthangi
