udise_state_code,udise_district_code,district_name
36,udiseCode/3601,Adilabad
23,udiseCode/2351,Agar Malwa
09,udiseCode/0915,Agra
27,udiseCode/2726,Ahmadnagar
24,udiseCode/2407,Ahmedabad
15,udiseCode/1503,Aizawl
08,udiseCode/0821,Ajmer
27,udiseCode/2705,Akola
32,udiseCode/3211,Alappuzha
09,udiseCode/0912,Aligarh
19,udiseCode/1922,Alipurduar
23,udiseCode/2349,Alirajpur
09,udiseCode/0945,Allahabad
05,udiseCode/0509,Almora
08,udiseCode/0806,Alwar
06,udiseCode/0602,Ambala
09,udiseCode/0948,Ambedkar Nagar
09,udiseCode/0973,Amethi - Csm Nagar
27,udiseCode/2707,Amravati
24,udiseCode/2413,Amreli
03,udiseCode/0302,Amritsar
24,udiseCode/2415,Anand
28,udiseCode/2822,Anantapur
01,udiseCode/0106,Anantnag
35,udiseCode/3501,Andamans
21,udiseCode/2115,Angul
12,udiseCode/1216,Anjaw
23,udiseCode/2347,Anuppur
10,udiseCode/1007,Araria
24,udiseCode/2427,Aravalli
33,udiseCode/3332,Ariyalur
10,udiseCode/1038,Arwal
23,udiseCode/2346,Ashoknagar
09,udiseCode/0932,Auraiya
10,udiseCode/1034,Aurangabad (Bihar)
27,udiseCode/2719,Aurangabad (Maharashtra)
09,udiseCode/0961,Azamgarh
01,udiseCode/0104,Badgam
29,udiseCode/2902,Bagalkot
05,udiseCode/0508,Bageshwar
09,udiseCode/0908,Baghpat
09,udiseCode/0950,Bahraich
18,udiseCode/1824,Baksa
23,udiseCode/2345,Balaghat
21,udiseCode/2108,Balasore
29,udiseCode/2912,Ballari
09,udiseCode/0963,Ballia
22,udiseCode/2222,Balod
22,udiseCode/2224,Balodabazar
09,udiseCode/0952,Balrampur
22,udiseCode/2226,Balrampur
24,udiseCode/2402,Banas Kantha
09,udiseCode/0940,Banda
01,udiseCode/0116,Bandipora
10,udiseCode/1023,Banka
19,udiseCode/1913,Bankura
08,udiseCode/0828,Banswara
09,udiseCode/0946,Barabanki
21,udiseCode/2101,Baragarh
01,udiseCode/0102,Baramula
08,udiseCode/0831,Baran
09,udiseCode/0920,Bareilly
08,udiseCode/0817,Barmer
03,udiseCode/0320,Barnala
18,udiseCode/1805,Barpeta
23,udiseCode/2328,Barwani
22,udiseCode/2215,Baster
09,udiseCode/0955,Basti
03,udiseCode/0314,Bathinda
10,udiseCode/1020,Begusarai
29,udiseCode/2901,Belagavi
29,udiseCode/2930,Belagavi Chikkodi
22,udiseCode/2223,Bemetara
29,udiseCode/2921,Bengaluru Rural
29,udiseCode/2928,Bengaluru U North
29,udiseCode/2920,Bengaluru U South
23,udiseCode/2335,Betul
09,udiseCode/0971,Bhadoi
36,udiseCode/3609,Bhadradri
21,udiseCode/2109,Bhadrak
10,udiseCode/1022,Bhagalpur
27,udiseCode/2710,Bhandara
08,udiseCode/0807,Bharatpur
24,udiseCode/2421,Bharuch
24,udiseCode/2414,Bhavnagar
08,udiseCode/0824,Bhilwara
23,udiseCode/2303,Bhind
06,udiseCode/0613,Bhiwani
10,udiseCode/1029,Bhojpur
23,udiseCode/2332,Bhopal
27,udiseCode/2727,Bid
29,udiseCode/2905,Bidar
22,udiseCode/2220,Bijapur
09,udiseCode/0903,Bijnor
08,udiseCode/0803,Bikaner
22,udiseCode/2207,Bilaspur
02,udiseCode/0208,Bilaspur (H.P.)
19,udiseCode/1908,Birbhum
14,udiseCode/1404,Bishnupur
18,udiseCode/1828,Biswanath
20,udiseCode/2013,Bokaro
21,udiseCode/2124,Bolangir
18,udiseCode/1804,Bongaigaon
24,udiseCode/2428,Botad
21,udiseCode/2122,Boudh
09,udiseCode/0919,Budaun
09,udiseCode/0911,Bulandshahr
27,udiseCode/2704,Buldana
08,udiseCode/0823,Bundi
23,udiseCode/2348,Burhanpur
10,udiseCode/1030,Buxar
18,udiseCode/1821,Cachar
12,udiseCode/1223,Capital Complex Itanagar
07,udiseCode/0721,Central
29,udiseCode/2927,Chamarajanagara
02,udiseCode/0201,Chamba
05,udiseCode/0502,Chamoli
05,udiseCode/0510,Champawat
15,udiseCode/1504,Champhai
09,udiseCode/0966,Chandauli
14,udiseCode/1409,Chandel
04,udiseCode/0401,Chandigarh
27,udiseCode/2713,Chandrapur
12,udiseCode/1212,Changlang
18,udiseCode/1829,Charaideo
06,udiseCode/0622,Charkhi Dadri
20,udiseCode/2003,Chatra
33,udiseCode/3302,Chennai
23,udiseCode/2309,Chhatarpur
23,udiseCode/2343,Chhindwara
24,udiseCode/2432,Chhotaudepur
29,udiseCode/2929,Chikkaballapura
29,udiseCode/2917,Chikkamangaluru
18,udiseCode/1825,Chirang
29,udiseCode/2913,Chitradurga
09,udiseCode/0941,Chitrakoot
08,udiseCode/0829,Chittaurgarh
28,udiseCode/2823,Chittoor
14,udiseCode/1403,Churachandpur
08,udiseCode/0804,Churu
33,udiseCode/3312,Coimbatore
19,udiseCode/1903,Cooch Bihar
33,udiseCode/3318,Cuddalore
21,udiseCode/2112,Cuttack
26,udiseCode/2601,Dadra And Nagar Haveli(Ut)
29,udiseCode/2924,Dakshina Kannada
19,udiseCode/1905,Dakshin Dinajpur
25,udiseCode/2502,Daman
23,udiseCode/2312,Damoh
22,udiseCode/2216,Dantewada
10,udiseCode/1013,Darbhanga
19,udiseCode/1901,Darjeeling
18,udiseCode/1808,Darrang
23,udiseCode/2305,Datia
08,udiseCode/0811,Dausa
29,udiseCode/2914,Davanagere
05,udiseCode/0505,Dehradun
21,udiseCode/2104,Deogarh
20,udiseCode/2007,Deoghar
09,udiseCode/0960,Deoria
24,udiseCode/2429,Devbhoomi Dwarka
23,udiseCode/2323,Dewas
16,udiseCode/1603,Dhalai
22,udiseCode/2213,Dhamtari
20,udiseCode/2012,Dhanbad
23,udiseCode/2325,Dhar
33,udiseCode/3305,Dharmapuri
29,udiseCode/2909,Dharwad
08,udiseCode/0808,Dhaulpur
18,udiseCode/1813,Dhemaji
21,udiseCode/2114,Dhenkanal
18,udiseCode/1802,Dhubri
27,udiseCode/2702,Dhule
12,udiseCode/1210,Dibang Valley
18,udiseCode/1815,Dibrugarh
18,udiseCode/1820,Dima Hasao
13,udiseCode/1306,Dimapur
33,udiseCode/3313,Dindigul
23,udiseCode/2341,Dindori
25,udiseCode/2501,Diu
01,udiseCode/0109,Doda
24,udiseCode/2418,Dohad
20,udiseCode/2011,Dumka
08,udiseCode/0827,Dungarpur
22,udiseCode/2210,Durg
07,udiseCode/0710,East
17,udiseCode/1702,East Garo Hills
28,udiseCode/2814,East Godavari
17,udiseCode/1709,East Jaintia Hills
12,udiseCode/1203,East Kameng
17,udiseCode/1706,East Khasi Hills
12,udiseCode/1208,East Siang
11,udiseCode/1104,East Sikkim
32,udiseCode/3208,Ernakulam
33,udiseCode/3310,Erode
09,udiseCode/0917,Etah
09,udiseCode/0931,Etawah
09,udiseCode/0947,Faizabad
06,udiseCode/0619,Faridabad
03,udiseCode/0313,Faridkot
09,udiseCode/0929,Farrukhabad
06,udiseCode/0610,Fatehabad
03,udiseCode/0308,Fatehgarh Sahib
09,udiseCode/0942,Fatehpur
03,udiseCode/0321,Fazilka
09,udiseCode/0916,Firozabad
03,udiseCode/0311,Firozpur
29,udiseCode/2908,Gadag
27,udiseCode/2712,Gadchiroli
21,udiseCode/2120,Gajapati
01,udiseCode/0119,Ganderbal
24,udiseCode/2406,Gandhinagar
08,udiseCode/0801,Ganganagar
21,udiseCode/2119,Ganjam
20,udiseCode/2001,Garhwa
22,udiseCode/2225,Gariaband
09,udiseCode/0910,Gautam Buddha Nagar
10,udiseCode/1035,Gaya
09,udiseCode/0909,Ghaziabad
09,udiseCode/0965,Ghazipur
20,udiseCode/2006,Giridih
24,udiseCode/2430,Gir Somnath
18,udiseCode/1803,Goalpara
20,udiseCode/2008,Godda
18,udiseCode/1818,Golaghat
16,udiseCode/1607,Gomati
09,udiseCode/0953,Gonda
27,udiseCode/2711,Gondiya
10,udiseCode/1015,Gopalganj
09,udiseCode/0958,Gorakhpur
20,udiseCode/2016,Gumla
23,udiseCode/2307,Guna
28,udiseCode/2817,Guntur
03,udiseCode/0301,Gurdaspur
06,udiseCode/0618,Gurugram
23,udiseCode/2304,Gwalior
18,udiseCode/1823,Hailakandi
02,udiseCode/0206,Hamirpur (H.P.)
09,udiseCode/0938,Hamirpur (U.P.)
08,udiseCode/0802,Hanumangarh
09,udiseCode/0975,Hapur (Panchsheel Nagar)
23,udiseCode/2336,Harda
09,udiseCode/0925,Hardoi
05,udiseCode/0513,Hardwar
29,udiseCode/2923,Hassan
09,udiseCode/0913,Hathras
29,udiseCode/2911,Haveri
20,udiseCode/2004,Hazaribag
27,udiseCode/2716,Hingoli
06,udiseCode/0612,Hisar
18,udiseCode/1830,Hojai
19,udiseCode/1912,Hooghly
23,udiseCode/2337,Hoshangabad
03,udiseCode/0305,Hoshiarpur
19,udiseCode/1916,Howrah
36,udiseCode/3622,Hyderabad
32,udiseCode/3209,Idukki
14,udiseCode/1407,Imphal East
14,udiseCode/1406,Imphal West
23,udiseCode/2326,Indore
23,udiseCode/2339,Jabalpur
21,udiseCode/2111,Jagatsinghpur
36,udiseCode/3606,Jagtial
08,udiseCode/0812,Jaipur
08,udiseCode/0816,Jaisalmer
21,udiseCode/2113,Jajpur
03,udiseCode/0304,Jalandhar
09,udiseCode/0935,Jalaun
27,udiseCode/2703,Jalgaon
27,udiseCode/2718,Jalna
08,udiseCode/0818,Jalor
19,udiseCode/1902,Jalpaiguri
01,udiseCode/0113,Jammu
24,udiseCode/2410,Jamnagar
20,udiseCode/2019,Jamtara
10,udiseCode/1037,Jamui
36,udiseCode/3619,Jangaon
22,udiseCode/2206,Janjgir - Champa
22,udiseCode/2203,Jashpur
09,udiseCode/0964,Jaunpur
36,udiseCode/3608,Jayashankar
