FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,value
Q,Y,IRL,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2020-Q3,10.372711376
Q,Y,EST,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2025-Q2,0.63445928
Q,Y,AUT,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2024-Q4,0.01696084
Q,Y,G7,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2022-Q3,2.272068254
Q,Y,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2025-Q2,0.536911867
Q,Y,AUT,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2022-Q4,4.312431394
Q,Y,ISR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2022-Q4,2.920826064
Q,Y,POL,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2024-Q3,0.103964381
Q,Y,NLD,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022-Q1,1.255704574
Q,Y,AUT,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2025-Q1,1.572901647
Q,Y,JPN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2023-Q3,-0.81010547
Q,Y,ITA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2022-Q3,4.038829225
Q,Y,G20,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q2,3.82159
Q,Y,GBR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2024-Q4,3.389732289
Q,Y,FIN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q2,-0.470108367
Q,Y,FIN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2020-Q4,-1.144597291
Q,Y,FIN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2020-Q3,-2.108929259
Q,Y,BEL,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2020-Q4,-0.456132651
Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2024-Q4,4.654348669
Q,Y,SVK,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2024-Q1,3.017313398
Q,Y,FIN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2020-Q1,-0.211768
Q,Y,AUT,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2021-Q4,1.211245897
Q,Y,OECD,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2020-Q3,-3.298589865
Q,Y,CRI,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2021-Q2,10.35553794
Q,Y,DNK,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GY,T0102,2023-Q4,1.481306509
Q,Y,TUR,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,GCM,T0102,2025-Q1,30.54970919
Q,Y,ZAF,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2023-Q1,0.69190442
Q,Y,FIN,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2024-Q1,0.719984433
Q,Y,POL,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2021-Q2,2.541682346
Q,Y,AUT,S1,S1,B1GQ,_Z,_Z,_Z,PC,L,G1,T0102,2022-Q4,0.014810946
