"NumPlaces","ScalingFactors","StatVar","MeasurementMethods","observationPeriods","Units","MinDate"
"1","[]","Count_Person_55To59Years","[]","[]","[]","2021"
"1","[]","Count_Person_25To29Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_5To9Years","[]","[]","[]","2021"
"1","[]","Count_Person_75To79Years_Female","[]","[]","[]","2024"
"1","[]","Count_Person_10To14Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_75To79Years","[]","[]","[]","2024"
"1","[]","Count_Person_30To34Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_40To44Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_60To64Years","[]","[]","[]","2021"
"1","[]","Count_Person_40To44Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_20To24Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_35To39Years","[]","[]","[]","2021"
"1","[]","Count_Person_10To14Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_85OrMoreYears_Female","[]","[]","[]","2024"
"1","[]","Count_Person_75To79Years_Male","[]","[]","[]","2024"
"1","[]","Count_Person_45To49Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person","[]","[]","[]","2021"
"1","[]","Count_Person_15To19Years","[]","[]","[]","2021"
"1","[]","Count_Person_65OrMoreYears_Female","[]","[]","[]","2021"
"1","[]","Count_Person_65To69Years_Male","[]","[]","[]","2024"
"1","[]","Count_Person_80To84Years","[]","[]","[]","2024"
"1","[]","Count_Person_30To34Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_55To59Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_60To64Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_15To19Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_30To34Years","[]","[]","[]","2021"
"1","[]","Count_Person_65To69Years","[]","[]","[]","2024"
"1","[]","Count_Person_50To54Years","[]","[]","[]","2021"
"1","[]","Count_Person_0To4Years","[]","[]","[]","2021"
"1","[]","Count_Person_25To29Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_15To19Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_5To9Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_50To54Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_35To39Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_45To49Years","[]","[]","[]","2021"
"1","[]","Count_Person_5To9Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_0To4Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_45To49Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_35To39Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_80To84Years_Male","[]","[]","[]","2024"
"1","[]","Count_Person_70To74Years","[]","[]","[]","2024"
"1","[]","Count_Person_85OrMoreYears","[]","[]","[]","2024"
"1","[]","Count_Person_85OrMoreYears_Male","[]","[]","[]","2024"
"1","[]","Count_Person_65OrMoreYears","[]","[]","[]","2021"
"1","[]","Count_Person_65To69Years_Female","[]","[]","[]","2024"
"1","[]","Count_Person_70To74Years_Female","[]","[]","[]","2024"
"1","[]","Count_Person_20To24Years","[]","[]","[]","2021"
"1","[]","Count_Person_50To54Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_10To14Years","[]","[]","[]","2021"
"1","[]","Count_Person_60To64Years_Male","[]","[]","[]","2021"
"1","[]","Count_Person_70To74Years_Male","[]","[]","[]","2024"
"1","[]","Count_Person_Male","[]","[]","[]","2021"
"1","[]","Count_Person_25To29Years","[]","[]","[]","2021"
"1","[]","Count_Person_55To59Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_80To84Years_Female","[]","[]","[]","2024"
"1","[]","Count_Person_Female","[]","[]","[]","2021"
"1","[]","Count_Person_20To24Years_Female","[]","[]","[]","2021"
"1","[]","Count_Person_40To44Years","[]","[]","[]","2021"
"1","[]","Count_Person_65OrMoreYears_Male","[]","[]","[]","2021"
"1","[]","Count_Person_0To4Years_Male","[]","[]","[]","2021"
