"observationPeriods","Units","MeasurementMethods","StatVar","NumPlaces","ScalingFactors","MinDate"
"[]","[]","[]","Count_Teacher_FullTimeEmployee","104523","[]","2018"
"[]","[]","[]","Count_Faculty_FullTimeEmployee_SchoolPsychologist","104534","[]","2018"
"[]","[]","[]","Count_Faculty_FullTimeEmployee_SchoolCounselor","104521","[]","2018"
"[]","[]","[]","Count_Teacher_CurrentSchoolYear","97611","[]","2018"
"[]","[]","[]","Count_Faculty_FullTimeEmployee_LawEnforcementOfficer","104142","[]","2018"
"[]","[]","[]","Count_Teacher_AbsentMoreThan10Days_FullTimeEmployee","97609","[]","2018"
"[]","[]","[]","Count_Teacher_FullTimeEmployee_FirstYear","97609","[]","2018"
"[]","[]","[]","Count_Teacher_FullTimeEmployee_SecondYear","97609","[]","2018"
"[]","[]","[]","Count_Teacher_Certified_FullTimeEmployee","104523","[]","2018"
"[]","[]","[]","Count_Faculty_FullTimeEmployee_SocialWorker","104534","[]","2018"
"[]","[]","[]","Count_Faculty_FullTimeEmployee_Nurse","104534","[]","2018"
"[]","[]","[]","Count_Teacher_PreviousSchoolYear","97601","[]","2018"
"[]","[]","[]","Count_Faculty_FullTimeEmployee_SecurityGuard","103585","[]","2018"
"[]","[]","[]","Count_Teacher_NotCertified_FullTimeEmployee","104522","[]","2018"
