State,District,Subdistt,Town/Village,Ward,EB,Level,Name,census_location_id,dcid,errors
00,000,00000,000000,0000,000000,India,India,COI2011-00-000-00000-000000-0000-000000,country/IND,
01,000,00000,000000,0000,000000,STATE,JAMMU & KASHMIR,COI2011-01-000-00000-000000-0000-000000,wikidataId/Q66278313,
