State,District,Subdistt,Town/Village,Ward,EB,Level,Name,census_location_id
00,000,00000,000000,0000,000000,India,India,COI2011-00-000-00000-000000-0000-000000
01,000,00000,000000,0000,000000,STATE,JAMMU & KASHMIR,COI2011-01-000-00000-000000-0000-000000
01,001,00000,000000,0000,000000,DISTRICT,Kupwara,COI2011-01-001-00000-000000-0000-000000
01,002,00000,000000,0000,000000,DISTRICT,Badgam,COI2011-01-002-00000-000000-0000-000000
01,003,00000,000000,0000,000000,DISTRICT,Leh(Ladakh),COI2011-01-003-00000-000000-0000-000000
01,004,00000,000000,0000,000000,DISTRICT,Kargil,COI2011-01-004-00000-000000-0000-000000
01,005,00000,000000,0000,000000,DISTRICT,Punch,COI2011-01-005-00000-000000-0000-000000
01,006,00000,000000,0000,000000,DISTRICT,Rajouri,COI2011-01-006-00000-000000-0000-000000
01,007,00000,000000,0000,000000,DISTRICT,Kathua,COI2011-01-007-00000-000000-0000-000000
01,008,00000,000000,0000,000000,DISTRICT,Baramula,COI2011-01-008-00000-000000-0000-000000
01,009,00000,000000,0000,000000,DISTRICT,Bandipore,COI2011-01-009-00000-000000-0000-000000
01,010,00000,000000,0000,000000,DISTRICT,Srinagar,COI2011-01-010-00000-000000-0000-000000
01,011,00000,000000,0000,000000,DISTRICT,Ganderbal,COI2011-01-011-00000-000000-0000-000000
01,012,00000,000000,0000,000000,DISTRICT,Pulwama,COI2011-01-012-00000-000000-0000-000000
01,013,00000,000000,0000,000000,DISTRICT,Shupiyan,COI2011-01-013-00000-000000-0000-000000
01,014,00000,000000,0000,000000,DISTRICT,Anantnag,COI2011-01-014-00000-000000-0000-000000
01,015,00000,000000,0000,000000,DISTRICT,Kulgam,COI2011-01-015-00000-000000-0000-000000
01,016,00000,000000,0000,000000,DISTRICT,Doda,COI2011-01-016-00000-000000-0000-000000
01,017,00000,000000,0000,000000,DISTRICT,Ramban,COI2011-01-017-00000-000000-0000-000000
01,018,00000,000000,0000,000000,DISTRICT,Kishtwar,COI2011-01-018-00000-000000-0000-000000
01,019,00000,000000,0000,000000,DISTRICT,Udhampur,COI2011-01-019-00000-000000-0000-000000
01,020,00000,000000,0000,000000,DISTRICT,Reasi,COI2011-01-020-00000-000000-0000-000000
01,021,00000,000000,0000,000000,DISTRICT,Jammu,COI2011-01-021-00000-000000-0000-000000
01,022,00000,000000,0000,000000,DISTRICT,Samba,COI2011-01-022-00000-000000-0000-000000
02,000,00000,000000,0000,000000,STATE,HIMACHAL PRADESH,COI2011-02-000-00000-000000-0000-000000
02,023,00000,000000,0000,000000,DISTRICT,Chamba,COI2011-02-023-00000-000000-0000-000000
02,024,00000,000000,0000,000000,DISTRICT,Kangra,COI2011-02-024-00000-000000-0000-000000
02,025,00000,000000,0000,000000,DISTRICT,Lahul & Spiti,COI2011-02-025-00000-000000-0000-000000
02,026,00000,000000,0000,000000,DISTRICT,Kullu,COI2011-02-026-00000-000000-0000-000000
02,027,00000,000000,0000,000000,DISTRICT,Mandi,COI2011-02-027-00000-000000-0000-000000
02,028,00000,000000,0000,000000,DISTRICT,Hamirpur,COI2011-02-028-00000-000000-0000-000000
02,029,00000,000000,0000,000000,DISTRICT,Una,COI2011-02-029-00000-000000-0000-000000
02,030,00000,000000,0000,000000,DISTRICT,Bilaspur,COI2011-02-030-00000-000000-0000-000000
02,031,00000,000000,0000,000000,DISTRICT,Solan,COI2011-02-031-00000-000000-0000-000000
02,032,00000,000000,0000,000000,DISTRICT,Sirmaur,COI2011-02-032-00000-000000-0000-000000
02,033,00000,000000,0000,000000,DISTRICT,Shimla,COI2011-02-033-00000-000000-0000-000000
02,034,00000,000000,0000,000000,DISTRICT,Kinnaur,COI2011-02-034-00000-000000-0000-000000
03,000,00000,000000,0000,000000,STATE,PUNJAB,COI2011-03-000-00000-000000-0000-000000
03,035,00000,000000,0000,000000,DISTRICT,Gurdaspur,COI2011-03-035-00000-000000-0000-000000
03,036,00000,000000,0000,000000,DISTRICT,Kapurthala ,COI2011-03-036-00000-000000-0000-000000
03,037,00000,000000,0000,000000,DISTRICT,Jalandhar,COI2011-03-037-00000-000000-0000-000000
03,038,00000,000000,0000,000000,DISTRICT,Hoshiarpur,COI2011-03-038-00000-000000-0000-000000
03,039,00000,000000,0000,000000,DISTRICT,Shahid Bhagat Singh Nagar ,COI2011-03-039-00000-000000-0000-000000
03,040,00000,000000,0000,000000,DISTRICT,Fatehgarh Sahib,COI2011-03-040-00000-000000-0000-000000
