S No,District_Code,District_Name_English,District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
1,603,NICOBARS,NICOBARS,ANDAMAN AND NICOBAR ISLANDS(State),NIC,02,638,Not Covered,,,,
2,632,NORTH AND MIDDLE ANDAMAN,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS(State),NMA,,639,Not Covered,,,,
3,602,SOUTH ANDAMANS,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS(State),SAS,01,640,Not Covered,,,,
4,745,Alluri Sitharama Raju,Alluri Sitharama Raju,ANDHRA PRADESH(State),,,000,Not Covered,,,,
5,744,Anakapalli,Anakapalli,ANDHRA PRADESH(State),,,000,Not Covered,,,,
6,502,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH(State),ANT,22,553,Not Covered,,,,
7,753,Annamayya,Annamayya,ANDHRA PRADESH(State),,,000,Not Covered,,,,
8,750,Bapatla,Bapatla,ANDHRA PRADESH(State),,,000,Not Covered,,,,
9,503,CHITTOOR,CHITTOOR,ANDHRA PRADESH(State),CHI,23,554,Not Covered,,,,
10,505,EAST GODAVARI,EAST GODAVARI,ANDHRA PRADESH(State),EGI,14,545,Not Covered,,,,
11,748,Eluru,Eluru,ANDHRA PRADESH(State),,,000,Not Covered,,,,
12,506,GUNTUR,GUNTUR,ANDHRA PRADESH(State),GNT,17,548,Not Covered,,,,
13,746,Kakinada,Kakinada,ANDHRA PRADESH(State),,,000,Not Covered,,,,
14,747,Konaseema,Konaseema,ANDHRA PRADESH(State),,,000,Not Covered,,,,
15,510,KRISHNA,KRISHNA,ANDHRA PRADESH(State),KRS,16,547,Not Covered,,,,
16,511,KURNOOL,KURNOOL,ANDHRA PRADESH(State),KUR,21,552,Not Covered,,,,
17,755,Nandyal,Nandyal,ANDHRA PRADESH(State),,,000,Not Covered,,,,
18,749,NTR,NTR,ANDHRA PRADESH(State),,,000,Not Covered,,,,
19,751,Palnadu,Palnadu,ANDHRA PRADESH(State),,,000,Not Covered,,,,
20,743,Parvathipuram Manyam,Parvathipuram Manyam,ANDHRA PRADESH(State),,,000,Not Covered,,,,
21,517,PRAKASAM,PRAKASAM,ANDHRA PRADESH(State),PRA,18,549,Not Covered,,,,
22,515,SPSR NELLORE,SPSR NELLORE,ANDHRA PRADESH(State),NEL,19,550,Not Covered,,,,
23,519,SRIKAKULAM,SRIKAKULAM,ANDHRA PRADESH(State),SRK,11,542,Not Covered,,,,
24,754,Sri Sathya Sai,Sri Sathya Sai,ANDHRA PRADESH(State),,,000,Not Covered,,,,
25,752,Tirupati,Tirupati,ANDHRA PRADESH(State),,,000,Not Covered,,,,
26,520,VISAKHAPATANAM,VISAKHAPATANAM,ANDHRA PRADESH(State),VSK,13,544,Not Covered,,,,
