observationAbout,observationDate,contaminantType,Cond.,D.O.,Hardness,temp,pH,Iron,Lead,Zinc,Cadmium,Sulfate
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2019-07-17,Totals,2000,-,-,19.4,6.4,19.9,<0.005,3.49,<0.002,1180
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2019-07-17,Dissolved,-,-,-,-,-,17.8,<0.005,3.38,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2019-07-17,Totals,-,-,,-,-,20,<0.005,3.54,<0.002,1180
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2019-07-17,Dissolved,-,-,,-,-,18.3,<0.005,3.41,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2018-05-02,Totals,1891,14.1,-,23.3,6.17,21.8,<0.005,3.14,<0.002,1360
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2018-05-02,Dissolved,,-,-,-,-,21.9,<0.005,3.06,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2018-05-02,Totals,-,-,-,-,-,21.5,<0.005,2.85,<0.002,1300
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2018-05-02,Dissolved,-,-,,-,-,21.8,<0.005,3.04,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2017-03-14,Totals,587,14,-,17.55,7.76,-,<0.005,-,<0.002,141
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2017-03-14,Dissolved,-,-,-,-,-,0.0432,<0.005,0.0194,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2017-03-14,Totals,-,-,-,-,-,-,<0.005,-,<0.002,141
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2017-03-14,Dissolved,-,-,-,-,-,0.0406,<0.005,0.0194,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2013-10-30,Totals,703,1.11,329,19.17,6.82,0.168,<0.005,<0.005,<0.002,171
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2013-10-30,Dissolved,-,-,,-,-,0.138,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2013-10-30,Totals,688,1.83,328,19.24,6.72,0.172,<0.005,<0.005,<0.002,169
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2013-10-30,Dissolved,,-,-,-,,0.137,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2012-11-07,Totals,671,1.29,301,17.43,6.98,0.144,<0.005,<0.005,<0.002,160
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2012-11-07,Dissolved,-,-,,-,-,0.129,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2012-11-07,Totals,671,1.29,306,17.43,6.98,0.146,<0.005,<0.005,<0.002,163
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2012-11-07,Dissolved,-,-,-,-,-,0.13,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2011-11-01,Totals,431,0.71,146,20.18,7.66,0.239,<0.005,<0.01,<0.002,48.4
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2011-11-01,Dissolved,-,-,-,-,-,0.223,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2011-11-01,Totals,431,0.71,146,20.18,7.66,0.238,<0.005,<0.01,<0.002,48.4
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2011-11-01,Dissolved,-,-,,-,-,0.216,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-11-10,Totals,601,1.14,258,19.43,5.61,0.141,<0.005,<0.01,<0.002,153
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-11-10,Dissolved,,-,-,-,-,0.102,<0.005,<0.01,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-11-10,Totals,601,1.14,260,19.43,5.61,0.144,<0.005,<0.01,<0.002,155
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-11-10,Dissolved,-,-,-,-,-,0.102,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-03-24,Totals,412,1.35,198,18.76,7.25,0.119,<0.005,<0.005,<0.002,69.5
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-03-24,Dissolved,-,-,-,-,-,0.096,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-03-24,Totals,412,1.35,198,18.76,7.25,0.112,<0.005,<0.005,<0.002,72.3
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2010-03-24,Dissolved,-,-,,-,-,0.09,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2008-04-22,Totals,604,2.35,264,21.67,7.26,0.113,<0.005,<0.005,<0.002,135
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2008-04-22,Dissolved,-,-,-,-,-,0.11,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2007-10-23,Totals,605,2.5,265,19.25,7.17,0.118,<0.005,<0.005,<0.002,119
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2007-10-23,Dissolved,-,-,-,-,-,0.115,<0.005,0.042,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2007-10-23,Totals,605,2.5,268,19.25,7.17,0.118,<0.005,<0.005,<0.002,122
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2007-10-23,Dissolved,-,-,-,-,-,0.101,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2007-05-08,Totals,442,1.56,194,20.03,7.59,0.116,<0.005,<0.005,<0.002,57.2
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2007-05-08,Dissolved,-,-,-,-,-,0.11,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2006-11-08,Totals,635,0.88,282,21.46,7.23,0.118,<0.005,<0.005,<0.002,141
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2006-11-08,Dissolved,-,-,-,-,-,0.108,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2006-04-11,Totals,483,2.68,189,23.9,8.51,0.629,<0.005,<0.005,<0.002,68.3
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2006-04-11,Dissolved,-,-,-,-,-,0.112,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2006-04-11,Totals,483,2.68,189,23.9,8.51,0.227,<0.005,<0.005,<0.002,69.8
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2006-04-11,Dissolved,-,-,-,-,-,0.1,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2005-10-17,Totals,544,0.3,264,21,,0.098,<0.005,<0.005,<0.002,119
epaSuperfundMeasurementSite/OKD980629844/Picher_5-MW,2005-10-17,Dissolved,-,-,,-,-,0.046,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2019-04-30,Totals,468.5,-,,19.5,7.22,0.153,<0.005,<0.005,<0.002,138
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2019-04-30,Dissolved,,,,,,<0.020,<0.005,<0.005,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2019-04-30,Totals,,,,,,0.162,<0.005,<0.005,<0.002,139
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2019-04-30,Dissolved,,,,,,0.0239,<0.005,<0.005,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2018-04-25,Totals,1328,9.6,-,19.3,7.24,0.387,<0.005,0.0123,<0.002,172
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2018-04-25,Dissolved,,,.,,,0.372,<0.005,0.0125,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2018-04-25,Totals,-,.,-,.,-,0.374,<0.005,0.0146,<0.002,164
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2018-04-25,Dissolved,-,-,-,.,.,<0.020,<0.005,0.0108,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2013-10-29,Totals,855,2.9,551,19.25,6.74,0.278,<0.005,<0.005,<0.002,346
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2013-10-29,Dissolved,-,-,-,.,-,0.325,<0.005,<0.005,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2013-10-29,Totals,858,2.18,552,19.55,6.68,0.276,<0.005,<0.005,<0.002,334
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2013-10-29,Dissolved,-,-,-,-,,0.326,<0.005,<0.005,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2012-11-06,Totals,933,1.42,565,19.24,7,0.537,<0.005,<0.005,<0.002,351
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2012-11-06,Dissolved,-,-,-,.,-,0.431,<0.005,<0.005,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2011-11-01,Totals,na,na,na,na,na,na,na,na,na,na
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2011-11-01,Dissolved,-,-,-,.,-,na,na,na,na,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2010-11-09,Totals,835,1.59,419,21.74,5.96,0.204,<0.005,<0.01,<0.002,277
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2010-11-09,Dissolved,-,-,-,.,-,0.201,<0.005,<0.01,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2010-03-23,Totals,829,2.96,467,20.82,6.28,0.317,<0.005,<0.005,<0.002,263
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2010-03-23,Dissolved,-,.,-,.,-,0.285,<0.005,<0.005,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2008-04-21,Totals,779,1.92,393,22.21,7.09,0.176,<0.005,<0.005,<0.002,240
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2008-04-21,Dissolved,.,.,-,.,-,0.187,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2007-10-22,Totals,700,1.38,347,16.05,7.3,0.079,<0.005,<0.005,<0.002,194
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2007-10-22,Dissolved,.,.,-,.,-,0.071,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2007-05-08,Totals,647,1.14,307,19.65,7.41,0.08,<0.005,<0.005,<0.002,198
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2007-05-08,Dissolved,-,.,-,.,-,0.075,<0.005,<0.005,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2006-11-07,Totals,652,2.04,329,19.81,7.04,0.124,<0.005,<0.005,<0.002,175
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2006-11-07,Dissolved,-,.,-,.,-,0.113,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2006-04-11,Totals,482,1.43,216,19.6,8.2,0.079,<0.005,<0.005,<0.002,103
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2006-04-11,Dissolved,.,.,-,.,-,0.065,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2005-10-17,Totals,527,0.2,280,20.4,7.82,0.064,<0.005,<0.005,<0.002,137
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2005-10-17,Dissolved,.,.,-,.,-,0.062,<0.005,<0.005,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2005-04-25,Totals,524,1.87,261,18.3,7.71,0.09,<0.005,<0.005,<0.002,125
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2005-04-25,Dissolved,-,.,-,.,-,0.09,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2004-10-12,Totals,483,1.31,244,17.9,7.83,0.127,<0.005,<0.005,<0.002,112
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2004-10-12,Dissolved,-,.,-,.,-,0.121,<0.005,<0.005,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2004-04-27,Totals,480,4.35,237,20.2,7.5,0.078,<0.01,<0.005,<0.005,112
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2004-04-27,Dissolved,-,-,-,-,.,0.072,<0.01,<0.005,<0.005,
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2003-11-05,Totals,563,n.a.,284,14.7,6.89,0.166,<0.005,<0.01,<0.002,141
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2003-11-05,Dissolved,-,-,-,-,-,0.16,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2002-04-19,Totals,525,n.a.,255,20.2,7.38,0.092,<0.005,<0.01,<0.002,112
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2002-04-19,Dissolved,-,-,-,.,-,0.073,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2001-12-13,Totals,455,n.a.,211,16.9,7.6,0.063,<0.005,<0.01,<0.002,93.3
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2001-12-13,Dissolved,-,-,-,.,-,0.049,<0.005,<0.01,<0.002,.
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2001-03-09,Totals,546,n.a.,257,17.7,7.48,0.173,<0.005,<0.01,<0.002,121
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2001-03-09,Dissolved,-,-,-,.,-,0.16,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2000-10-17,Totals,453,n.a.,215,16.9,7.25,0.163,<0.005,<0.01,<0.002,71.1
epaSuperfundMeasurementSite/OKD980629844/Picher_7-MW,2000-10-17,Dissolved,-,-,-,.,-,0.159,<0.005,<0.01,<0.002,
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2019-04-30,Totals,213.2,-,-,18.8,7.57,< 0.020,<0.005,<0.005,<0.002,15.6
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2019-04-30,Dissolved,-,-,-,-,-,<0.020,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2018-04-25,Totals,498.7,17.4,-,18.7,7.65,<0.020,<0.005,0.0271,<0.002,18.8
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2018-04-25,Dissolved,-,-,-,-,-,0.0264,<0.005,0.0192,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2017-03-14,Totals,287,6,-,17.81,7.49,-,<0.005,-,<0.002,16.3
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2017-03-14,Dissolved,-,-,-,-,-,< 0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2013-10-31,Totals,295,1.49,126,19.12,7.09,0.025,<0.005,<0.005,<0.002,14.3
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2013-10-31,Dissolved,-,-,-,-,-,0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2012-11-08,Totals,284,0.58,128,18.23,7.34,0.031,<0.005,0.007,<0.002,15.5
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2012-11-08,Dissolved,-,-,-,-,-,0.036,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2012-11-08,Totals,284,0.58,127,18.23,7.34,0.032,<0.005,0.006,<0.002,15.7
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2012-11-08,Dissolved,-,-,-,-,-,0.026,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2011-11-03,Totals,276,0.8,104,15.3,7.72,0.026,<0.005,<0.01,<0.002,14.3
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2011-11-03,Dissolved,-,-,-,-,-,0.034,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-11-11,Totals,263,0.48,117,17.89,5.73,<0.02,<0.005,<0.01,<0.002,15.7
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-11-11,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-11-11,Totals,263,0.48,116,17.89,5.73,<0.02,<0.005,<0.01,<0.002,15.2
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-11-11,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-03-25,Totals,228,0.86,121,17.16,6.97,0.026,<0.005,0.031,<0.002,14.7
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-03-25,Dissolved,-,-,-,-,-,0.021,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-03-25,Totals,228,0.86,119,17.16,6.97,0.022,<0.005,0.012,<0.002,14.8
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2010-03-25,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2008-04-22,Totals,263,1.35,123,20.35,7.54,<0.02,<0.005,<0.005,<0.002,13.2
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2008-04-22,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2007-10-24,Totals,280,1.46,127,17.87,7.4,<0.02,<0.005,<0.005,<0.002,14.3
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2007-10-24,Dissolved,-,-,-,-,-,<0.02,<0.005,0.01,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2007-05-09,Totals,287,1.12,132,19.85,7.28,<0.02,<0.005,0.043,<0.002,12.6
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2007-05-09,Dissolved,-,-,-,-,-,<0.02,<0.005,0.041,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2006-11-09,Totals,276,0.52,134,19.12,7.39,<0.02,<0.005,<0.005,<0.002,20
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2006-11-09,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2006-04-12,Totals,270,1.03,118,18.8,8.53,<0.02,<0.005,<0.005,<0.002,15.2
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2006-04-12,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2005-10-18,Totals,258,1.58,136,19.9,7.96,<0.02,<0.005,<0.005,<0.002,16.4
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2005-10-18,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2005-04-26,Totals,261,1.57,119,16.8,8.04,<0.02,<0.005,<0.005,<0.002,13.5
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2005-04-26,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2004-10-13,Totals,242,1.43,121,17.4,7.86,<0.02,<0.01,<0.005,<0.002,12.7
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2004-10-13,Dissolved,-,-,-,-,-,<0.02,<0.01,0.005,<0.002,-
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2004-10-13,Totals,242,1.43,121,17.4,7.86,<0.02,<0.005,<0.005,<0.002,12.8
epaSuperfundMeasurementSite/OKD980629844/Quapaw_4,2004-10-13,Dissolved,-,-,-,-,-,<0.02,<0.005,<0.005,<0.002,-
