key,p1,v1,p2,v2
#Diabetes mellitus (E10-E14),causeOfDeath,DiabetesMellitus,populationType,MortalityEvent
Year,observationDate,{Year},#Eval,"Year = re.sub(r'\\D', '',Data)"
"Anderson County, TX",observationAbout,geoId/48001,,
"Andrews County, TX",observationAbout,geoId/48003,,
"Angelina County, TX",observationAbout,geoId/48005,,
"Aransas County, TX",observationAbout,geoId/48007,,
"Archer County, TX",observationAbout,geoId/48009,,
"Armstrong County, TX",observationAbout,geoId/48011,,
"Atascosa County, TX",observationAbout,geoId/48013,,
"Austin County, TX",observationAbout,geoId/48015,,
"Bailey County, TX",observationAbout,geoId/48017,,
"Bandera County, TX",observationAbout,geoId/48019,,
"Bastrop County, TX",observationAbout,geoId/48021,,
"Baylor County, TX",observationAbout,geoId/48023,,
"Bee County, TX",observationAbout,geoId/48025,,
"Bell County, TX",observationAbout,geoId/48027,,
"Bexar County, TX",observationAbout,geoId/48029,,
"Blanco County, TX",observationAbout,geoId/48031,,
"Borden County, TX",observationAbout,geoId/48033,,
"Bosque County, TX",observationAbout,geoId/48035,,
"Bowie County, TX",observationAbout,geoId/48037,,
"Brazoria County, TX",observationAbout,geoId/48039,,
"Brazos County, TX",observationAbout,geoId/48041,,
"Brewster County, TX",observationAbout,geoId/48043,,
"Briscoe County, TX",observationAbout,geoId/48045,,
"Brooks County, TX",observationAbout,geoId/48047,,
"Brown County, TX",observationAbout,geoId/48049,,
"Burleson County, TX",observationAbout,geoId/48051,,
"Burnet County, TX",observationAbout,geoId/48053,,
"Caldwell County, TX",observationAbout,geoId/48055,,
"Calhoun County, TX",observationAbout,geoId/48057,,
"Callahan County, TX",observationAbout,geoId/48059,,
"Cameron County, TX",observationAbout,geoId/48061,,
"Camp County, TX",observationAbout,geoId/48063,,
"Carson County, TX",observationAbout,geoId/48065,,
"Cass County, TX",observationAbout,geoId/48067,,
"Castro County, TX",observationAbout,geoId/48069,,
"Chambers County, TX",observationAbout,geoId/48071,,
"Cherokee County, TX",observationAbout,geoId/48073,,
"Childress County, TX",observationAbout,geoId/48075,,
"Clay County, TX",observationAbout,geoId/48077,,
"Cochran County, TX",observationAbout,geoId/48079,,
"Coke County, TX",observationAbout,geoId/48081,,
"Coleman County, TX",observationAbout,geoId/48083,,
"Collin County, TX",observationAbout,geoId/48085,,
"Collingsworth County, TX",observationAbout,geoId/48087,,
"Colorado County, TX",observationAbout,geoId/48089,,
"Comal County, TX",observationAbout,geoId/48091,,
"Comanche County, TX",observationAbout,geoId/48093,,
"Concho County, TX",observationAbout,geoId/48095,,
"Cooke County, TX",observationAbout,geoId/48097,,
"Coryell County, TX",observationAbout,geoId/48099,,
"Cottle County, TX",observationAbout,geoId/48101,,
"Crane County, TX",observationAbout,geoId/48103,,
"Crockett County, TX",observationAbout,geoId/48105,,
"Crosby County, TX",observationAbout,geoId/48107,,
"Culberson County, TX",observationAbout,geoId/48109,,
"Dallam County, TX",observationAbout,geoId/48111,,
"Dallas County, TX",observationAbout,geoId/48113,,
"Dawson County, TX",observationAbout,geoId/48115,,
"Deaf Smith County, TX",observationAbout,geoId/48117,,
"Delta County, TX",observationAbout,geoId/48119,,
"Denton County, TX",observationAbout,geoId/48121,,
"DeWitt County, TX",observationAbout,geoId/48123,,
"Dickens County, TX",observationAbout,geoId/48125,,
"Dimmit County, TX",observationAbout,geoId/48127,,
"Donley County, TX",observationAbout,geoId/48129,,
"Duval County, TX",observationAbout,geoId/48131,,
"Eastland County, TX",observationAbout,geoId/48133,,
"Ector County, TX",observationAbout,geoId/48135,,
"Edwards County, TX",observationAbout,geoId/48137,,
