CountyCode,DistrictCode,ObservationAbout,Year,Female,White,Hispanic,PK_HALF,SHARED
01,0010,NJ-010010,2017,47.9,47.1,28.3,,
01,0010,NJ-010110,2017,48.6,3.0,45.5,,
01,0010,NJ-010120,2017,55.4,33.1,39.5,,
01,0010,NJ-010125,2017,32.2,27.6,36.2,,
01,0010,NJ-010570,2017,50.5,77.1,11.7,,
01,0010,NJ-010590,2017,48.5,56.0,28.6,,
01,0010,NJ-011300,2017,47.3,20.1,45.8,,
01,0010,NJ-011310,2017,48.0,40.5,28.9,,
01,0010,NJ-011410,2017,49.2,88.1,9.8,,
01,0010,NJ-011540,2017,49.0,84.2,9.4,,
01,0010,NJ-011690,2017,48.1,43.9,23.1,,227
01,0010,NJ-011790,2017,45.9,43.9,23.4,,
01,0110,NJ-011940,2017,48.9,34.7,26.8,2,
01,0110,NJ-011960,2017,48.1,65.0,28.7,7,10
01,0110,NJ-012680,2017,47.6,80.9,8.1,,
01,0110,NJ-012910,2017,50.9,63.6,20.0,,
01,0110,NJ-013020,2017,47.5,90.4,4.8,,8
01,0110,NJ-013480,2017,51.0,70.4,18.1,,22
01,0110,NJ-013720,2017,48.5,69.8,18.5,,
01,0110,NJ-014180,2017,48.3,1.6,65.0,,16
01,0110,NJ-014240,2017,43.5,98.2,0.9,,10
01,0110,NJ-014800,2017,49.3,38.7,34.2,26,
01,0110,NJ-015350,2017,46.6,47.4,31.7,,26
01,0110,NJ-015760,2017,44.9,76.5,14.2,9,2
01,0110,NJ-030040,2017,50.6,71.0,6.7,4,20
01,0110,NJ-030080,2017,51.4,59.0,5.0,,7
01,0110,NJ-030285,2017,32.7,32.4,43.0,35,
01,0110,NJ-030290,2017,50.1,37.7,18.0,68,19
01,0120,NJ-030300,2017,47.4,9.5,56.9,,4
01,0120,NJ-030440,2017,46.5,11.9,71.8,32,
01,0120,NJ-030740,2017,49.1,42.9,41.0,,2
01,0120,NJ-030745,2017,48.1,38.1,40.6,45,4
01,0120,NJ-030890,2017,48.9,26.8,67.1,21,
01,0120,NJ-030930,2017,48.0,43.5,8.2,,
01,0125,NJ-030990,2017,47.6,51.7,7.6,24,1
01,0125,NJ-031070,2017,47.4,57.0,5.5,57,
01,0125,NJ-031130,2017,50.3,40.2,36.5,,5
01,0125,NJ-031230,2017,51.2,28.2,46.6,,
01,0125,NJ-031270,2017,49.8,27.6,19.2,67,15
01,0125,NJ-031345,2017,47.0,33.7,44.6,2,2
01,0125,NJ-031360,2017,46.8,63.3,21.4,31,2
01,0125,NJ-031370,2017,47.6,7.4,60.3,7,
01,0125,NJ-031380,2017,48.4,26.7,6.9,,5
01,0125,NJ-031450,2017,48.6,55.6,20.7,10,
01,0125,NJ-031470,2017,51.3,8.9,90.0,,7
01,0125,NJ-031550,2017,47.7,25.2,20.8,,11
01,0125,NJ-031580,2017,46.5,75.1,10.7,,11
01,0125,NJ-031700,2017,48.6,34.0,56.3,,
01,0125,NJ-031760,2017,48.8,68.7,6.1,25,4
01,0125,NJ-031860,2017,48.0,8.1,67.6,9,1
01,0570,NJ-032050,2017,50.1,54.6,6.4,,1
01,0570,NJ-032080,2017,47.4,50.8,32.4,,3
01,0570,NJ-032090,2017,47.2,71.6,4.7,,3
01,0570,NJ-032180,2017,47.2,69.0,16.6,75,5
01,0570,NJ-032200,2017,47.4,79.9,6.8,82,
01,0570,NJ-032620,2017,48.6,22.3,25.1,39,
01,0570,NJ-032710,2017,49.8,23.3,51.7,23,
01,0570,NJ-032740,2017,49.1,23.6,60.7,22,
01,0570,NJ-032860,2017,49.2,48.6,41.6,,
01,0570,NJ-032900,2017,50.7,61.7,12.3,42,
01,0570,NJ-033060,2017,47.6,32.1,40.0,37,
01,0570,NJ-033170,2017,47.9,72.9,18.2,8,
