Detail Data For Electricity Monthly - Generation by Source Having Year : ALL
.
Source,YearValue,MonthValue,Monitored_Capacity_MW,Generation_GWh,PLF_Percent_Month,PLF_Percent_Cumulative
HYDRO,2020,2,45399.220,8435.840,0.000,0.000
COAL ,2020,3,199272.500,75536.230,51.250,55.890
LIGNITE,2020,3,6760.000,2963.330,60.120,58.980
NATURAL GAS,2020,3,24900.860,4301.690,23.220,22.150
DIESEL,2020,3,509.710,11.170,0.000,0.000
NUCLEAR,2020,3,6780.000,4054.310,80.370,78.030
HYDRO,2020,3,45699.220,9089.890,0.000,0.000
COAL ,2020,4,198512.500,59122.280,41.660,41.660
LIGNITE,2020,4,6610.000,2814.630,58.450,58.450
NATURAL GAS,2020,4,24900.860,4858.010,27.100,27.100
DIESEL,2020,4,509.710,10.800,0.000,0.000
NUCLEAR,2020,4,6780.000,3860.080,79.070,79.070
HYDRO,2020,4,45699.220,10121.420,0.000,0.000
COAL ,2020,5,198512.500,69664.140,47.650,44.710
LIGNITE,2020,5,6610.000,2991.190,59.080,58.770
NATURAL GAS,2020,5,24937.010,5227.270,28.170,27.640
DIESEL,2020,5,509.710,11.150,0.000,0.000
NUCLEAR,2020,5,6780.000,3797.540,75.280,77.150
HYDRO,2020,5,45699.220,14026.130,0.000,0.000
COAL ,2020,6,198782.500,70142.520,49.540,46.300
LIGNITE,2020,6,6610.000,2912.790,60.930,59.480
NATURAL GAS,2020,6,24937.010,5081.060,28.300,27.860
DIESEL,2020,6,509.710,10.800,0.000,0.000
NUCLEAR,2020,6,6780.000,3764.730,77.120,77.140
HYDRO,2020,6,45699.220,17015.820,0.000,0.000
COAL ,2020,7,199582.500,78336.880,53.430,48.110
LIGNITE,2020,7,6610.000,2238.600,42.320,55.120
NATURAL GAS,2020,7,24937.010,4860.620,26.200,27.440
DIESEL,2020,7,509.710,11.160,0.000,0.000
NUCLEAR,2020,7,6780.000,3358.520,66.580,74.460
HYDRO,2020,7,45699.220,17922.400,0.000,0.000
