Detail Data For Electricity Monthly - Demand & Availability of Energy Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,MonthValue,EnergyRequirement_MU,EnergyAvailability_MU
ER,WEST BENGAL,2019,6,5294.000,5278.000
ER,WEST BENGAL,2019,7,5419.000,5407.000
ER,WEST BENGAL,2019,8,5266.000,5251.000
ER,WEST BENGAL,2019,9,4932.000,4919.000
ER,WEST BENGAL,2019,10,4320.000,4316.000
ER,WEST BENGAL,2019,11,3438.000,3431.000
ER,WEST BENGAL,2019,12,3391.000,3389.000
ER,WEST BENGAL,2020,1,3485.000,3482.000
ER,WEST BENGAL,2020,2,3516.000,3514.000
ER,WEST BENGAL,2020,3,3719.000,3715.000
ER,WEST BENGAL,2020,4,3662.000,3650.000
ER,WEST BENGAL,2020,5,3737.000,3686.000
ER,WEST BENGAL,2020,6,4638.000,4624.000
ER,WEST BENGAL,2020,7,5017.000,5014.000
ER,WEST BENGAL,2019,4,4805.000,4782.000
ER,WEST BENGAL,2019,5,5363.000,5342.000
ER,JHARKHAND,2019,6,768.000,759.000
ER,JHARKHAND,2019,7,751.000,745.000
ER,JHARKHAND,2019,8,752.000,749.000
ER,JHARKHAND,2019,9,734.000,732.000
ER,JHARKHAND,2019,10,723.000,722.000
ER,JHARKHAND,2019,11,716.000,715.000
ER,JHARKHAND,2019,12,759.000,757.000
ER,JHARKHAND,2020,1,784.000,778.000
ER,JHARKHAND,2020,2,719.000,703.000
ER,JHARKHAND,2020,3,702.000,698.000
ER,JHARKHAND,2020,4,696.000,675.000
ER,JHARKHAND,2020,5,760.000,736.000
ER,JHARKHAND,2020,6,771.000,766.000
ER,JHARKHAND,2020,7,830.000,827.000
ER,JHARKHAND,2019,4,716.000,706.000
ER,JHARKHAND,2019,5,816.000,808.000
ER,BIHAR,2019,6,3067.000,3058.000
ER,BIHAR,2019,7,2881.000,2869.000
ER,BIHAR,2019,8,3348.000,3324.000
ER,BIHAR,2019,9,2952.000,2933.000
ER,BIHAR,2019,10,2629.000,2624.000
ER,BIHAR,2019,11,2153.000,2152.000
ER,BIHAR,2019,12,2163.000,2154.000
ER,BIHAR,2020,1,2450.000,2448.000
ER,BIHAR,2020,2,2153.000,2146.000
ER,BIHAR,2020,3,2163.000,2162.000
ER,BIHAR,2020,4,2317.000,2316.000
ER,BIHAR,2020,5,2753.000,2746.000
ER,BIHAR,2020,6,2999.000,2992.000
ER,BIHAR,2020,7,3295.000,3275.000
ER,BIHAR,2019,4,2584.000,2581.000
ER,BIHAR,2019,5,3084.000,3082.000
WR,MADHYA PRADESH,2019,6,6230.000,6230.000
WR,MADHYA PRADESH,2019,7,5845.000,5845.000
WR,MADHYA PRADESH,2019,8,5493.000,5493.000
WR,MADHYA PRADESH,2019,9,5099.000,5099.000
