Detail Data For Electricity Generation by Source Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2017,35945.760,74.100
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2017,1278.430,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2017,10069.730,76.400
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2017,25661.730,57.910
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2017,1560.850,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,1433.949,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,120.859,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2017,14.968,0.000
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2017,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2017,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2017,1727.578,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2017,118.373,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2017,1198.321,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2017,0.017,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2017,12.095,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2018,35565.810,52.070
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2018,996.430,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2018,10890.520,86.110
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2018,25970.440,57.130
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2018,1282.020,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,1387.010,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,183.050,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2018,20.550,0.000
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2018,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2018,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2018,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2018,4391.720,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2018,35.839,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2018,1286.151,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2018,0.162,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2018,0.000,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2019,38074.010,59.710
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2019,1381.870,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2019,10990.920,87.800
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2019,24967.320,55.760
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2019,1537.940,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,1284.494,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,161.854,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2019,40.651,0.000
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2019,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2019,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2019,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2019,1046.833,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2019,62.321,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2019,1206.710,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2019,8.146,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2019,0.000,0.000
UTILITY,WEST BENGAL,CENTRAL,COAL,NON-RENEWABLE,2020,37461.020,62.260
UTILITY,WEST BENGAL,CENTRAL,HYDRO,NON-RENEWABLE,2020,1404.630,0.000
UTILITY,WEST BENGAL,PRIVATE,COAL,NON-RENEWABLE,2020,10577.510,59.470
UTILITY,WEST BENGAL,STATE,COAL,NON-RENEWABLE,2020,23356.860,49.410
UTILITY,WEST BENGAL,STATE,HYDRO,NON-RENEWABLE,2020,1511.750,0.000
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,1296.344,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,115.681,0.000
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2020,64.291,0.000
UTILITY,WEST BENGAL,UTILITY-RE,RENEWABLES,RENEWABLE,2020,0.000,0.000
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2020,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,HYDRO,NON-RENEWABLE,2020,0.000,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,COAL,NON-RENEWABLE,2020,3445.807,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,DIESEL,NON-RENEWABLE,2020,37.479,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,NATURAL GAS,NON-RENEWABLE,2020,1058.145,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,SOLAR,RENEWABLE,2020,22.197,0.000
CAPTIVE,WEST BENGAL,CAPTIVE,WIND,RENEWABLE,2020,0.000,0.000
