Detail Data For Electricity Monthly - Demand & Availability of Power Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
YearValue,MonthValue,Region,State,PeakDemand_MW,PeakMet_MW
2019,7,NR,CHANDIGARH,431.000,431.000
2019,7,NR,DELHI,0.000,409.000
2019,7,NR,HARYANA,0.000,1.000
2019,7,NR,HIMACHAL PRADESH,0.000,531.000
2019,7,NR,JAMMU & KASHMIR,0.000,904.000
2019,7,NR,PUNJAB,0.000,606.000
2019,7,NR,RAJASTHAN,0.000,351.000
2019,7,NR,UTTAR PRADESH,0.000,599.000
2019,7,NR,UTTARAKHAND,0.000,158.000
2019,7,WR,CHHATTISGARH,0.000,746.000
2019,7,WR,GUJARAT,0.000,577.000
2019,7,WR,MADHYA PRADESH,0.000,97.000
2019,7,WR,MAHARASHTRA,0.000,568.000
2019,7,WR,DIU & DAMAN,350.000,350.000
2019,7,WR,DADRA & NAGAR HAVELI,826.000,826.000
2019,7,WR,GOA,566.000,566.000
2019,7,SR,ANDHRA PRADESH,0.000,246.000
2019,7,SR,TELANGANA,0.000,472.000
2019,7,SR,KARNATAKA,0.000,508.000
2019,7,SR,KERALA,0.000,877.000
2019,7,SR,TAMILNADU,0.000,537.000
2019,7,SR,PUDUCHERRY,464.000,464.000
2019,7,SR,LAKSHADWEEP,8.000,8.000
2019,7,ER,BIHAR,0.000,435.000
2019,7,IN,DVC,0.000,874.000
2019,7,ER,JHARKHAND,0.000,323.000
2019,7,ER,ODISHA,0.000,861.000
2019,7,ER,WEST BENGAL,0.000,48.000
2019,7,ER,SIKKIM,85.000,85.000
2019,7,ER,A & N ISLANDS,58.000,54.000
2019,7,NER,ARUNACHAL PRADESH,137.000,134.000
2019,7,NER,ASSAM,0.000,21.000
2019,7,NER,MANIPUR,182.000,175.000
2019,7,NER,MEGHALAYA,333.000,332.000
2019,7,NER,MIZORAM,102.000,100.000
2019,7,NER,NAGALAND,168.000,151.000
2019,7,NER,TRIPURA,298.000,297.000
2019,8,NR,CHANDIGARH,335.000,335.000
2019,8,NR,DELHI,6473.000,6473.000
2019,8,NR,HARYANA,10130.000,10130.000
2019,8,NR,HIMACHAL PRADESH,1565.000,1565.000
2019,8,NR,JAMMU & KASHMIR,2734.000,2178.000
2019,8,NR,PUNJAB,12009.000,12009.000
2019,8,NR,RAJASTHAN,10699.000,10699.000
2019,8,NR,UTTAR PRADESH,21811.910,21631.910
2019,8,NR,UTTARAKHAND,2077.000,2077.000
2019,8,WR,CHHATTISGARH,4285.490,4278.000
2019,8,WR,GUJARAT,14599.000,14599.000
2019,8,WR,MADHYA PRADESH,8777.000,8777.000
2019,8,WR,MAHARASHTRA,20257.090,20250.000
2019,8,WR,DIU & DAMAN,350.000,350.000
2019,8,WR,DADRA & NAGAR HAVELI,813.280,813.000
2019,8,WR,GOA,561.000,561.000
2019,8,SR,ANDHRA PRADESH,9110.000,9110.000
2019,8,SR,TELANGANA,11703.000,11703.000
2019,8,SR,KARNATAKA,10461.860,10440.000
2019,8,SR,KERALA,3705.480,3591.280
2019,8,SR,TAMILNADU,14570.780,14513.160
2019,8,SR,PUDUCHERRY,427.260,427.190
2019,8,SR,LAKSHADWEEP,8.000,8.000
