Detail Data For Electricity Monthly - Capacity by Sector & Energy Source Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,Sector,EnergySource,YearValue,MonthValue,Capacity_MW_M
ER,WEST BENGAL,STATE,COAL,2019,4,5400.000
ER,WEST BENGAL,STATE,THERMAL,2019,4,0.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,4,100.000
ER,WEST BENGAL,STATE,DIESEL,2019,4,0.000
ER,WEST BENGAL,STATE,NUCLEAR,2019,4,0.000
ER,WEST BENGAL,STATE,HYDRO,2019,4,986.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,4,121.950
ER,WEST BENGAL,PRIVATE,COAL,2019,4,2437.000
ER,WEST BENGAL,PRIVATE,THERMAL,2019,4,0.000
ER,WEST BENGAL,PRIVATE,NATURAL GAS,2019,4,0.000
ER,WEST BENGAL,PRIVATE,DIESEL,2019,4,0.000
ER,WEST BENGAL,PRIVATE,NUCLEAR,2019,4,0.000
ER,WEST BENGAL,PRIVATE,HYDRO,2019,4,0.000
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,4,352.500
ER,WEST BENGAL,CENTRAL,COAL,2019,4,760.770
ER,WEST BENGAL,CENTRAL,THERMAL,2019,4,0.000
ER,WEST BENGAL,CENTRAL,NATURAL GAS,2019,4,0.000
ER,WEST BENGAL,CENTRAL,DIESEL,2019,4,0.000
ER,WEST BENGAL,CENTRAL,NUCLEAR,2019,4,0.000
ER,WEST BENGAL,CENTRAL,HYDRO,2019,4,410.000
ER,WEST BENGAL,CENTRAL,RENEWABLES,2019,4,0.000
ER,WEST BENGAL,STATE,COAL,2019,5,5400.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,5,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,5,986.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,5,121.950
ER,WEST BENGAL,PRIVATE,COAL,2019,5,2437.000
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,5,352.500
ER,WEST BENGAL,CENTRAL,COAL,2019,5,760.770
ER,WEST BENGAL,CENTRAL,HYDRO,2019,5,410.000
ER,WEST BENGAL,CENTRAL,HYDRO,2019,6,355.200
ER,WEST BENGAL,CENTRAL,COAL,2019,6,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2019,6,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,6,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,6,986.000
ER,WEST BENGAL,STATE,COAL,2019,6,5400.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,6,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,6,367.190
ER,WEST BENGAL,CENTRAL,HYDRO,2019,7,355.200
ER,WEST BENGAL,CENTRAL,COAL,2019,7,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2019,7,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,7,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,7,986.000
ER,WEST BENGAL,STATE,COAL,2019,7,5400.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,7,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,7,372.580
ER,WEST BENGAL,CENTRAL,HYDRO,2019,8,355.200
ER,WEST BENGAL,CENTRAL,COAL,2019,8,6850.000
ER,WEST BENGAL,PRIVATE,COAL,2019,8,2037.000
ER,WEST BENGAL,STATE,NATURAL GAS,2019,8,100.000
ER,WEST BENGAL,STATE,HYDRO,2019,8,986.000
ER,WEST BENGAL,STATE,COAL,2019,8,5400.000
ER,WEST BENGAL,STATE,RENEWABLES,2019,8,121.950
ER,WEST BENGAL,PRIVATE,RENEWABLES,2019,8,373.370
