Detail Data For Electricity Consumption by Consuming Sector Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_GWh
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2006,914.120
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2006,2594.430
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2006,6171.890
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,9537.880
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,1861.960
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2006,109.040
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2006,232.190
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,448.280
ER,WEST BENGAL,TRACTION,TRANSPORT,2006,844.990
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2007,940.810
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2007,2853.620
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2007,6520.560
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,10448.500
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,1939.940
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2007,94.210
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2007,241.070
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,469.050
ER,WEST BENGAL,TRACTION,TRANSPORT,2007,881.790
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2008,1110.070
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2008,3159.940
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2008,7001.240
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,10825.310
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,2083.590
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2008,1966.040
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2008,254.380
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,477.420
ER,WEST BENGAL,TRACTION,TRANSPORT,2008,943.520
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2009,843.280
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2009,3525.740
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2009,7631.120
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,11993.720
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,2329.870
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2009,1609.440
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2009,248.660
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,533.670
ER,WEST BENGAL,TRACTION,TRANSPORT,2009,992.460
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2010,1322.970
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2010,3680.720
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2010,8293.320
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2010,16505.340
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2010,2060.850
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2010,170.470
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2010,293.770
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2010,523.620
ER,WEST BENGAL,TRACTION,TRANSPORT,2010,1066.590
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2011,1803.850
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2011,4256.800
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2011,8901.760
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2011,15074.150
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2011,2198.800
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2011,128.180
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2011,337.490
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2011,555.080
ER,WEST BENGAL,TRACTION,TRANSPORT,2011,1224.930
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2012,1295.830
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2012,4478.032
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2012,9689.412
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2012,15773.057
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2012,2456.162
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2012,242.130
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2012,385.270
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2012,584.595
ER,WEST BENGAL,TRACTION,TRANSPORT,2012,1286.601
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2013,1245.560
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2013,4904.550
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2013,11070.870
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2013,16514.760
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2013,2010.780
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2013,346.810
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2013,408.150
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2013,609.310
ER,WEST BENGAL,TRACTION,TRANSPORT,2013,1348.930
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2014,1183.150
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2014,4968.650
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2014,11263.140
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2014,16649.820
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2014,2002.570
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2014,350.270
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2014,393.500
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2014,647.360
ER,WEST BENGAL,TRACTION,TRANSPORT,2014,1422.910
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2015,1492.070
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2015,5374.370
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2015,12656.990
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2015,16507.970
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2015,2056.440
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2015,553.460
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2015,410.690
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2015,702.520
ER,WEST BENGAL,TRACTION,TRANSPORT,2015,1558.310
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2016,1524.260
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2016,5423.030
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2016,13470.260
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2016,16203.540
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2016,2086.320
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2016,3235.040
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2016,478.990
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2016,867.200
ER,WEST BENGAL,TRACTION,TRANSPORT,2016,1523.310
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2017,1433.610
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2017,5725.690
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2017,14301.500
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2017,16771.700
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2017,2132.160
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2017,3332.480
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2017,522.090
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2017,877.910
ER,WEST BENGAL,TRACTION,TRANSPORT,2017,1394.380
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2018,1250.420
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2018,6080.430
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2018,14924.140
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2018,20213.800
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2018,2176.640
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2018,2737.630
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2018,592.380
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2018,892.060
ER,WEST BENGAL,TRACTION,TRANSPORT,2018,1401.550
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2019,1515.550
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2019,6280.370
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2019,15478.100
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2019,18887.250
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2019,2279.450
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2019,2642.160
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2019,692.960
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2019,955.570
ER,WEST BENGAL,TRACTION,TRANSPORT,2019,1467.940
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2006,58.350
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2006,162.240
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2006,890.230
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,9334.460
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,115.260
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2006,76.030
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,75.210
ER,JHARKHAND,TRACTION,TRANSPORT,2006,780.700
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2007,68.410
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2007,202.600
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2007,1166.430
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,12186.190
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,117.620
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2007,84.230
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,65.020
ER,JHARKHAND,TRACTION,TRANSPORT,2007,845.780
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2008,66.850
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2008,225.000
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2008,1345.870
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,12176.070
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2008,126.770
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2008,89.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2008,69.280
ER,JHARKHAND,TRACTION,TRANSPORT,2008,890.800
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2009,69.620
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2009,275.660
ER,JHARKHAND,RESIDENTIAL,RESIDENTIAL,2009,1619.580
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2009,12931.560
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2009,133.340
ER,JHARKHAND,PUBLIC LIGHTING,OTHER,2009,89.090
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,OTHER,2009,67.620
ER,JHARKHAND,TRACTION,TRANSPORT,2009,964.600
ER,JHARKHAND,AGRICULTURE,AGRICULTURE,2010,65.720
ER,JHARKHAND,COMMERCIAL,COMMERCIAL,2010,287.370
