Detail Data For Electricity Consumption per Capita by Broad Category And Consuming Sector Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,BroadCategory,YearValue,Consumption_KWh_PerCapita
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2006,10.713
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2006,30.405
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2006,72.330
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2006,111.776
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2006,21.821
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2006,1.278
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2006,2.721
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2006,5.253
ER,WEST BENGAL,TRACTION,TRANSPORT,2006,9.903
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2007,10.890
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2007,33.032
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2007,75.478
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2007,120.946
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),INDUSTRIAL,2007,22.456
ER,WEST BENGAL,MISCELLANEOUS,OTHER,2007,1.091
ER,WEST BENGAL,PUBLIC LIGHTING,OTHER,2007,2.790
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,OTHER,2007,5.429
ER,WEST BENGAL,TRACTION,TRANSPORT,2007,10.207
ER,WEST BENGAL,AGRICULTURE,AGRICULTURE,2008,12.695
ER,WEST BENGAL,COMMERCIAL,COMMERCIAL,2008,36.138
ER,WEST BENGAL,RESIDENTIAL,RESIDENTIAL,2008,80.069
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),INDUSTRIAL,2008,123.803
