Detail Data For Electricity Access - Household Electrification by District Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
State,District,YearValue,Percent_Household_Electrified
MAHARASHTRA,MUMBAI,2011,98.100
MAHARASHTRA,MUMBAI(SUBURBAN),2011,96.900
MAHARASHTRA,SINDHUDURG,2011,94.700
MAHARASHTRA,KOLHAPUR,2011,93.700
MAHARASHTRA,RATNAGIRI,2011,93.400
MAHARASHTRA,PUNE,2011,92.700
MAHARASHTRA,NAGPUR,2011,92.100
MAHARASHTRA,THANE,2011,91.800
MAHARASHTRA,RAIGARH,2011,91.700
MAHARASHTRA,WARDHA,2011,87.900
MAHARASHTRA,SATARA,2011,87.900
MAHARASHTRA,GONDIYA,2011,82.900
MAHARASHTRA,SANGLI,2011,82.900
MAHARASHTRA,BHANDARA,2011,82.300
MAHARASHTRA,JALGAON,2011,80.800
MAHARASHTRA,LATUR,2011,80.500
MAHARASHTRA,AKOLA,2011,80.400
MAHARASHTRA,AMRAVATI,2011,80.400
MAHARASHTRA,AURANGABAD,2011,80.000
MAHARASHTRA,CHANDRAPUR,2011,79.100
MAHARASHTRA,DHULE,2011,77.200
MAHARASHTRA,NASHIK,2011,76.700
MAHARASHTRA,BULDANA,2011,76.500
MAHARASHTRA,WASHIM,2011,76.000
MAHARASHTRA,PARBHANI,2011,75.700
MAHARASHTRA,AHMADNAGAR,2011,75.100
MAHARASHTRA,NANDED,2011,74.500
MAHARASHTRA,JALNA,2011,74.400
MAHARASHTRA,BID,2011,73.800
MAHARASHTRA,HINGOLI,2011,70.100
MAHARASHTRA,YAVATMAL,2011,69.700
MAHARASHTRA,SOLAPUR,2011,69.300
MAHARASHTRA,OSMANABAD,2011,68.800
MAHARASHTRA,GADCHIROLI,2011,59.200
MAHARASHTRA,NANDURBAR,2011,58.300
ODISHA,ANUGUL  ,2011,80.700
ODISHA,BALANGIR,2011,71.100
ODISHA,BALESHWAR,2011,81.300
ODISHA,BARGARH,2011,83.100
ODISHA,BAUDH,2011,12.800
ODISHA,BHADRAK,2011,90.500
ODISHA,CUTTACK,2011,42.900
ODISHA,DEBAGARH,2011,95.400
ODISHA,DHENKANAL,2011,39.300
ODISHA,GAJAPATI,2011,16.000
ODISHA,GANJAM,2011,92.100
ODISHA,JAGATSINGHAPUR ,2011,34.200
ODISHA,JAJAPUR  ,2011,94.300
ODISHA,JHARSUGUDA,2011,60.300
ODISHA,KALAHANDI,2011,16.700
ODISHA,KANDHAMAL,2011,30.400
ODISHA,KENDRAPARA ,2011,55.700
ODISHA,KENDUJHAR,2011,89.700
ODISHA,KHORDHA ,2011,69.100
ODISHA,KORAPUT,2011,71.600
ODISHA,MALKANGIRI  ,2011,43.200
ODISHA,MAYURBHANJ,2011,38.300
ODISHA,NABARANGAPUR ,2011,6.600
ODISHA,NAYAGARH  ,2011,27.800
ODISHA,NUAPADA,2011,80.900
ODISHA,PURI,2011,86.500
ODISHA,RAYAGADA  ,2011,7.000
ODISHA,SAMBALPUR,2011,46.100
ODISHA,SUBARNAPUR,2011,10.600
ODISHA,SUNDARGARH,2011,24.900
RAJASTHAN,AJMER,2011,81.300
RAJASTHAN,ALWAR,2011,77.200
RAJASTHAN,BANSWARA ,2011,32.900
RAJASTHAN,BARAN ,2011,67.100
RAJASTHAN,BARMER ,2011,28.200
RAJASTHAN,BHARATPUR ,2011,68.200
RAJASTHAN,BHILWARA,2011,75.700
RAJASTHAN,BIKANER,2011,58.700
RAJASTHAN,BUNDI ,2011,62.200
RAJASTHAN,CHITTAURGARH ,2011,82.100
RAJASTHAN,CHURU ,2011,66.700
RAJASTHAN,DAUSA ,2011,67.100
RAJASTHAN,DHAULPUR,2011,47.500
RAJASTHAN,DUNGARPUR ,2011,49.800
RAJASTHAN,GANGANAGAR ,2011,75.700
RAJASTHAN,HANUMANGARH ,2011,73.900
RAJASTHAN,JAIPUR ,2011,86.400
RAJASTHAN,JAISALMER,2011,38.000
RAJASTHAN,JALOR,2011,49.100
RAJASTHAN,JHALAWAR,2011,78.100
RAJASTHAN,JHUNJHUNUN,2011,77.600
RAJASTHAN,JODHPUR,2011,65.200
RAJASTHAN,KARAULI ,2011,50.300
RAJASTHAN,KOTA ,2011,89.500
RAJASTHAN,NAGAUR,2011,59.500
RAJASTHAN,PALI ,2011,76.200
RAJASTHAN,PRATAPGARH ,2011,40.200
RAJASTHAN,RAJSAMAND,2011,78.700
RAJASTHAN,SAWAI MADHOPUR ,2011,55.500
RAJASTHAN,SIKAR,2011,76.200
RAJASTHAN,SIROHI,2011,66.300
RAJASTHAN,TONK ,2011,59.100
RAJASTHAN,UDAIPUR,2011,57.900
