Detail Data For Electricity Consumption by Consumer Number Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,YearValue,ConsumerNo
ER,WEST BENGAL,AGRICULTURE,2006,108252.000
ER,WEST BENGAL,COMMERCIAL,2006,979609.000
ER,WEST BENGAL,RESIDENTIAL,2006,6696928.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2006,3115.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2006,130186.000
ER,WEST BENGAL,PUBLIC LIGHTING,2006,1371.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2006,4277.000
ER,WEST BENGAL,TRACTION,2006,48.000
ER,WEST BENGAL,AGRICULTURE,2007,115473.000
ER,WEST BENGAL,COMMERCIAL,2007,1086027.000
ER,WEST BENGAL,RESIDENTIAL,2007,7309243.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2007,3421.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2007,140111.000
ER,WEST BENGAL,MISCELLANEOUS,2007,33.000
ER,WEST BENGAL,PUBLIC LIGHTING,2007,1655.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2007,7222.000
ER,WEST BENGAL,TRACTION,2007,49.000
ER,WEST BENGAL,AGRICULTURE,2008,115473.000
ER,WEST BENGAL,COMMERCIAL,2008,1086027.000
ER,WEST BENGAL,RESIDENTIAL,2008,7309243.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2008,3421.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2008,140111.000
ER,WEST BENGAL,MISCELLANEOUS,2008,33.000
ER,WEST BENGAL,PUBLIC LIGHTING,2008,1655.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2008,7222.000
ER,WEST BENGAL,TRACTION,2008,49.000
ER,WEST BENGAL,AGRICULTURE,2009,140680.000
ER,WEST BENGAL,COMMERCIAL,2009,1178796.000
ER,WEST BENGAL,RESIDENTIAL,2009,8316221.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2009,4293.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2009,159065.000
ER,WEST BENGAL,MISCELLANEOUS,2009,220.000
ER,WEST BENGAL,PUBLIC LIGHTING,2009,1745.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2009,8766.000
ER,WEST BENGAL,TRACTION,2009,74.000
ER,WEST BENGAL,AGRICULTURE,2010,255091.000
ER,WEST BENGAL,COMMERCIAL,2010,2014971.000
ER,WEST BENGAL,RESIDENTIAL,2010,14721860.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2010,7424.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2010,235171.000
ER,WEST BENGAL,MISCELLANEOUS,2010,280.000
ER,WEST BENGAL,PUBLIC LIGHTING,2010,3700.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2010,13235.000
ER,WEST BENGAL,TRACTION,2010,95.000
ER,WEST BENGAL,AGRICULTURE,2011,285990.000
ER,WEST BENGAL,COMMERCIAL,2011,2100536.000
ER,WEST BENGAL,RESIDENTIAL,2011,16015711.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2011,7920.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2011,240851.000
ER,WEST BENGAL,MISCELLANEOUS,2011,287.000
ER,WEST BENGAL,PUBLIC LIGHTING,2011,11396.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2011,13772.000
ER,WEST BENGAL,TRACTION,2011,95.000
ER,WEST BENGAL,AGRICULTURE,2012,160500.000
ER,WEST BENGAL,COMMERCIAL,2012,1352382.000
ER,WEST BENGAL,RESIDENTIAL,2012,11723210.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2012,3612.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2012,152869.000
ER,WEST BENGAL,MISCELLANEOUS,2012,3878.000
ER,WEST BENGAL,PUBLIC LIGHTING,2012,14627.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2012,6560.000
ER,WEST BENGAL,TRACTION,2012,70.000
ER,WEST BENGAL,AGRICULTURE,2013,163934.000
ER,WEST BENGAL,COMMERCIAL,2013,1398766.000
ER,WEST BENGAL,RESIDENTIAL,2013,13204694.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2013,3932.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2013,153597.000
ER,WEST BENGAL,MISCELLANEOUS,2013,4149.000
ER,WEST BENGAL,PUBLIC LIGHTING,2013,15803.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2013,6920.000
ER,WEST BENGAL,TRACTION,2013,75.000
ER,WEST BENGAL,AGRICULTURE,2014,214043.000
ER,WEST BENGAL,COMMERCIAL,2014,1515893.000
ER,WEST BENGAL,RESIDENTIAL,2014,14728217.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2014,3930.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2014,154278.000
ER,WEST BENGAL,MISCELLANEOUS,2014,4229.000
ER,WEST BENGAL,PUBLIC LIGHTING,2014,21875.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2014,7795.000
ER,WEST BENGAL,TRACTION,2014,70.000
ER,WEST BENGAL,AGRICULTURE,2015,241254.000
ER,WEST BENGAL,COMMERCIAL,2015,1637600.000
ER,WEST BENGAL,RESIDENTIAL,2015,16004404.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2015,3931.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2015,156874.000
ER,WEST BENGAL,MISCELLANEOUS,2015,4320.000
ER,WEST BENGAL,PUBLIC LIGHTING,2015,25787.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2015,8782.000
ER,WEST BENGAL,TRACTION,2015,60.000
ER,WEST BENGAL,AGRICULTURE,2016,266013.000
ER,WEST BENGAL,COMMERCIAL,2016,1762688.000
ER,WEST BENGAL,RESIDENTIAL,2016,17200000.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2016,4046.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2016,161149.000
ER,WEST BENGAL,MISCELLANEOUS,2016,4560.000
ER,WEST BENGAL,PUBLIC LIGHTING,2016,29532.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2016,10470.000
ER,WEST BENGAL,TRACTION,2016,62.000
ER,JHARKHAND,AGRICULTURE,2006,8591.000
ER,JHARKHAND,COMMERCIAL,2006,65813.000
ER,JHARKHAND,RESIDENTIAL,2006,698871.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2006,900.000
ER,JHARKHAND,INDUSTRIAL (LOW & MED VOLTAGE),2006,14020.000
ER,JHARKHAND,PUBLIC LIGHTING,2006,820.000
ER,JHARKHAND,PUBLIC WATER WORKS AND SEWAGE,2006,230.000
ER,JHARKHAND,TRACTION,2006,16.000
ER,JHARKHAND,AGRICULTURE,2007,8591.000
ER,JHARKHAND,COMMERCIAL,2007,138079.000
ER,JHARKHAND,RESIDENTIAL,2007,1133419.000
ER,JHARKHAND,INDUSTRIAL (HIGH VOLTAGE),2007,1376.000
