Detail Data For Electricity State Population Data Yearwise Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
YearValue,Region,State,Population_Millions
2006,ER,WEST BENGAL,85.330
2007,ER,WEST BENGAL,86.390
2008,ER,WEST BENGAL,87.440
2009,ER,WEST BENGAL,87.510
2010,ER,WEST BENGAL,88.340
2011,ER,WEST BENGAL,89.160
2012,ER,WEST BENGAL,91.348
2013,ER,WEST BENGAL,90.800
2014,ER,WEST BENGAL,91.590
2015,ER,WEST BENGAL,92.390
2016,ER,WEST BENGAL,93.200
2017,ER,WEST BENGAL,94.794
2018,ER,WEST BENGAL,95.564
2019,ER,WEST BENGAL,96.325
2020,ER,WEST BENGAL,97.078
2006,ER,JHARKHAND,28.990
2007,ER,JHARKHAND,29.420
2008,ER,JHARKHAND,29.840
2009,ER,JHARKHAND,30.440
2010,ER,JHARKHAND,30.870
2011,ER,JHARKHAND,31.290
2012,ER,JHARKHAND,32.966
2013,ER,JHARKHAND,32.160
2014,ER,JHARKHAND,32.590
2015,ER,JHARKHAND,33.020
2016,ER,JHARKHAND,33.460
2017,ER,JHARKHAND,34.315
2018,ER,JHARKHAND,34.726
2019,ER,JHARKHAND,35.125
2020,ER,JHARKHAND,35.509
2006,ER,BIHAR,90.200
2007,ER,BIHAR,91.710
2008,ER,BIHAR,93.200
2009,ER,BIHAR,94.470
2010,ER,BIHAR,95.850
2011,ER,BIHAR,97.190
2012,ER,BIHAR,103.805
2013,ER,BIHAR,99.790
2014,ER,BIHAR,101.040
2015,ER,BIHAR,102.250
2016,ER,BIHAR,103.440
2017,ER,BIHAR,105.744
2018,ER,BIHAR,106.855
2019,ER,BIHAR,107.941
2020,ER,BIHAR,109.007
2006,WR,MADHYA PRADESH,66.270
2007,WR,MADHYA PRADESH,67.520
2008,WR,MADHYA PRADESH,68.760
2009,WR,MADHYA PRADESH,69.430
2010,WR,MADHYA PRADESH,70.580
2011,WR,MADHYA PRADESH,71.730
2012,WR,MADHYA PRADESH,72.598
2013,WR,MADHYA PRADESH,74.020
2014,WR,MADHYA PRADESH,75.150
2015,WR,MADHYA PRADESH,76.280
2016,WR,MADHYA PRADESH,77.410
2017,WR,MADHYA PRADESH,79.607
2018,WR,MADHYA PRADESH,80.677
2019,WR,MADHYA PRADESH,81.725
2020,WR,MADHYA PRADESH,82.743
2006,WR,CHHATTISGARH,22.690
2007,WR,CHHATTISGARH,23.090
2008,WR,CHHATTISGARH,23.480
2009,WR,CHHATTISGARH,23.470
2010,WR,CHHATTISGARH,23.800
2011,WR,CHHATTISGARH,24.120
2012,WR,CHHATTISGARH,25.540
2013,WR,CHHATTISGARH,24.780
2014,WR,CHHATTISGARH,25.100
2015,WR,CHHATTISGARH,25.420
2016,WR,CHHATTISGARH,25.750
2017,WR,CHHATTISGARH,26.366
2018,WR,CHHATTISGARH,26.665
2019,WR,CHHATTISGARH,26.955
2020,WR,CHHATTISGARH,27.233
2006,NR,UTTAR PRADESH,182.370
2007,NR,UTTAR PRADESH,185.900
2008,NR,UTTAR PRADESH,189.420
2009,NR,UTTAR PRADESH,192.320
2010,NR,UTTAR PRADESH,195.840
2011,NR,UTTAR PRADESH,199.350
2012,NR,UTTAR PRADESH,199.281
2013,NR,UTTAR PRADESH,206.310
2014,NR,UTTAR PRADESH,209.800
2015,NR,UTTAR PRADESH,213.270
2016,NR,UTTAR PRADESH,216.710
2017,NR,UTTAR PRADESH,223.465
2018,NR,UTTAR PRADESH,226.812
2019,NR,UTTAR PRADESH,230.114
2020,NR,UTTAR PRADESH,233.355
2006,WR,MAHARASHTRA,103.510
2007,WR,MAHARASHTRA,104.920
2008,WR,MAHARASHTRA,106.320
2009,WR,MAHARASHTRA,108.910
2010,WR,MAHARASHTRA,110.480
2011,WR,MAHARASHTRA,112.040
2012,WR,MAHARASHTRA,112.373
2013,WR,MAHARASHTRA,115.060
2014,WR,MAHARASHTRA,116.590
2015,WR,MAHARASHTRA,118.070
2016,WR,MAHARASHTRA,119.510
2017,WR,MAHARASHTRA,122.353
2018,WR,MAHARASHTRA,123.760
2019,WR,MAHARASHTRA,125.150
2020,WR,MAHARASHTRA,126.526
2006,ER,ODISHA,38.870
2007,ER,ODISHA,39.300
2008,ER,ODISHA,39.730
2009,ER,ODISHA,39.880
2010,ER,ODISHA,40.240
2011,ER,ODISHA,40.600
2012,ER,ODISHA,41.947
2013,ER,ODISHA,41.310
2014,ER,ODISHA,41.660
2015,ER,ODISHA,42.000
2016,ER,ODISHA,42.340
2017,ER,ODISHA,43.001
2018,ER,ODISHA,43.322
2019,ER,ODISHA,43.636
2020,ER,ODISHA,43.945
2006,SR,ANDHRA PRADESH,80.040
2007,SR,ANDHRA PRADESH,80.950
2008,SR,ANDHRA PRADESH,81.820
2009,SR,ANDHRA PRADESH,82.860
2010,SR,ANDHRA PRADESH,83.650
2011,SR,ANDHRA PRADESH,84.430
2012,SR,ANDHRA PRADESH,84.674
2013,SR,ANDHRA PRADESH,85.940
2014,SR,ANDHRA PRADESH,86.660
2015,SR,ANDHRA PRADESH,50.960
2016,SR,ANDHRA PRADESH,51.370
2017,SR,ANDHRA PRADESH,89.430
2018,SR,ANDHRA PRADESH,90.076
2019,SR,ANDHRA PRADESH,90.704
2020,SR,ANDHRA PRADESH,91.313
2015,SR,TELANGANA,36.420
2016,SR,TELANGANA,36.710
2006,ER,SIKKIM,0.580
2007,ER,SIKKIM,0.580
2008,ER,SIKKIM,0.590
2009,ER,SIKKIM,0.590
2010,ER,SIKKIM,0.600
2011,ER,SIKKIM,0.610
2012,ER,SIKKIM,0.608
2013,ER,SIKKIM,0.620
2014,ER,SIKKIM,0.630
2015,ER,SIKKIM,0.640
2016,ER,SIKKIM,0.640
2017,ER,SIKKIM,0.657
2018,ER,SIKKIM,0.664
2019,ER,SIKKIM,0.670
2020,ER,SIKKIM,0.677
2006,NER,ASSAM,28.810
2007,NER,ASSAM,29.280
2008,NER,ASSAM,29.740
2009,NER,ASSAM,29.660
2010,NER,ASSAM,30.040
2011,NER,ASSAM,30.410
2012,NER,ASSAM,31.169
2013,NER,ASSAM,31.170
2014,NER,ASSAM,31.540
2015,NER,ASSAM,31.910
2016,NER,ASSAM,32.290
2017,NER,ASSAM,33.022
2018,NER,ASSAM,33.376
2019,NER,ASSAM,33.722
2020,NER,ASSAM,34.056
2006,NER,ARUNACHAL PRADESH,1.160
2007,NER,ARUNACHAL PRADESH,1.180
2008,NER,ARUNACHAL PRADESH,1.190
2009,NER,ARUNACHAL PRADESH,1.200
2010,NER,ARUNACHAL PRADESH,1.220
2011,NER,ARUNACHAL PRADESH,1.230
2012,NER,ARUNACHAL PRADESH,1.383
2013,NER,ARUNACHAL PRADESH,1.260
2014,NER,ARUNACHAL PRADESH,1.280
2015,NER,ARUNACHAL PRADESH,1.290
2016,NER,ARUNACHAL PRADESH,1.310
2017,NER,ARUNACHAL PRADESH,1.335
2018,NER,ARUNACHAL PRADESH,1.349
2019,NER,ARUNACHAL PRADESH,1.362
2020,NER,ARUNACHAL PRADESH,1.374
2006,NER,MEGHALAYA,2.460
2007,NER,MEGHALAYA,2.490
2008,NER,MEGHALAYA,2.520
2009,NER,MEGHALAYA,2.550
2010,NER,MEGHALAYA,2.580
2011,NER,MEGHALAYA,2.610
2012,NER,MEGHALAYA,2.964
2013,NER,MEGHALAYA,2.670
2014,NER,MEGHALAYA,2.700
2015,NER,MEGHALAYA,2.730
2016,NER,MEGHALAYA,2.760
2017,NER,MEGHALAYA,2.820
2018,NER,MEGHALAYA,2.849
2019,NER,MEGHALAYA,2.877
2020,NER,MEGHALAYA,2.904
2006,NER,NAGALAND,2.120
2007,NER,NAGALAND,2.150
2008,NER,NAGALAND,2.180
