Detail Data For Electricity Consumption - Connected Load by State Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,ConsumingSector,YearValue,ConnectedLoad_KW
ER,WEST BENGAL,AGRICULTURE,2006,520315.000
ER,WEST BENGAL,COMMERCIAL,2006,1732862.000
ER,WEST BENGAL,RESIDENTIAL,2006,6801866.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2006,2525917.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2006,1046975.000
ER,WEST BENGAL,PUBLIC LIGHTING,2006,124480.000
ER,WEST BENGAL,PUBLIC WATER WORKS AND SEWAGE,2006,168229.000
ER,WEST BENGAL,TRACTION,2006,639700.000
ER,WEST BENGAL,AGRICULTURE,2007,534761.000
ER,WEST BENGAL,COMMERCIAL,2007,1920657.000
ER,WEST BENGAL,RESIDENTIAL,2007,7793905.000
ER,WEST BENGAL,INDUSTRIAL (HIGH VOLTAGE),2007,2868816.000
ER,WEST BENGAL,INDUSTRIAL (LOW & MED VOLTAGE),2007,1110308.000
ER,WEST BENGAL,MISCELLANEOUS,2007,8047.000
ER,WEST BENGAL,PUBLIC LIGHTING,2007,124756.000
