"Units","ScalingFactors","MeasurementMethods","MinDate","NumPlaces","StatVar","observationPeriods"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade6_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMet_In_Count_Student_SchoolGrade11_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade7_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade7_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade7_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMet_In_Count_Student_SchoolGrade8_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade7_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade5_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade6_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade5_EnglishLanguageArts","[]"
"[]","[]","[]","2015","58","Mean_AssessmentScore_Student_SchoolGrade7_Mathematics","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade5_Mathematics","[]"
"[]","[]","[]","2015","58","Mean_AssessmentScore_Student_SchoolGrade8_Mathematics","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade4_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade6_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade6_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade8_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade7_Mathematics","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade8_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade8_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade4_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade8_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade3_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade7_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade5_Mathematics","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade11_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade4_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade6_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardMetAndAbove_EnglishLanguageArts_AsAFractionOf_Count_Student_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMet_In_Count_Student_SchoolGrade7_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade5_Mathematics","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade3_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade3_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade4_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade3_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade4_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade11_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardNotMet_Mathematics_AsAFractionOf_Count_Student_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardMet_EnglishLanguageArts_AsAFractionOf_Count_Student_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade6_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade5_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade4_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade3_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade4_EnglishLanguageArts","[]"
"[]","[]","[]","2015","58","Mean_AssessmentScore_Student_SchoolGrade7_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade11_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade3_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade3_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade5_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_Mathematics","[]"
"[]","[]","[]","2015","58","Mean_AssessmentScore_Student_SchoolGrade11_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade4_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardExceeded_Mathematics_AsAFractionOf_Count_Student_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade8_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade11_Mathematics","[]"
"[]","[]","[]","2015","58","Mean_AssessmentScore_Student_SchoolGrade8_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade11_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade7_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade5_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardMetAndAbove_Mathematics_AsAFractionOf_Count_Student_Mathematics","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade7_Mathematics","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade6_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade11_Mathematics","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade4_Mathematics","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade5_Mathematics","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade4_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade3_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade8_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade3_EnglishLanguageArts","[]"
"[]","[]","[]","2015","58","Mean_AssessmentScore_Student_SchoolGrade11_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade6_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardExceeded_EnglishLanguageArts_AsAFractionOf_Count_Student_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade11_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardNearlyMet_EnglishLanguageArts_AsAFractionOf_Count_Student_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardNearlyMet_Mathematics_AsAFractionOf_Count_Student_Mathematics","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade6_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade11_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNearlyMet_In_Count_Student_SchoolGrade5_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade3_EnglishLanguageArts","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade8_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade5_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade4_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade4_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade5_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMet_In_Count_Student_SchoolGrade6_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMet_In_Count_Student_SchoolGrade8_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade3_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade11_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMet_In_Count_Student_SchoolGrade7_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade4_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardMet_Mathematics_AsAFractionOf_Count_Student_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade7_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Count_Student_CAStandardNotMet_EnglishLanguageArts_AsAFractionOf_Count_Student_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade6_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade8_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade6_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade5_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade7_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade8_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardNotMet_In_Count_Student_SchoolGrade3_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade3_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade4_Mathematics","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardExceeded_In_Count_Student_SchoolGrade8_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade11_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade6_Mathematics","[]"
"[]","[]","[]","2015","59","Count_Student_SchoolGrade6_EnglishLanguageArts","[]"
"[Percent]","[100]","[]","2015","58","Percent_CA_StandardMet_In_Count_Student_SchoolGrade11_Mathematics","[]"
"[Percent]","[100]","[]","2015","59","Percent_CA_StandardMetAndAbove_In_Count_Student_SchoolGrade5_Mathematics","[]"
"[]","[]","[]","2015","59","Mean_AssessmentScore_Student_SchoolGrade3_EnglishLanguageArts","[]"
