Reporting Area,Current MMWR Year,MMWR WEEK,observationDate,Label,Current week,"Current week, flag",Previous 52 week Max,"Previous 52 weeks Max, flag",Cumulative YTD Current MMWR Year,"Cumulative YTD Current MMWR Year, flag",Cumulative YTD Previous MMWR Year,"Cumulative YTD Previous MMWR Year, flag",LOCATION1,LOCATION2,sort_order,geocode,observationDate
US RESIDENTS,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,,US RESIDENTS,20221000001,,2022-03-06
NEW ENGLAND,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,,NEW ENGLAND,20221000002,,2022-03-06
CONNECTICUT,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,CONNECTICUT,,20221000003,POINT (-72.738288 41.575155),2022-03-06
MAINE,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,MAINE,,20221000004,POINT (-69.06137 45.117911),2022-03-06
MASSACHUSETTS,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,MASSACHUSETTS,,20221000005,POINT (-71.481104 42.151077),2022-03-06
NEW HAMPSHIRE,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,NEW HAMPSHIRE,,20221000006,POINT (-71.57139 43.680429),2022-03-06
RHODE ISLAND,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,RHODE ISLAND,,20221000007,POINT (-71.534637 41.572574),2022-03-06
VERMONT,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,VERMONT,,20221000008,POINT (-72.662695 44.075252),2022-03-06
MIDDLE ATLANTIC,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,,MIDDLE ATLANTIC,20221000009,,2022-03-06
NEW JERSEY,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,NEW JERSEY,,20221000010,POINT (-74.655514 40.110253),2022-03-06
NEW YORK,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,NEW YORK,,20221000011,POINT (-75.59655 42.921241),2022-03-06
NEW YORK CITY,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,NEW YORK CITY,,20221000012,,2022-03-06
PENNSYLVANIA,2022,10,2022-03-06,Anthrax,,-,0,-,,-,,-,PENNSYLVANIA,,20221000013,POINT (-77.838886 40.896694),2022-03-06
MOUNTAIN,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,1,-,,-,,-,,MOUNTAIN,20221000118,,2022-03-06
ARIZONA,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,0,-,,-,,-,ARIZONA,,20221000119,POINT (-111.664616 34.293239),2022-03-06
COLORADO,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,1,-,,-,,-,COLORADO,,20221000120,POINT (-105.547832 38.998552),2022-03-06
IDAHO,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,0,-,,-,,-,IDAHO,,20221000121,POINT (-114.659366 44.389073),2022-03-06
MONTANA,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,0,-,,-,,-,MONTANA,,20221000122,POINT (-109.645127 47.033521),2022-03-06
NEVADA,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,0,-,,-,,-,NEVADA,,20221000123,POINT (-114.916992 39.283294),2022-03-06
NEW MEXICO,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,1,-,,-,,-,NEW MEXICO,,20221000124,POINT (-106.108388 34.421369),2022-03-06
UTAH,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,0,-,,-,,-,UTAH,,20221000125,POINT (-111.678222 39.323779),2022-03-06
WYOMING,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,0,-,,-,,-,WYOMING,,20221000126,POINT (-107.55145 42.999627),2022-03-06
PACIFIC,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,2,-,,-,1,-,,PACIFIC,20221000127,,2022-03-06
ALASKA,2022,10,2022-03-06,"Arboviral diseases, Chikungunya virus disease",,-,0,-,,-,,-,ALASKA,,20221000128,POINT (-151.631889 63.631126),2022-03-06
