"ScalingFactors","Units","MinDate","observationPeriods","StatVar","MeasurementMethods","NumPlaces"
"[]","[SquareKilometer]","2010","[P1Y, P1M]","Area_DroughtEvent","[]","14770"
"[]","[]","2010","[P1Y, P1M]","Count_DroughtEvent","[]","14770"
