date,place,cases,deaths
2020-04-10,wikidataId/Q2346838,446,
2020-04-11,wikidataId/Q2346838,467,
2020-04-12,wikidataId/Q2346838,508,
2020-04-13,wikidataId/Q2346838,551,
2020-04-15,wikidataId/Q2346838,558,
2020-04-16,wikidataId/Q2346838,575,
2020-04-17,wikidataId/Q2346838,599,
2020-04-18,wikidataId/Q2346838,660,
2020-04-19,wikidataId/Q2346838,690,
2020-04-20,wikidataId/Q2346838,698,
2020-04-21,wikidataId/Q2346838,712,
2020-04-22,wikidataId/Q2346838,726,
2020-04-23,wikidataId/Q2346838,748,
2020-04-24,wikidataId/Q2346838,764,
2020-04-25,wikidataId/Q2346838,772,
2020-04-26,wikidataId/Q2346838,788,
2020-04-27,wikidataId/Q2346838,804,
2020-04-28,wikidataId/Q2346838,811,
2020-04-29,wikidataId/Q2346838,828,
2020-04-30,wikidataId/Q2346838,840,
2020-05-01,wikidataId/Q2346838,865,
2020-05-02,wikidataId/Q2346838,920,
2020-05-03,wikidataId/Q2346838,935,
2020-05-04,wikidataId/Q2346838,954,
2020-05-05,wikidataId/Q2346838,971,
2020-05-06,wikidataId/Q2346838,979,
2020-05-07,wikidataId/Q2346838,1009,
2020-05-08,wikidataId/Q2346838,1029,
2020-05-09,wikidataId/Q2346838,1057,
2020-05-10,wikidataId/Q2346838,1079,
2020-05-11,wikidataId/Q2346838,1085,
2020-05-12,wikidataId/Q2346838,1106,
2020-05-13,wikidataId/Q2346838,1124,
2020-05-14,wikidataId/Q2346838,1153,
2020-05-15,wikidataId/Q2346838,1179,
2020-05-16,wikidataId/Q2346838,1195,
2020-05-17,wikidataId/Q2346838,,
2020-05-18,wikidataId/Q2346838,1204,12
2020-05-19,wikidataId/Q2346838,1214,
2020-05-20,wikidataId/Q2346838,1238,
2020-05-21,wikidataId/Q2346838,1273,
2020-05-22,wikidataId/Q2346838,1313,
2020-05-23,wikidataId/Q2346838,1342,
2020-05-24,wikidataId/Q2346838,1385,14
2020-05-25,wikidataId/Q2346838,1453,
2020-05-26,wikidataId/Q2346838,1467,15
2020-05-27,wikidataId/Q2346838,1496,
2020-05-28,wikidataId/Q2346838,1556,
2020-05-29,wikidataId/Q2346838,1667,
2020-05-30,wikidataId/Q2346838,1762,
2020-05-31,wikidataId/Q2346838,1856,15
2020-06-01,wikidataId/Q2346838,1956,15
2020-06-02,wikidataId/Q2346838,2016,15
2020-06-03,wikidataId/Q2346838,2175,15
2020-06-04,wikidataId/Q2346838,2319,15
2020-06-05,wikidataId/Q2346838,2517,18
2020-06-06,wikidataId/Q2346838,2732,22
2020-06-07,wikidataId/Q2346838,2889,22
2020-06-08,wikidataId/Q2346838,3025,22
2020-06-09,wikidataId/Q2346838,3166,26
2020-06-10,wikidataId/Q2346838,3546,26
2020-06-11,wikidataId/Q2346838,3906,26
2020-06-12,wikidataId/Q2346838,4303,26
2020-06-13,wikidataId/Q2346838,4885,42
2020-06-14,wikidataId/Q2346838,5545,42
2020-06-15,wikidataId/Q2346838,6071,47
2020-06-16,wikidataId/Q2346838,6514,47
2020-06-17,wikidataId/Q2346838,7229,47
2020-06-18,wikidataId/Q2346838,7899,47
2020-06-19,wikidataId/Q2346838,8575,65
2020-06-20,wikidataId/Q2346838,9322,65
2020-06-21,wikidataId/Q2346838,10320,69
2020-06-22,wikidataId/Q2346838,11079,69
2020-06-23,wikidataId/Q2346838,11962,69
2020-06-24,wikidataId/Q2346838,12892,80
2020-06-25,wikidataId/Q2346838,14182,81
2020-06-26,wikidataId/Q2346838,15363,81
2020-06-27,wikidataId/Q2346838,16712,84
2020-06-28,wikidataId/Q2346838,18006,85
2020-06-29,wikidataId/Q2346838,19529,85
2020-06-30,wikidataId/Q2346838,20918,105
2020-07-01,wikidataId/Q2346838,22388,125
2020-07-02,wikidataId/Q2346838,24244,115
2020-07-03,wikidataId/Q2346838,26293,115
2020-07-04,wikidataId/Q2346838,28600,115
2020-07-05,wikidataId/Q2346838,30404,170
2020-07-06,wikidataId/Q2346838,31979,170
2020-07-07,wikidataId/Q2346838,33750,236
2020-07-08,wikidataId/Q2346838,35040,236
2020-07-09,wikidataId/Q2346838,38045,234
2020-07-10,wikidataId/Q2346838,40233,235
2020-07-11,wikidataId/Q2346838,42715,253
2020-07-12,wikidataId/Q2346838,44945,253
2020-07-13,wikidataId/Q2346838,46882,253
2020-07-14,wikidataId/Q2346838,48314,278
2020-07-15,wikidataId/Q2346838,50364,299
2020-07-16,wikidataId/Q2346838,,
2020-07-17,wikidataId/Q2346838,54428,348
2020-07-18,wikidataId/Q2346838,56442,374
2020-07-19,wikidataId/Q2346838,58301,374
2020-07-20,wikidataId/Q2346838,59374,374
2020-07-21,wikidataId/Q2346838,60424,404
2020-07-22,wikidataId/Q2346838,62320,425
2020-07-23,wikidataId/Q2346838,63760,431
2020-07-24,wikidataId/Q2346838,65104,450
2020-07-25,wikidataId/Q2346838,66422,597
2020-07-26,wikidataId/Q2346838,67547,609
2020-07-27,wikidataId/Q2346838,68220,634
2020-07-28,wikidataId/Q2346838,69055,662
2020-07-29,wikidataId/Q2346838,70330,722
2020-07-30,wikidataId/Q2346838,71322,742
2020-07-31,wikidataId/Q2346838,72467,821
2020-08-01,wikidataId/Q2346838,,
2020-08-02,wikidataId/Q2346838,,
2020-08-03,wikidataId/Q2346838,,
2020-08-04,wikidataId/Q2346838,74962,
2020-08-05,wikidataId/Q2346838,75654,957
2020-08-06,wikidataId/Q2346838,76297,970
2020-08-07,wikidataId/Q2346838,76763,1047
2020-08-08,wikidataId/Q2346838,77420,1056
2020-08-09,wikidataId/Q2346838,78123,1059
2020-08-10,wikidataId/Q2346838,78412,1059
2020-08-11,wikidataId/Q2346838,78602,1060
2020-08-12,wikidataId/Q2346838,78794,1084
2020-08-13,wikidataId/Q2346838,79117,1084
2020-08-14,wikidataId/Q2346838,79791,1145
2020-08-15,wikidataId/Q2346838,80110,1153
2020-08-16,wikidataId/Q2346838,80395,1153
2020-08-17,wikidataId/Q2346838,80602,1157
2020-08-18,wikidataId/Q2346838,81017,1231
2020-08-19,wikidataId/Q2346838,81303,1231
2020-08-20,wikidataId/Q2346838,81590,1252
2020-08-21,wikidataId/Q2346838,81883,1277
2020-08-22,wikidataId/Q2346838,82480,1286
2020-08-23,wikidataId/Q2346838,82780,1291
2020-08-24,wikidataId/Q2346838,82969,1295
2020-08-25,wikidataId/Q2346838,83075,1326
2020-08-26,wikidataId/Q2346838,83439,1328
2020-08-27,wikidataId/Q2346838,83578,1328
2020-08-28,wikidataId/Q2346838,83686,1338
2020-08-29,wikidataId/Q2346838,83844,1404
2020-08-30,wikidataId/Q2346838,84018,1413
2020-08-31,wikidataId/Q2346838,84182,1419
2020-09-01,wikidataId/Q2346838,84800,1419
2020-09-02,wikidataId/Q2346838,85009,1460
2020-09-03,wikidataId/Q2346838,85199,1477
2020-09-04,wikidataId/Q2346838,85382,1493
2020-09-05,wikidataId/Q2346838,85485,1501
2020-09-06,wikidataId/Q2346838,85599,1503
2020-09-07,wikidataId/Q2346838,85653,1506
2020-09-08,wikidataId/Q2346838,85729,1508
2020-09-09,wikidataId/Q2346838,85866,1523
2020-09-10,wikidataId/Q2346838,85997,1534
2020-09-11,wikidataId/Q2346838,86107,1550
2020-09-12,wikidataId/Q2346838,86212,1549
2020-09-13,wikidataId/Q2346838,86285,1549
