observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
dcid:country/AFG,1970,44.99843,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1Y,AFA
dcid:country/AFG,1970-01,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-02,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-03,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-04,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-05,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-06,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-07,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-08,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-09,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-10,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-11,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970-12,38.69226,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA,P1M,AFA
dcid:country/AFG,1970,0.045,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFN,P1Y,AFN
dcid:country/ALB,1970,5,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ALL,P1Y,ALL
dcid:country/ALB,1970,5,dcid:StandardizedCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ALL,P1Y,ALL
dcid:country/DZA,1970,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1Y,DZD
dcid:country/DZA,1970-01,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-02,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
dcid:country/DZA,1970-03,4.93706,dcid:LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_DZD,P1M,DZD
