"observationPeriods","StatVar","MinDate","MeasurementMethods","Units","ScalingFactors","NumPlaces"
"[P1W]","Count_MedicalConditionIncident_ConditionInfluenza_PediatricMortality_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_5_LessYears_ConditionHaemophilusInfluenzae_InvasiveDisease_SerotypeB","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionFoodborneBotulism_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionHepatitisCOrPerinatalInfection_ConfirmedCase","2023-11-05","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","65"
"[P1W]","Count_MedicalConditionIncident_ConditionHaemophilusMeningitis_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionGiardiasis_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionDengueDisease_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionStreptococcalToxicShockSyndrome_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionDengueLikeIllness","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionBabesiosis_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionInfantBotulism_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionStreptococcalToxicShockSyndrome_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionSyphilisPrimaryAndSecondary_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionBrucellosis","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionMeningococcalMeningitis_OtherSerogroups","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionQFever_AcuteCondition_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionTrichinellosis","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","63"
"[P1W]","Count_MedicalConditionIncident_ConditionQFever_AcuteCondition_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_5_LessYears_ConditionHaemophilusInfluenzae_InvasiveDisease_UnknownSerotype","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionCholera_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionCampylobacteriosis_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionChikungunya","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionRabiesinhuman","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","66"
"[P1W]","Count_MedicalConditionIncident_ConditionCampylobacteriosis","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionAcuteConditionOrHepatitisB_ConfirmedCase_NonUSResident","2023-12-31","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionWestNileVirusDisease_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionMeasles_IndigenousCase_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionCarbapenemResistantEnterobacteriaceae_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionListeriosis_ConfirmedCase_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionInfantBotulism_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionMeningococcalMeningitis_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionHaemophilusMeningitis","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","59"
"[P1W]","Count_MedicalConditionIncident_ConditionHaemophilusInfluenzae_InvasiveDisease","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionHepatitisCOrPerinatalInfection_ConfirmedCase_USResident","2023-11-05","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionCholera","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionMeasles_ImportedCase","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionHepatitisB_AcuteCondition","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_5_LessYears_ConditionHaemophilusInfluenzae_InvasiveDisease_NonUSResident_SerotypeB","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionMeningococcalMeningitis_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionMeasles_IndigenousCase","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionDengueLikeIllness_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionMalaria","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_5_LessYears_ConditionStreptococcusPneumonia_InvasiveDisease_ConfirmedCase_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionHepatitisA_ConfirmedCase","2023-11-05","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionLegionnairesDisease_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionCyclosporiasis_USResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionHantavirusPulmonarySyndrome_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionPerinatalInfectionOrHepatitisB_ConfirmedCase_NonUSResident","2023-11-05","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionCandidaAuris_ClinicalCase_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionInfantBotulism","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionSyphilisPrimaryAndSecondary_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionListeriosis_ConfirmedCase","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","66"
"[P1W]","Count_MedicalConditionIncident_5_LessYears_ConditionHaemophilusInfluenzae_InvasiveDisease_USResident_SerotypeB","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionLeptospirosis_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionAnthraxDisease_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionAcuteConditionOrHepatitisB_ConfirmedCase","2023-12-31","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","67"
"[P1W]","Count_MedicalConditionIncident_ConditionHaemophilusInfluenzae_InvasiveDisease_NonUSResident","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","1"
"[P1W]","Count_MedicalConditionIncident_ConditionStreptococcalToxicShockSyndrome","2022-01-02","[CDC_NNDSS_Diseases_WeeklyTables]","[]","[]","55"
