period,territory,wage_rural_male,wage_rural_female,wage_rural_person,wage_urban_male,wage_urban_female,wage_urban_person,wage_total_male,wage_total_female,wage_total_person
2017-07,IN-AP,298.06,201.18,259.28,345.72,180.31,302.2,306.51,199.02,265.69
2017-07,IN-AR,344.51,0.0,344.51,313.06,0.0,313.06,335.87,0.0,335.87
2017-07,IN-AS,250.76,150.46,239.22,292.64,271.26,291.45,252.84,153.26,241.65
2017-07,IN-BR,280.73,98.12,274.88,295.59,357.14,296.16,281.73,103.27,276.28
2017-07,IN-CT,182.34,154.41,170.38,253.1,173.23,222.26,193.52,156.98,178.1
2017-07,IN-DL,300.0,0.0,300.0,404.41,300.0,398.47,403.27,300.0,397.46
2017-07,IN-GA,376.92,304.89,350.49,171.89,0.0,171.89,343.96,304.89,331.17
2017-07,IN-GJ,183.82,163.89,176.65,257.8,155.39,241.4,207.67,162.71,193.88
2017-07,IN-HR,299.69,265.97,295.88,340.35,170.94,315.82,306.49,245.94,299.32
2017-07,IN-HP,322.22,326.78,322.93,293.08,150.0,283.1,316.27,309.92,315.39
2017-07,IN-JK,366.45,200.0,364.76,370.36,350.0,370.2,366.91,214.19,365.4
2017-07,IN-JH,240.53,165.39,236.88,271.27,237.1,267.61,244.89,185.39,241.48
2017-07,IN-KA,283.19,148.12,244.86,346.45,217.36,327.07,302.93,159.76,267.6
2017-07,IN-KL,424.87,385.85,418.42,437.53,361.24,431.13,429.44,380.75,422.74
2017-07,IN-MP,186.74,148.85,171.94,239.48,136.53,218.93,192.78,148.26,176.15
2017-07,IN-MH,206.96,135.75,177.53,268.55,174.41,253.58,221.85,138.79,191.36
2017-07,IN-MN,322.66,330.02,322.99,340.74,274.23,337.13,331.43,300.46,329.89
2017-07,IN-ML,282.06,236.15,272.35,382.47,90.69,375.69,329.63,225.39,315.84
2017-07,IN-MZ,339.33,300.0,333.24,326.32,0.0,326.32,330.75,300.0,328.94
2017-07,IN-NL,270.77,0.0,270.77,245.4,0.0,245.4,260.49,0.0,260.49
2017-07,IN-OR,208.49,143.85,188.97,230.51,99.19,198.89,210.1,141.41,189.64
2017-07,IN-PB,307.2,241.53,300.93,337.66,201.03,331.79,313.02,237.84,306.56
2017-07,IN-RJ,296.61,226.65,293.55,329.5,210.84,313.37,305.28,217.92,299.17
2017-07,IN-SK,400.0,0.0,400.0,324.92,0.0,324.92,334.94,0.0,334.94
2017-07,IN-TN,333.25,184.08,301.97,360.04,190.33,327.25,341.72,185.92,309.85
2017-07,IN-TG,262.09,208.22,239.16,321.89,242.44,296.78,277.81,214.45,252.44
2017-07,IN-TR,283.23,219.11,276.26,281.77,263.94,278.73,283.04,228.31,276.61
