observationAbout,observationDate,value,variableMeasured
country/MNG,2025,320061,dcid:Count_Person_0To4Years
country/MNG,2024,340277,dcid:Count_Person_0To4Years
country/MNG,2023,354313,dcid:Count_Person_0To4Years
country/MNG,2022,367484,dcid:Count_Person_0To4Years
country/MNG,2021,377193,dcid:Count_Person_0To4Years
country/MNG,2020,383719,dcid:Count_Person_0To4Years
country/MNG,2019,385681,dcid:Count_Person_0To4Years
country/MNG,2018,391125,dcid:Count_Person_0To4Years
country/MNG,2017,393984,dcid:Count_Person_0To4Years
country/MNG,2016,394514,dcid:Count_Person_0To4Years
country/MNG,2015,386866,dcid:Count_Person_0To4Years
country/MNG,2014,345968,dcid:Count_Person_0To4Years
country/MNG,2013,319422,dcid:Count_Person_0To4Years
country/MNG,2012,305258,dcid:Count_Person_0To4Years
country/MNG,2011,288129,dcid:Count_Person_0To4Years
country/MNG,2010,276321,dcid:Count_Person_0To4Years
country/MNG,2009,263186,dcid:Count_Person_0To4Years
country/MNG,2008,247698,dcid:Count_Person_0To4Years
country/MNG,2007,232963,dcid:Count_Person_0To4Years
country/MNG,2006,216960,dcid:Count_Person_0To4Years
country/MNG,2005,235893,dcid:Count_Person_0To4Years
country/MNG,2004,233180,dcid:Count_Person_0To4Years
country/MNG,2003,230716,dcid:Count_Person_0To4Years
country/MNG,2002,227994,dcid:Count_Person_0To4Years
country/MNG,2001,228703,dcid:Count_Person_0To4Years
country/MNG,2000,230273,dcid:Count_Person_0To4Years
country/MNG,1999,246023,dcid:Count_Person_0To4Years
country/MNG,1998,236701,dcid:Count_Person_0To4Years
country/MNG,1997,233844,dcid:Count_Person_0To4Years
country/MNG,1996,245148,dcid:Count_Person_0To4Years
country/MNG,1995,260200,dcid:Count_Person_0To4Years
country/MNG,1994,275666,dcid:Count_Person_0To4Years
country/MNG,1993,293792,dcid:Count_Person_0To4Years
country/MNG,1992,318770,dcid:Count_Person_0To4Years
country/MNG,1991,335026,dcid:Count_Person_0To4Years
country/MNG,1990,340633,dcid:Count_Person_0To4Years
country/MNG,1989,324856,dcid:Count_Person_0To4Years
country/MNG,1979,263534,dcid:Count_Person_0To4Years
country/MNG,1969,199012,dcid:Count_Person_0To4Years
country/MNG,1963,170389,dcid:Count_Person_0To4Years
country/MNG,1956,106601,dcid:Count_Person_0To4Years
country/MNG,2025,389790,dcid:Count_Person_5To9Years
country/MNG,2024,386370,dcid:Count_Person_5To9Years
country/MNG,2023,395617,dcid:Count_Person_5To9Years
country/MNG,2022,397687,dcid:Count_Person_5To9Years
country/MNG,2021,397461,dcid:Count_Person_5To9Years
country/MNG,2020,390116,dcid:Count_Person_5To9Years
country/MNG,2019,373012,dcid:Count_Person_5To9Years
country/MNG,2018,358379,dcid:Count_Person_5To9Years
country/MNG,2017,341311,dcid:Count_Person_5To9Years
country/MNG,2016,322575,dcid:Count_Person_5To9Years
country/MNG,2015,298808,dcid:Count_Person_5To9Years
country/MNG,2014,271346,dcid:Count_Person_5To9Years
country/MNG,2013,248674,dcid:Count_Person_5To9Years
country/MNG,2012,231805,dcid:Count_Person_5To9Years
country/MNG,2011,222256,dcid:Count_Person_5To9Years
country/MNG,2010,228193,dcid:Count_Person_5To9Years
country/MNG,2009,233139,dcid:Count_Person_5To9Years
country/MNG,2008,240358,dcid:Count_Person_5To9Years
country/MNG,2007,246879,dcid:Count_Person_5To9Years
country/MNG,2006,243465,dcid:Count_Person_5To9Years
country/MNG,2005,273818,dcid:Count_Person_5To9Years
country/MNG,2004,270667,dcid:Count_Person_5To9Years
country/MNG,2003,267807,dcid:Count_Person_5To9Years
country/MNG,2002,264648,dcid:Count_Person_5To9Years
country/MNG,2001,255618,dcid:Count_Person_5To9Years
country/MNG,2000,267504,dcid:Count_Person_5To9Years
country/MNG,1999,285664,dcid:Count_Person_5To9Years
country/MNG,1998,289751,dcid:Count_Person_5To9Years
country/MNG,1997,311920,dcid:Count_Person_5To9Years
country/MNG,1996,317828,dcid:Count_Person_5To9Years
country/MNG,1995,318226,dcid:Count_Person_5To9Years
country/MNG,1994,314084,dcid:Count_Person_5To9Years
country/MNG,1993,308809,dcid:Count_Person_5To9Years
country/MNG,1992,299441,dcid:Count_Person_5To9Years
country/MNG,1991,298627,dcid:Count_Person_5To9Years
country/MNG,1990,291335,dcid:Count_Person_5To9Years
country/MNG,1989,275179,dcid:Count_Person_5To9Years
country/MNG,1979,234986,dcid:Count_Person_5To9Years
country/MNG,1969,194303,dcid:Count_Person_5To9Years
country/MNG,1963,139124,dcid:Count_Person_5To9Years
country/MNG,1956,88919,dcid:Count_Person_5To9Years
country/MNG,2025,388706,dcid:Count_Person_10To14Years
country/MNG,2024,373609,dcid:Count_Person_10To14Years
country/MNG,2023,360503,dcid:Count_Person_10To14Years
country/MNG,2022,343762,dcid:Count_Person_10To14Years
country/MNG,2021,325134,dcid:Count_Person_10To14Years
country/MNG,2020,301137,dcid:Count_Person_10To14Years
country/MNG,2019,279299,dcid:Count_Person_10To14Years
country/MNG,2018,252548,dcid:Count_Person_10To14Years
country/MNG,2017,232601,dcid:Count_Person_10To14Years
country/MNG,2016,220429,dcid:Count_Person_10To14Years
country/MNG,2015,219332,dcid:Count_Person_10To14Years
country/MNG,2014,224132,dcid:Count_Person_10To14Years
country/MNG,2013,234216,dcid:Count_Person_10To14Years
country/MNG,2012,237751,dcid:Count_Person_10To14Years
country/MNG,2011,237733,dcid:Count_Person_10To14Years
country/MNG,2010,248224,dcid:Count_Person_10To14Years
country/MNG,2009,253856,dcid:Count_Person_10To14Years
country/MNG,2008,262156,dcid:Count_Person_10To14Years
country/MNG,2007,269186,dcid:Count_Person_10To14Years
country/MNG,2006,276262,dcid:Count_Person_10To14Years
country/MNG,2005,322924,dcid:Count_Person_10To14Years
country/MNG,2004,319207,dcid:Count_Person_10To14Years
country/MNG,2003,315837,dcid:Count_Person_10To14Years
country/MNG,2002,312107,dcid:Count_Person_10To14Years
country/MNG,2001,311938,dcid:Count_Person_10To14Years
country/MNG,2000,314253,dcid:Count_Person_10To14Years
country/MNG,1999,317434,dcid:Count_Person_10To14Years
country/MNG,1998,306484,dcid:Count_Person_10To14Years
country/MNG,1997,294987,dcid:Count_Person_10To14Years
country/MNG,1996,285685,dcid:Count_Person_10To14Years
country/MNG,1995,275060,dcid:Count_Person_10To14Years
