Location,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935
Total,3591120.0,3554550.0,3514456.0,3467263.0,3419654.0,3367257.0,3296866.0,3238479.0,3177899.0,3119935.0,3057778.0,2995949.0,2930277.0,2867744.0,2811666.0,2760968.0,2716275.0,2665955.0,2620446.0,2583254.0,2551081.0,2521733.0,2495091.0,2465657.0,2432397.0,2403105.0,2373493.0,2340134.0,2307484.0,2276016.0,2242998.0,2206892.0,2171898.0,2158362.0,2177217.0,2153466.0,2043954.0,1997.0,1949.7,1900.6,1854.3,1808.9,1767.5,1724.7,1682.0,1639.7,1595.0,1553.6,1512.4,1466.9,1424.4,1380.7,1339.5,1301.4,1265.4,1230.5,1197.6,1164.5,1134.4,1104.4,1076.0,1045.2,1017.1,998.0,968.1,936.9,909.6,884.8,862.0,845.5,827.3,813.6,799.9,786.1,772.4,758.9,758.7,759.2,759.7,759.4,759.3,759.1,754.2,749.0,743.8,738.6,736.4,747.6,740.0,737.9,738.2
 Location,3591120.0,3554550.0,3514456.0,3467263.0,3419654.0,3367257.0,3296866.0,3238479.0,3177899.0,3119935.0,3057778.0,2995949.0,2930277.0,2867744.0,2811666.0,2760968.0,2716275.0,2665955.0,2620446.0,2583254.0,2551081.0,2521733.0,2495091.0,2465657.0,2432397.0,2403105.0,2373493.0,2340134.0,2307484.0,2276016.0,2242998.0,2206892.0,2171898.0,2158362.0,2177217.0,2153466.0,2043954.0,1997.0,1949.7,1900.6,1854.3,1808.9,1767.5,1724.7,1682.0,1639.7,1595.0,1553.6,1512.4,1466.9,1424.4,1380.7,1339.5,1301.4,1265.4,1230.5,1197.6,1164.5,1134.4,1104.4,1076.0,1045.2,1017.1,..,..,..,..,..,..,845.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
 Urban,2557864.0,2529629.0,2487359.0,2432170.0,2374597.0,2323912.0,2258981.0,2197970.0,2146716.0,2131823.0,2096180.0,1990321.0,1995712.0,1926625.0,1896293.0,1910745.0,1772879.0,1713121.0,1655426.0,1621686.0,1579385.0,1527871.0,1487714.0,1437472.0,1396357.0,1361270.0,1344516.0,1160195.0,1146564.0,1181227.0,1202300.0,1205605.0,1226944.0,1219248.0,1240980.0,1226532.0,1166074.0,1098.4,1052.8,1016.8,964.2,931.6,910.3,881.3,859.5,839.0,817.0,737.1,719.0,696.5,660.9,640.7,621.5,603.9,578.3,541.6,527.4,512.4,449.4,437.3,426.1,413.9,408.8,..,..,..,..,..,..,183.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
 Rural,1033256.0,1024921.0,1027097.0,1035093.0,1045057.0,1043345.0,1037885.0,1040509.0,1031183.0,988112.0,961598.0,1005628.0,934565.0,941119.0,915373.0,850223.0,943396.0,952834.0,965020.0,961568.0,971696.0,993862.0,1007377.0,1028185.0,1036040.0,1041835.0,1028977.0,1179939.0,1160920.0,1094789.0,1040698.0,1001287.0,944954.0,939114.0,936237.0,926934.0,877880.0,898.6,896.9,883.8,890.1,877.3,857.2,843.4,822.5,800.7,778.0,816.5,793.4,770.4,763.5,740.0,718.0,697.5,687.1,688.9,670.2,652.1,685.0,667.1,649.9,631.3,608.3,..,..,..,..,..,..,662.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
 Sex,3591120.0,3554550.0,3514456.0,3467263.0,3419654.0,3367257.0,3296866.0,3238479.0,3177899.0,3119935.0,3057778.0,2995949.0,2930277.0,2867744.0,2811666.0,2760968.0,2716275.0,2665955.0,2620446.0,2583254.0,2551081.0,2521733.0,2495091.0,2465657.0,2432397.0,2403105.0,2373493.0,2340134.0,2307484.0,2276016.0,2242998.0,2206892.0,2171898.0,2158362.0,2177217.0,2153466.0,2043954.0,1997.0,1949.7,1900.6,1854.3,1808.9,1767.5,1724.7,1682.0,1639.7,1595.0,1553.6,1512.4,1466.9,1424.4,1380.7,1339.5,1301.4,1265.4,1230.5,1197.6,1164.5,1134.4,1104.4,1076.0,1045.2,1017.1,998.0,968.1,936.9,909.6,884.8,862.0,845.5,827.3,813.6,799.9,786.1,772.4,758.9,758.7,759.2,759.7,759.4,759.3,759.1,754.2,749.0,743.8,738.6,736.4,747.6,740.0,737.9,738.2
 Male,1758462.0,1741674.0,1723589.0,1701462.0,1679372.0,1654293.0,1619573.0,1591848.0,1562370.0,1533983.0,1503612.0,1466455.0,1425843.0,1393453.0,1364723.0,1342081.0,1328140.0,1301305.0,1277249.0,1259653.0,1265614.0,1251052.0,1237838.0,1223235.0,1204702.0,1190244.0,1177981.0,1161666.0,1145568.0,1129848.0,1114370.0,1096797.0,1082495.0,1075995.0,1085404.0,1073647.0,1020669.0,999.5,976.7,952.2,929.0,906.3,885.5,864.1,842.7,821.2,798.9,775.3,754.7,732.7,711.4,689.2,668.4,649.4,631.2,613.8,597.4,583.4,568.3,553.3,538.6,521.6,508.0,499.3,483.6,467.6,453.6,440.8,428.0,420.3,411.2,403.5,396.8,389.9,383.1,372.9,365.2,373.5,371.8,371.6,371.4,371.3,368.0,365.5,363.0,360.5,359.0,367.6,372.2,371.0,370.8
