observationAbout,observationDate,value,variableMeasured
country/MNG,2020,2152109,dcid:Count_Person_15OrMoreYears
country/MNG,2015,2074486,dcid:Count_Person_15OrMoreYears
country/MNG,2010,1905969,dcid:Count_Person_15OrMoreYears
country/MNG,2000,1524372,dcid:Count_Person_15OrMoreYears
country/MNG,1989,1051952,dcid:Count_Person_15OrMoreYears
country/MNG,1979,778732,dcid:Count_Person_15OrMoreYears
country/MNG,1969,619006,dcid:Count_Person_15OrMoreYears
country/MNG,2020,1039588,dcid:Count_Person_15OrMoreYears_Male
country/MNG,2015,0,dcid:Count_Person_15OrMoreYears_Male
country/MNG,2010,937271,dcid:Count_Person_15OrMoreYears_Male
country/MNG,2000,749890,dcid:Count_Person_15OrMoreYears_Male
country/MNG,1989,0,dcid:Count_Person_15OrMoreYears_Male
country/MNG,1979,0,dcid:Count_Person_15OrMoreYears_Male
country/MNG,1969,0,dcid:Count_Person_15OrMoreYears_Male
country/MNG,2020,1112521,dcid:Count_Person_15OrMoreYears_Female
country/MNG,2015,0,dcid:Count_Person_15OrMoreYears_Female
country/MNG,2010,968698,dcid:Count_Person_15OrMoreYears_Female
country/MNG,2000,774482,dcid:Count_Person_15OrMoreYears_Female
country/MNG,1989,0,dcid:Count_Person_15OrMoreYears_Female
country/MNG,1979,0,dcid:Count_Person_15OrMoreYears_Female
country/MNG,1969,0,dcid:Count_Person_15OrMoreYears_Female
country/MNG,2020,1303751,dcid:Count_Person_15OrMoreYears_NowMarried
country/MNG,2015,1218616,dcid:Count_Person_15OrMoreYears_NowMarried
country/MNG,2010,1146238,dcid:Count_Person_15OrMoreYears_NowMarried
country/MNG,2000,880444,dcid:Count_Person_15OrMoreYears_NowMarried
country/MNG,1989,692476,dcid:Count_Person_15OrMoreYears_NowMarried
country/MNG,1979,509126,dcid:Count_Person_15OrMoreYears_NowMarried
country/MNG,1969,399370,dcid:Count_Person_15OrMoreYears_NowMarried
country/MNG,2020,633932,dcid:dc/70zj83ev915f8
country/MNG,2015,0,dcid:dc/70zj83ev915f8
country/MNG,2010,568943,dcid:dc/70zj83ev915f8
country/MNG,2000,438585,dcid:dc/70zj83ev915f8
country/MNG,1989,0,dcid:dc/70zj83ev915f8
country/MNG,1979,0,dcid:dc/70zj83ev915f8
country/MNG,1969,0,dcid:dc/70zj83ev915f8
country/MNG,2020,51507,dcid:Count_Person_DivorcedOrSeparated
country/MNG,2015,50530,dcid:Count_Person_DivorcedOrSeparated
country/MNG,2010,59007,dcid:Count_Person_DivorcedOrSeparated
country/MNG,2000,41444,dcid:Count_Person_DivorcedOrSeparated
country/MNG,1989,17148,dcid:Count_Person_DivorcedOrSeparated
country/MNG,1979,14449,dcid:Count_Person_DivorcedOrSeparated
country/MNG,1969,13430,dcid:Count_Person_DivorcedOrSeparated
country/MNG,2020,20295,dcid:Count_Person_15OrMoreYears_Male_DivorcedOrSeparated
country/MNG,2015,0,dcid:Count_Person_15OrMoreYears_Male_DivorcedOrSeparated
country/MNG,2010,25172,dcid:Count_Person_15OrMoreYears_Male_DivorcedOrSeparated
country/MNG,2000,15776,dcid:Count_Person_15OrMoreYears_Male_DivorcedOrSeparated
country/MNG,1989,0,dcid:Count_Person_15OrMoreYears_Male_DivorcedOrSeparated
country/MNG,1979,0,dcid:Count_Person_15OrMoreYears_Male_DivorcedOrSeparated
country/MNG,1969,0,dcid:Count_Person_15OrMoreYears_Male_DivorcedOrSeparated
