observationAbout,observationDate,value,variableMeasured
country/MNG,2025,2557864,dcid:Count_Person_Urban
country/MNG,2024,2529629,dcid:Count_Person_Urban
country/MNG,2023,2487359,dcid:Count_Person_Urban
country/MNG,2022,2432170,dcid:Count_Person_Urban
country/MNG,2021,2374597,dcid:Count_Person_Urban
country/MNG,2020,2323912,dcid:Count_Person_Urban
country/MNG,2019,2258981,dcid:Count_Person_Urban
country/MNG,2018,2197970,dcid:Count_Person_Urban
country/MNG,2017,2146716,dcid:Count_Person_Urban
country/MNG,2016,2131823,dcid:Count_Person_Urban
country/MNG,2015,2096180,dcid:Count_Person_Urban
country/MNG,2014,1990321,dcid:Count_Person_Urban
country/MNG,2013,1995712,dcid:Count_Person_Urban
country/MNG,2012,1926625,dcid:Count_Person_Urban
country/MNG,2011,1896293,dcid:Count_Person_Urban
country/MNG,2010,1910745,dcid:Count_Person_Urban
country/MNG,2009,1772879,dcid:Count_Person_Urban
country/MNG,2008,1713121,dcid:Count_Person_Urban
country/MNG,2007,1655426,dcid:Count_Person_Urban
country/MNG,2006,1621686,dcid:Count_Person_Urban
country/MNG,2005,1579385,dcid:Count_Person_Urban
country/MNG,2004,1527871,dcid:Count_Person_Urban
country/MNG,2003,1487714,dcid:Count_Person_Urban
country/MNG,2002,1437472,dcid:Count_Person_Urban
country/MNG,2001,1396357,dcid:Count_Person_Urban
country/MNG,2000,1361270,dcid:Count_Person_Urban
country/MNG,1999,1344516,dcid:Count_Person_Urban
country/MNG,1998,1160195,dcid:Count_Person_Urban
country/MNG,1997,1146564,dcid:Count_Person_Urban
country/MNG,1996,1181227,dcid:Count_Person_Urban
country/MNG,1995,1202300,dcid:Count_Person_Urban
country/MNG,1994,1205605,dcid:Count_Person_Urban
country/MNG,1993,1226944,dcid:Count_Person_Urban
country/MNG,1992,1219248,dcid:Count_Person_Urban
country/MNG,1991,1240980,dcid:Count_Person_Urban
country/MNG,1990,1226532,dcid:Count_Person_Urban
country/MNG,1989,1166074,dcid:Count_Person_Urban
country/MNG,1988,1098400,dcid:Count_Person_Urban
country/MNG,1987,1052800,dcid:Count_Person_Urban
country/MNG,1986,1016800,dcid:Count_Person_Urban
country/MNG,1985,964200,dcid:Count_Person_Urban
country/MNG,1984,931600,dcid:Count_Person_Urban
country/MNG,1983,910300,dcid:Count_Person_Urban
country/MNG,1982,881300,dcid:Count_Person_Urban
country/MNG,1981,859500,dcid:Count_Person_Urban
country/MNG,1980,839000,dcid:Count_Person_Urban
country/MNG,1979,817000,dcid:Count_Person_Urban
country/MNG,1978,737100,dcid:Count_Person_Urban
country/MNG,1977,719000,dcid:Count_Person_Urban
country/MNG,1976,696500,dcid:Count_Person_Urban
country/MNG,1975,660900,dcid:Count_Person_Urban
country/MNG,1974,640700,dcid:Count_Person_Urban
country/MNG,1973,621500,dcid:Count_Person_Urban
country/MNG,1972,603900,dcid:Count_Person_Urban
country/MNG,1971,578300,dcid:Count_Person_Urban
country/MNG,1970,541600,dcid:Count_Person_Urban
country/MNG,1969,527400,dcid:Count_Person_Urban
country/MNG,1968,512400,dcid:Count_Person_Urban
country/MNG,1967,449400,dcid:Count_Person_Urban
country/MNG,1966,437300,dcid:Count_Person_Urban
country/MNG,1965,426100,dcid:Count_Person_Urban
country/MNG,1964,413900,dcid:Count_Person_Urban
country/MNG,1963,408800,dcid:Count_Person_Urban
country/MNG,1956,183000,dcid:Count_Person_Urban
country/MNG,2025,1033256,dcid:Count_Person_Rural
country/MNG,2024,1024921,dcid:Count_Person_Rural
country/MNG,2023,1027097,dcid:Count_Person_Rural
country/MNG,2022,1035093,dcid:Count_Person_Rural
country/MNG,2021,1045057,dcid:Count_Person_Rural
country/MNG,2020,1043345,dcid:Count_Person_Rural
country/MNG,2019,1037885,dcid:Count_Person_Rural
country/MNG,2018,1040509,dcid:Count_Person_Rural
country/MNG,2017,1031183,dcid:Count_Person_Rural
country/MNG,2016,988112,dcid:Count_Person_Rural
country/MNG,2015,961598,dcid:Count_Person_Rural
country/MNG,2014,1005628,dcid:Count_Person_Rural
country/MNG,2013,934565,dcid:Count_Person_Rural
country/MNG,2012,941119,dcid:Count_Person_Rural
country/MNG,2011,915373,dcid:Count_Person_Rural
country/MNG,2010,850223,dcid:Count_Person_Rural
country/MNG,2009,943396,dcid:Count_Person_Rural
country/MNG,2008,952834,dcid:Count_Person_Rural
country/MNG,2007,965020,dcid:Count_Person_Rural
country/MNG,2006,961568,dcid:Count_Person_Rural
country/MNG,2005,971696,dcid:Count_Person_Rural
country/MNG,2004,993862,dcid:Count_Person_Rural
country/MNG,2003,1007377,dcid:Count_Person_Rural
country/MNG,2002,1028185,dcid:Count_Person_Rural
country/MNG,2001,1036040,dcid:Count_Person_Rural
country/MNG,2000,1041835,dcid:Count_Person_Rural
country/MNG,1999,1028977,dcid:Count_Person_Rural
country/MNG,1998,1179939,dcid:Count_Person_Rural
country/MNG,1997,1160920,dcid:Count_Person_Rural
country/MNG,1996,1094789,dcid:Count_Person_Rural
country/MNG,1995,1040698,dcid:Count_Person_Rural
country/MNG,1994,1001287,dcid:Count_Person_Rural
country/MNG,1993,944954,dcid:Count_Person_Rural
country/MNG,1992,939114,dcid:Count_Person_Rural
country/MNG,1991,936237,dcid:Count_Person_Rural
country/MNG,1990,926934,dcid:Count_Person_Rural
country/MNG,1989,877880,dcid:Count_Person_Rural
country/MNG,1988,898600,dcid:Count_Person_Rural
country/MNG,1987,896900,dcid:Count_Person_Rural
country/MNG,1986,883800,dcid:Count_Person_Rural
country/MNG,1985,890100,dcid:Count_Person_Rural
country/MNG,1984,877300,dcid:Count_Person_Rural
country/MNG,1983,857200,dcid:Count_Person_Rural
country/MNG,1982,843400,dcid:Count_Person_Rural
country/MNG,1981,822500,dcid:Count_Person_Rural
country/MNG,1980,800700,dcid:Count_Person_Rural
country/MNG,1979,778000,dcid:Count_Person_Rural
country/MNG,1978,816500,dcid:Count_Person_Rural
country/MNG,1977,793400,dcid:Count_Person_Rural
country/MNG,1976,770400,dcid:Count_Person_Rural
country/MNG,1975,763500,dcid:Count_Person_Rural
country/MNG,1974,740000,dcid:Count_Person_Rural
country/MNG,1973,718000,dcid:Count_Person_Rural
country/MNG,1972,697500,dcid:Count_Person_Rural
country/MNG,1971,687100,dcid:Count_Person_Rural
country/MNG,1970,688900,dcid:Count_Person_Rural
