Reporting Area,Total Resident Population,Anthrax,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,Total Resident Population,Anthrax,Chikungunya virus disease,Eastern equine encephalitis virus disease,Eastern equine encephalitis virus disease,Jamestown Canyon virus disease,Jamestown Canyon virus disease
Reporting Area,Total Resident Population,Anthrax,Chikungunya virus disease,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
United States,323127513,—,247,7,—,7,8
New England,14735525,—,12,—,—,1,1
Connecticut,3576452,—,2,—,—,—,—
Maine,1331479,—,—,—,—,—,—
Massachusetts,6811779,—,6,—,—,1,1
New Hampshire,1334795,—,1,—,—,—,—
Rhode Island,1056426,—,3,—,—,—,—
Vermont,624594,—,—,—,—,—,—
Middle Atlantic,41473985,—,53,1,—,—,—
New Jersey,8944469,—,11,1,—,—,—
New York (excluding New York City),11207616,—,10,—,—,—,—
New York City,8537673,—,27,—,—,—,—
Pennsylvania,12784227,—,5,—,—,—,—
East North Central,46755973,—,25,2,—,5,2
Illinois,12801539,—,13,—,—,—,—
Indiana,6633053,—,2,—,—,—,—
Michigan,9928300,—,4,2,—,—,—
Ohio,11614373,—,4,—,—,—,—
Wisconsin,5778708,—,2,—,—,5,2
West North Central,21185456,—,22,—,—,1,5
Iowa,3134693,—,2,—,—,—,—
Kansas,2907289,—,1,—,—,—,—
Minnesota,5519952,—,16,—,—,1,5
Missouri,6093000,—,1,—,—,—,—
Nebraska,1907116,—,1,—,—,—,—
North Dakota,757952,—,1,—,—,—,—
South Dakota,865454,—,—,—,—,—,—
South Atlantic,63923309,—,27,3,—,—,—
Delaware,952065,—,1,—,—,—,—
District of Columbia,681170,—,—,—,—,—,—
Florida,20612439,—,8,—,—,—,—
Georgia,10310371,—,1,1,—,—,—
Maryland,6016447,—,4,—,—,—,—
North Carolina,10146788,—,3,2,—,—,—
South Carolina,4961119,—,4,—,—,—,—
Virginia,8411808,—,6,—,—,—,—
West Virginia,1831102,—,—,—,—,—,—
East South Central,18940194,—,8,—,—,—,—
Alabama,4863300,—,1,—,—,—,—
Kentucky,4436974,—,3,—,—,—,—
Mississippi,2988726,—,—,—,—,—,—
Tennessee,6651194,—,4,—,—,—,—
West South Central,39456071,—,22,—,—,—,—
Arkansas,2988248,—,1,—,—,—,—
Louisiana,4681666,—,1,—,—,—,—
Oklahoma,3923561,—,—,—,—,—,—
Texas,27862596,—,20,—,—,—,—
Mountain,23855067,—,7,1,—,—,—
Arizona,6931071,—,2,—,—,—,—
Colorado,5540545,—,—,—,—,—,—
Idaho,1683140,—,—,—,—,—,—
Montana,1042520,—,1,1,—,—,—
Nevada,2940058,—,—,—,—,—,—
New Mexico,2081015,—,3,—,—,—,—
Utah,3051217,—,1,—,—,—,—
Wyoming,585501,—,—,—,—,—,—
Pacific,52801933,—,71,—,—,—,—
Alaska,741894,—,—,—,—,—,—
California,39250017,—,57,—,—,—,—
Hawaii,1428557,—,4,—,—,—,—
Oregon,4093465,—,—,—,—,—,—
Washington,7288000,—,10,—,—,—,—
Territories,3951000,—,180,—,—,—,—
American Samoa,54000,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,53000,—,—,—,—,—,—
Guam,163000,—,—,—,—,—,—
Puerto Rico,3578000,—,179,—,—,—,—
U.S. Virgin Islands,103000,—,1,—,—,—,—
