code,dcid
undata-geo:G00134000,undata-geo/G00134000
undata-geo:G00404000,undata-geo/G00404000
undata-geo:G00405000,undata-geo/G00405000
undata-geo:G00403000,undata-geo/G00403000
undata-geo:G00800130,undata-geo/G00800130
undata-geo:G00800100,undata-geo/G00800100
undata-geo:G00406000,undata-geo/G00406000
undata-geo:G00800150,undata-geo/G00800150
undata-geo:G00800370,undata-geo/G00800370
undata-geo:G00126000,undata-geo/G00126000
undata-geo:G00800160,undata-geo/G00800160
undata-geo:G00145000,undata-geo/G00145000
undata-geo:G00500200,undata-geo/G00500200
undata-geo:G00800500,undata-geo/G00800500
undata-geo:G00800480,undata-geo/G00800480
undata-geo:G00103000,undata-geo/G00103000
undata-geo:G00122000,undata-geo/G00122000
undata-geo:G00600700,undata-geo/G00600700
undata-geo:G00600710,undata-geo/G00600710
undata-geo:G00600720,undata-geo/G00600720
undata-geo:G00600110,undata-geo/G00600110
undata-geo:G00500360,undata-geo/G00500360
undata-geo:G00600120,undata-geo/G00600120
undata-geo:G00600410,undata-geo/G00600410
undata-geo:G00600420,undata-geo/G00600420
undata-geo:G00600430,undata-geo/G00600430
undata-geo:G00600440,undata-geo/G00600440
undata-geo:G00600450,undata-geo/G00600450
undata-geo:G00600400,undata-geo/G00600400
undata-geo:G00403100,undata-geo/G00403100
undata-geo:G00403200,undata-geo/G00403200
undata-geo:G00403300,undata-geo/G00403300
undata-geo:G00403500,undata-geo/G00403500
undata-geo:G00404100,undata-geo/G00404100
undata-geo:G00404200,undata-geo/G00404200
undata-geo:G00404300,undata-geo/G00404300
undata-geo:G00404400,undata-geo/G00404400
undata-geo:G00405100,undata-geo/G00405100
undata-geo:G00405200,undata-geo/G00405200
undata-geo:G00405300,undata-geo/G00405300
undata-geo:G00405400,undata-geo/G00405400
undata-geo:G00600000,undata-geo/G00600000
undata-geo:G00500310,EuropeanUnion
undata-geo:G00138000,LatinAmerica
undata-geo:G00137000,LatinAmericaAndCaribbean
undata-geo:G00102000,NorthernAfrica
undata-geo:G00104000,SubSaharanAfrica
undata-geo:G00108000,EasternAfrica
undata-geo:G00112000,MiddleAfrica
undata-geo:G00109000,SouthernAfrica
undata-geo:G00105000,WesternAfrica
undata-geo:G00139000,Caribbean
undata-geo:G00141000,CentralAmerica
undata-geo:G00123000,EasternAsia
undata-geo:G00124000,SouthEasternAsia
undata-geo:G00120000,WesternAsia
undata-geo:G00118000,CentralAsia
undata-geo:G00119000,SouthernAsia
undata-geo:G00131000,NorthernEurope
undata-geo:G00132000,WesternEurope
undata-geo:G00128000,SouthEasternEurope
undata-geo:G00133000,SouthernEurope
undata-geo:G00129000,EasternEurope
undata-geo:G00000590,ChannelIslands
undata-geo:G00144000,AustraliaAndNewZealand
undata-geo:G00146000,Melanesia
undata-geo:G00148000,Micronesia
undata-geo:G00149000,Polynesia
undata-geo:G00100000,Earth
undata-geo:G00101000,africa
undata-geo:G00000110,antarctica
undata-geo:G00114000,asia
undata-geo:G00127000,europe
undata-geo:G00135000,northamerica
undata-geo:G00143000,oceania
undata-geo:G00142000,southamerica
undata-geo:G00401000,undata-geo/G00401000
undata-geo:G00402000,undata-geo/G00402000
undata-geo:G00154000,undata-geo/G00154000
undata-geo:G00162000,undata-geo/G00162000
undata-geo:G00152000,undata-geo/G00152000
undata-geo:G00151000,undata-geo/G00151000
undata-geo:G00100900,undata-geo/G00100900
undata-geo:G00100100,undata-geo/G00100100
undata-geo:G00100600,undata-geo/G00100600
undata-geo:G00100500,undata-geo/G00100500
undata-geo:G00100200,undata-geo/G00100200
undata-geo:G00100400,undata-geo/G00100400
undata-geo:G99999999,undata-geo/G99999999
undata-geo:G00121000,undata-geo/G00121000
