code,dcid
undata-geo:G00000020,country/AFG
undata-geo:G00000040,country/ALA
undata-geo:G00000050,country/ALB
undata-geo:G00000060,country/DZA
undata-geo:G00000070,country/ASM
undata-geo:G00000080,country/AND
undata-geo:G00000090,country/AGO
undata-geo:G00000100,country/AIA
undata-geo:G00000120,country/ATG
undata-geo:G00000140,country/ARM
undata-geo:G00000150,country/ABW
undata-geo:G00000170,country/AUS
undata-geo:G00000180,country/AUT
undata-geo:G00000190,country/AZE
undata-geo:G00000210,country/BHS
undata-geo:G00000220,country/BHR
undata-geo:G00000230,country/BGD
undata-geo:G00000240,country/BRB
undata-geo:G00000260,country/BLR
undata-geo:G00000270,country/BEL
undata-geo:G00000280,country/BLZ
undata-geo:G00000290,country/BEN
undata-geo:G00000310,country/BTN
undata-geo:G00000340,country/BES
undata-geo:G00000350,country/BIH
undata-geo:G00000360,country/BWA
undata-geo:G00000400,country/IOT
undata-geo:G00000410,country/VGB
undata-geo:G00000420,country/BRN
undata-geo:G00000430,country/BGR
undata-geo:G00000440,country/BFA
undata-geo:G00000450,country/BDI
undata-geo:G00000460,country/CPV
undata-geo:G00000470,country/KHM
undata-geo:G00000480,country/CMR
undata-geo:G00000550,country/CYM
undata-geo:G00000560,country/CAF
undata-geo:G00000580,country/TCD
undata-geo:G00000610,country/CHN
undata-geo:G00000620,country/HKG
undata-geo:G00000630,country/MAC
undata-geo:G00000640,country/CXR
undata-geo:G00000650,country/CCK
undata-geo:G00000670,country/COM
undata-geo:G00000680,country/COG
undata-geo:G00000690,country/COK
undata-geo:G00000700,country/CRI
undata-geo:G00000710,country/CIV
undata-geo:G00000720,country/HRV
undata-geo:G00000730,country/CUB
undata-geo:G00000740,country/CUW
undata-geo:G00000750,country/CYP
undata-geo:G00000760,country/CZE
undata-geo:G00000780,country/PRK
undata-geo:G00000790,country/COD
undata-geo:G00000810,country/DNK
undata-geo:G00000820,country/DJI
undata-geo:G00000830,country/DMA
undata-geo:G00000840,country/DOM
undata-geo:G00000900,country/EGY
undata-geo:G00000910,country/SLV
undata-geo:G00000940,country/GNQ
undata-geo:G00000950,country/ERI
undata-geo:G00000960,country/EST
undata-geo:G00000970,country/SWZ
undata-geo:G00000980,country/ETH
undata-geo:G00001010,country/FRO
undata-geo:G00001040,country/FJI
undata-geo:G00001050,country/FIN
undata-geo:G00001060,country/FRA
undata-geo:G00001100,country/PYF
undata-geo:G00001110,country/ATF
