"MinDate","Units","NumObservations","MinValue","ScalingFactors","MaxDate","observationPeriods","StatVar","MaxValue","NumPlaces","NumObservationsDates","MeasurementMethods"
"2008","[Ton]","5733","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Phenol_SCC_24_SolventUtilization","545.5472744130001","3170","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2020","[Ton]","2967","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_CarbonDioxide_SCC_28_MiscellaneousAreaSources","1.7519583561E7","2967","1","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","1044","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Formaldehyde_SCC_5_WasteDisposal","530.98300898664","316","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","2254","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Mercury_SCC_5_WasteDisposal","0.49480524061482","666","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","16117","9.6400539065E-10","[]","2020","[P1Y]","Annual_Amount_Emissions_Chromium_6_SCC_22_MobileSources","0.4679465913784995","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2017","[Ton]","3322","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_NitrousOxide_SCC_3_IndustrialProcesses","91120.298362695","1723","2","[dcAggregate/EPA_NationalEmissionInventory]"
"2017","[Ton]","3705","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Methane_SCC_3_IndustrialProcesses","235258.32443364","1911","2","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","15678","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Methanol_SCC_26_WasteDisposalTreatmentAndRecovery","5495.280262","3231","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","4639","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Selenium_SCC_23_IndustrialProcesses","0.7915","2356","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","186","0.0","[]","2020","[P1Y]","Annual_Amount_Emissions_Cyanide_SCC_2_InternalCombustionEngines","0.75","58","5","[dcAggregate/EPA_NationalEmissionInventory]"
"2008","[Ton]","44","0.0","[]","2008","[P1Y]","Annual_Amount_Emissions_Fluorane_SCC_23_IndustrialProcesses","12.55842882","44","1","[dcAggregate/EPA_NationalEmissionInventory]"
