observationAbout,observationDate,variableMeasured,value,unit,scalingFactor
geoId/01001,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.7,Percent,100
geoId/01001,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,10.9,Percent,100
geoId/01001,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,13.3,Percent,100
geoId/01003,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.3,Percent,100
geoId/01003,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,10.1,Percent,100
geoId/01003,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,12.5,Percent,100
geoId/01005,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,25.2,Percent,100
geoId/01005,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,26.8,Percent,100
geoId/01005,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,29,Percent,100
geoId/01007,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,21.2,Percent,100
geoId/01007,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,20.6,Percent,100
geoId/01007,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,24.9,Percent,100
geoId/01009,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.3,Percent,100
geoId/01009,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,11.7,Percent,100
geoId/01009,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.5,Percent,100
geoId/01011,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,36.5,Percent,100
geoId/01011,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,33.5,Percent,100
geoId/01011,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,39.1,Percent,100
geoId/01013,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,31.5,Percent,100
geoId/01013,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,24.6,Percent,100
geoId/01013,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,27.2,Percent,100
geoId/01015,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.7,Percent,100
geoId/01015,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,16.1,Percent,100
geoId/01015,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,21.8,Percent,100
geoId/01017,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.8,Percent,100
geoId/01017,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17,Percent,100
geoId/01017,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,23.7,Percent,100
geoId/01019,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17.6,Percent,100
geoId/01019,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.6,Percent,100
geoId/01019,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,21.6,Percent,100
geoId/01021,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17.1,Percent,100
geoId/01021,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.7,Percent,100
geoId/01021,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.7,Percent,100
geoId/01023,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,30.2,Percent,100
geoId/01023,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,24.5,Percent,100
geoId/01023,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,28.1,Percent,100
geoId/01025,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,25.9,Percent,100
geoId/01025,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,22.6,Percent,100
geoId/01025,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,23.7,Percent,100
geoId/01027,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17.4,Percent,100
geoId/01027,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17.1,Percent,100
geoId/01027,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,21.8,Percent,100
geoId/01029,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.3,Percent,100
geoId/01029,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,13.9,Percent,100
geoId/01029,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.4,Percent,100
geoId/01031,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.5,Percent,100
geoId/01031,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.7,Percent,100
geoId/01031,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.1,Percent,100
geoId/01033,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.6,Percent,100
geoId/01033,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14,Percent,100
geoId/01033,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,19.3,Percent,100
geoId/01035,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,29.7,Percent,100
geoId/01035,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,26.6,Percent,100
geoId/01035,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,28,Percent,100
geoId/01037,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.2,Percent,100
geoId/01037,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.9,Percent,100
geoId/01037,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,21.5,Percent,100
geoId/01039,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,22,Percent,100
geoId/01039,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.4,Percent,100
geoId/01039,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,23.1,Percent,100
geoId/01041,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,24.3,Percent,100
geoId/01041,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,22.1,Percent,100
geoId/01041,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,21.7,Percent,100
geoId/01043,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.3,Percent,100
geoId/01043,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,13,Percent,100
geoId/01043,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,16,Percent,100
geoId/01045,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.8,Percent,100
geoId/01045,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.1,Percent,100
geoId/01045,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.7,Percent,100
geoId/01047,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,36.2,Percent,100
geoId/01047,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,31.1,Percent,100
geoId/01047,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,35.5,Percent,100
geoId/01049,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17.4,Percent,100
geoId/01049,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.4,Percent,100
geoId/01049,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,22.2,Percent,100
geoId/01051,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.5,Percent,100
geoId/01051,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,10.2,Percent,100
geoId/01051,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,14.3,Percent,100
geoId/01053,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,28.1,Percent,100
geoId/01053,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,20.9,Percent,100
geoId/01053,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,28,Percent,100
geoId/01055,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,16.5,Percent,100
geoId/01055,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,15.7,Percent,100
geoId/01055,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,20.1,Percent,100
geoId/01057,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,20.3,Percent,100
geoId/01057,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17.3,Percent,100
geoId/01057,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,23.4,Percent,100
geoId/01059,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,20.7,Percent,100
geoId/01059,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,18.9,Percent,100
geoId/01059,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,22.6,Percent,100
geoId/01061,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,19.5,Percent,100
geoId/01061,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,19.6,Percent,100
geoId/01061,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,25,Percent,100
geoId/01063,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,45.6,Percent,100
geoId/01063,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,34.3,Percent,100
geoId/01063,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,40.1,Percent,100
geoId/01065,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,35.6,Percent,100
geoId/01065,2000,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,26.9,Percent,100
geoId/01065,2021,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,27.4,Percent,100
geoId/01067,1990,dcid:Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person,17.4,Percent,100
