Year,State,Data Value,Gender
2014,Arizona,312,Male
2015,Arizona,95,Female
2016,California,413,Male
2017,California,174,Female
2018,Colorado,9,Male
2019,Colorado,6,Female
2020,Connecticut,23,Male
