key,prop,val,,,,
Country,populationType,Person,,,,
State/UT,observationAbout,{Data},,,,
Year,,,,,,
OBS_Year,observationDate,{Number},,,,
Gender,,,,,,
Male,gender,Male,,,,
Female,gender,Female,,,,
Life expectancy in years,measuredProperty,lifeExpectancy,value,{Number},unit,Year,observationPeriod,P4Y
jammu and kashmir,observationAbout,wikidataId/Q1180,,,,
himachal pradesh,observationAbout,wikidataId/Q1177,,,,
punjab,observationAbout,wikidataId/Q22424,,,,
uttarakhand,observationAbout,wikidataId/Q1499,,,,
haryana,observationAbout,wikidataId/Q1174,,,,
delhi,observationAbout,wikidataId/Q1353,,,,
rajasthan,observationAbout,wikidataId/Q1437,,,,
uttar pradesh,observationAbout,wikidataId/Q1498,,,,
bihar,observationAbout,wikidataId/Q1165,,,,
assam,observationAbout,wikidataId/Q1164,,,,
West Bengal,observationAbout,wikidataId/Q1356,,,,
jharkhand,observationAbout,wikidataId/Q1184,,,,
odisha,observationAbout,wikidataId/Q22048,,,,
chhattisgarh,observationAbout,wikidataId/Q1168,,,,
madhya pradesh,observationAbout,wikidataId/Q1188,,,,
gujarat,observationAbout,wikidataId/Q1061,,,,
maharashtra,observationAbout,wikidataId/Q1191,,,,
kerala,observationAbout,wikidataId/Q1186,,,,
andhra pradesh,observationAbout,wikidataId/Q1159,,,,
karnataka,observationAbout,wikidataId/Q1185,,,,
tamil nadu,observationAbout,wikidataId/Q1445,,,,
telangana,observationAbout,wikidataId/Q677037,,,,
ladakh,observationAbout,wikidataId/Q200667,,,,
