Detail Data For Saubhagya Monthly Data Having Year : ALL
.
State,District,YearValue,MonthValue,Electrified_Households
ANDHRA PRADESH,SRIKAKULAM,2017,10,2
ANDHRA PRADESH,SRIKAKULAM,2017,11,326
ANDHRA PRADESH,SRIKAKULAM,2017,12,0
ANDHRA PRADESH,SRIKAKULAM,2018,1,0
ANDHRA PRADESH,SRIKAKULAM,2018,2,0
ANDHRA PRADESH,SRIKAKULAM,2018,3,6550
ANDHRA PRADESH,SRIKAKULAM,2018,4,544
ANDHRA PRADESH,SRIKAKULAM,2018,5,374
ANDHRA PRADESH,SRIKAKULAM,2018,6,613
ANDHRA PRADESH,SRIKAKULAM,2018,7,734
ANDHRA PRADESH,SRIKAKULAM,2018,8,571
ANDHRA PRADESH,SRIKAKULAM,2018,9,662
ANDHRA PRADESH,SRIKAKULAM,2018,10,608
ANDHRA PRADESH,SRIKAKULAM,2018,11,893
ANDHRA PRADESH,SRIKAKULAM,2018,12,1536
ANDHRA PRADESH,SRIKAKULAM,2019,1,531
ANDHRA PRADESH,SRIKAKULAM,2019,2,1433
ANDHRA PRADESH,SRIKAKULAM,2019,3,1307
ANDHRA PRADESH,VIZIANAGARAM,2017,10,5
ANDHRA PRADESH,VIZIANAGARAM,2017,11,156
ANDHRA PRADESH,VIZIANAGARAM,2017,12,0
ANDHRA PRADESH,VIZIANAGARAM,2018,1,0
ANDHRA PRADESH,VIZIANAGARAM,2018,2,0
ANDHRA PRADESH,VIZIANAGARAM,2018,3,4265
ANDHRA PRADESH,VIZIANAGARAM,2018,4,289
ANDHRA PRADESH,VIZIANAGARAM,2018,5,182
ANDHRA PRADESH,VIZIANAGARAM,2018,6,310
ANDHRA PRADESH,VIZIANAGARAM,2018,7,1185
ANDHRA PRADESH,VIZIANAGARAM,2018,8,466
ANDHRA PRADESH,VIZIANAGARAM,2018,9,538
ANDHRA PRADESH,VIZIANAGARAM,2018,10,552
ANDHRA PRADESH,VIZIANAGARAM,2018,11,949
ANDHRA PRADESH,VIZIANAGARAM,2018,12,1076
ANDHRA PRADESH,VIZIANAGARAM,2019,1,391
ANDHRA PRADESH,VIZIANAGARAM,2019,2,766
ANDHRA PRADESH,VIZIANAGARAM,2019,3,695
ANDHRA PRADESH,VISAKHAPATNAM,2017,10,99
ANDHRA PRADESH,VISAKHAPATNAM,2017,11,563
ANDHRA PRADESH,VISAKHAPATNAM,2017,12,0
ANDHRA PRADESH,VISAKHAPATNAM,2018,1,0
ANDHRA PRADESH,VISAKHAPATNAM,2018,2,0
ANDHRA PRADESH,VISAKHAPATNAM,2018,3,13104
ANDHRA PRADESH,VISAKHAPATNAM,2018,4,418
ANDHRA PRADESH,VISAKHAPATNAM,2018,5,403
ANDHRA PRADESH,VISAKHAPATNAM,2018,6,607
ANDHRA PRADESH,VISAKHAPATNAM,2018,7,7709
ANDHRA PRADESH,VISAKHAPATNAM,2018,8,1903
ANDHRA PRADESH,VISAKHAPATNAM,2018,9,2198
ANDHRA PRADESH,VISAKHAPATNAM,2018,10,2031
ANDHRA PRADESH,VISAKHAPATNAM,2018,11,2946
ANDHRA PRADESH,VISAKHAPATNAM,2018,12,2577
ANDHRA PRADESH,VISAKHAPATNAM,2019,1,1680
ANDHRA PRADESH,VISAKHAPATNAM,2019,2,2907
ANDHRA PRADESH,VISAKHAPATNAM,2019,3,2568
ANDHRA PRADESH,EAST GODAVARI,2017,10,6
ANDHRA PRADESH,EAST GODAVARI,2017,11,503
ANDHRA PRADESH,EAST GODAVARI,2017,12,0
ANDHRA PRADESH,EAST GODAVARI,2018,1,0
ANDHRA PRADESH,EAST GODAVARI,2018,2,0
ANDHRA PRADESH,EAST GODAVARI,2018,3,16788
ANDHRA PRADESH,EAST GODAVARI,2018,4,1361
ANDHRA PRADESH,EAST GODAVARI,2018,5,1087
ANDHRA PRADESH,EAST GODAVARI,2018,6,1709
ANDHRA PRADESH,EAST GODAVARI,2018,7,4068
ANDHRA PRADESH,EAST GODAVARI,2018,8,1676
