date,MeanValue
1895-01-01,0.46203602444515923
1895-02-01,-0.9096847861048569
1895-03-01,-0.6366291412029591
1895-04-01,-0.4350080411707945
1895-05-01,-0.2772145384367964
1895-06-01,-0.20936313927307815
1895-07-01,-0.02990350595046638
1895-08-01,-0.20133161788356382
1895-09-01,-0.8550080411707944
1895-10-01,-1.051798005789643
1895-11-01,0.07740109359922805
1895-12-01,-0.02115471212608555
1896-01-01,-0.4126632357671277
1896-02-01,-0.05377613380508202
1896-03-01,-0.18213895143132838
1896-04-01,-0.35919266645223547
1896-05-01,-0.18680283049211965
1896-06-01,-0.21546156320360244
1896-07-01,0.300453522032808
1896-08-01,-0.5855773560630427
1896-09-01,0.14504985525892572
1896-10-01,-0.2834834351881634
1896-11-01,0.3421614667095529
1896-12-01,-1.1315953682856223
1897-01-01,0.13136699903505952
1897-02-01,0.37103891926664523
1897-03-01,0.6442779028626567
1897-04-01,-0.01643936957220971
1897-05-01,-0.6681923448054036
1897-06-01,-0.1963428755226761
1897-07-01,0.017282084271469933
1897-08-01,-0.3878899967835317
1897-09-01,-1.1415439047925378
1897-10-01,-0.5556770665808941
1897-11-01,-0.16518173045995496
1897-12-01,0.06551624316500483
1898-01-01,0.16996461884850436
1898-02-01,-0.5769990350595047
1898-03-01,0.02105500160823416
1898-04-01,-0.3743583145706014
1898-05-01,-0.02397555484078481
1898-06-01,-0.14141846252814408
1898-07-01,-0.027809585075587
1898-08-01,0.2573335477645545
1898-09-01,-0.11130910260533934
1898-10-01,0.36253457703441627
1898-11-01,-0.003499517529752323
1898-12-01,-0.5205082019942103
1899-01-01,0.002846574461241563
1899-02-01,0.16795754261820522
1899-03-01,0.15492119652621422
1899-04-01,-0.779893856545513
1899-05-01,-0.23851399163718237
1899-06-01,-0.23371502090704407
1899-07-01,-0.061688645866838206
1899-08-01,-0.45587648761659694
1899-09-01,-0.8129495014474107
1899-10-01,-0.0040816982952717835
1899-11-01,-0.4800964940495336
1899-12-01,-0.04179800578964296
1900-01-01,-0.572627854615632
1900-02-01,0.5195657767770987
1900-03-01,-0.2819202315857189
1900-04-01,0.03609199099388872
1900-05-01,-0.5136506915406883
1900-06-01,0.002064972660019308
1900-07-01,0.0925635252492763
1900-08-01,-0.3231778706979736
1900-09-01,0.018465744612415583
1900-10-01,0.222733998070119
1900-11-01,0.04133805082019942
1900-12-01,-0.7540495336120939
1901-01-01,-0.5340495336120938
1901-02-01,-0.5236989385654551
1901-03-01,-0.07777742039240913
1901-04-01,-0.03817626246381472
1901-05-01,-0.27292055323255066
1901-06-01,-0.3537504020585397
1901-07-01,-0.5708362817626247
1901-08-01,0.1571920231585719
1901-09-01,0.037394660662592484
1901-10-01,-0.637735606304278
1901-11-01,-0.8354261820521068
1901-12-01,0.31395947249919587
1902-01-01,-0.6187552267610165
1902-02-01,-0.10420714055966547
1902-03-01,0.14136699903505953
1902-04-01,-0.7202219363139273
1902-05-01,-0.1916082341588935
1902-06-01,-0.030254100997105172
1902-07-01,-0.04039240913477002
1902-08-01,-0.4798102283692506
1902-09-01,0.1720939208748794
1902-10-01,-0.10848504342232228
1902-11-01,0.22521389514313286
1902-12-01,0.5006625924734641
1903-01-01,-0.28467674493406236
1903-02-01,0.8785879704084916
1903-03-01,0.1978610485686716
1903-04-01,-0.3558025088452879
1903-05-01,-0.16999999999999998
1903-06-01,-0.12376970086844644
1903-07-01,-0.07014474107430041
1903-08-01,0.2463107108394982
1903-09-01,-0.540514634930846
1903-10-01,-0.22766162753296879
1903-11-01,-0.8387970408491476
1903-12-01,-0.763760051463493
1904-01-01,-0.3418944998391766
1904-02-01,-0.3740913477002251
1904-03-01,0.03137986490833066
1904-04-01,-0.428308137664844
1904-05-01,-0.32603409456416854
1904-06-01,-0.07089417819234481
1904-07-01,-0.010768735927951101
1904-08-01,-0.0387777420392409
1904-09-01,-0.3042875522676102
1904-10-01,-0.7637825667417175
1904-11-01,-1.3706658089417818
1904-12-01,-0.1980090061112898
1905-01-01,-0.095574139594725
1905-02-01,-0.00844322933419105
1905-03-01,-0.054268253457703426
1905-04-01,-0.10092634287552267
1905-05-01,0.4178771309102606
1905-06-01,0.06376326793181088
1905-07-01,0.3522450948858154
1905-08-01,-0.005892569958185898
1905-09-01,-0.05284335799292376
1905-10-01,0.06797684142811193
1905-11-01,-0.2044741074300418
1905-12-01,-0.2136764232872306
1906-01-01,0.12114184625281443
1906-02-01,-0.597372145384368
1906-03-01,0.29392087487938245
1906-04-01,-0.6525152782245095
1906-05-01,-0.19914441942746863
1906-06-01,-0.006886458668382107
1906-07-01,0.2285429398520425
1906-08-01,0.40980379543261497
1906-09-01,0.23924091347700227
1906-10-01,-0.04218076551945962
1906-11-01,-0.014339015760694745
1906-12-01,0.13326149887423608
1907-01-01,0.09457060147957544
1907-02-01,-0.6161820521067868
1907-03-01,-0.4548600836281762
1907-04-01,-0.29319716950788033
1907-05-01,0.06318430363460921
1907-06-01,0.08190414924412996
1907-07-01,0.0512479897073014
1907-08-01,-0.1829076873592795
1907-09-01,0.033953039562560315
1907-10-01,-0.3951978128015439
1907-11-01,-0.042454165326471525
1907-12-01,0.12788356384689611
1908-01-01,-0.440045030556449
1908-02-01,0.6641106465101319
1908-03-01,-0.2229109038275973
1908-04-01,0.025220328079768418
1908-05-01,0.5394017368928916
1908-06-01,-0.19416854293985203
1908-07-01,0.030311997426825353
1908-08-01,0.012142167899646198
1908-09-01,-0.7389192666452236
1908-10-01,-0.46901254422643934
1908-11-01,-0.4869507880347379
1908-12-01,-0.6709617240270184
