statvar,dcid
LocalCurrency_ExchangeRate_Currency_USD_AED,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AED
LocalCurrency_ExchangeRate_Currency_USD_AFA,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFA
LocalCurrency_ExchangeRate_Currency_USD_AFN,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AFN
LocalCurrency_ExchangeRate_Currency_USD_AIF,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AIF
LocalCurrency_ExchangeRate_Currency_USD_ALL,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ALL
LocalCurrency_ExchangeRate_Currency_USD_AMD,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AMD
LocalCurrency_ExchangeRate_Currency_USD_ANG,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ANG
LocalCurrency_ExchangeRate_Currency_USD_AOA,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOA
LocalCurrency_ExchangeRate_Currency_USD_AOK,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOK
LocalCurrency_ExchangeRate_Currency_USD_AON,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AON
LocalCurrency_ExchangeRate_Currency_USD_AOR,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOR
LocalCurrency_ExchangeRate_Currency_USD_AOS,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_AOS
LocalCurrency_ExchangeRate_Currency_USD_ARA,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ARA
LocalCurrency_ExchangeRate_Currency_USD_ARL,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ARL
LocalCurrency_ExchangeRate_Currency_USD_ARP,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ARP
LocalCurrency_ExchangeRate_Currency_USD_ARS,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ARS
LocalCurrency_ExchangeRate_Currency_USD_ATS,LocalCurrency_ExchangeRate_Currency_FromCurrency_USD_ToCurrency_ATS
