key,p1,v1,p2,v2,p3,v3,p4,v4,Var1,,Month,,#End,#value
Area,observationAbout,{Data},populationType,Currency,measuredProperty,exchangeRate,fromCurrency,USD,,,,,,
LCU,measurementQualifier,LocalCurrency,CurrencyType,Local currency,,,,,,,,,,
SLC,measurementQualifier,StandardizedCurrency,CurrencyType,Standardized currency,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ISO Currency Code,toCurrency,{Data},,,name,"""{CurrencyType} exchange rate from US Dollar (USD) to {CurrencyName} ({CurrencyCode})""",,,,,,,,
,,,,,,,,,,,,,,
January,Month,1,observationPeriod,P1M,,,,,,,,,,
February,Month,2,observationPeriod,P1M,,,,,,,,,,
March,Month,3,observationPeriod,P1M,,,,,,,,,,
April,Month,4,observationPeriod,P1M,,,,,,,,,,
May,Month,5,observationPeriod,P1M,,,,,,,,,,
June,Month,6,observationPeriod,P1M,,,,,,,,,,
July,Month,7,observationPeriod,P1M,,,,,,,,,,
August,Month,8,observationPeriod,P1M,,,,,,,,,,
September,Month,9,observationPeriod,P1M,,,,,,,,,,
October,Month,10,observationPeriod,P1M,,,,,,,,,,
November,Month,11,observationPeriod,P1M,,,,,,,,,,
December,Month,12,observationPeriod,P1M,,,,,,,,,,
Annual,Month,"""""",observationPeriod,P1Y,,,,,,,,,,
Year,Var1,{Number},,,,,,,,,,,,
Unit,unit,{Data},,,,,,,,,,,,
Value,value,{Number},observationDate,{Var1}-{Month},,,,,,,,,,
AFA,CurrencyCode,AFA,CurrencyName,Afghani (historical),,,,,,,,,,
AFN,CurrencyCode,AFN,CurrencyName,Afghani,,,,,,,,,,
EUR,CurrencyCode,EUR,CurrencyName,Euro,,,,,,,,,,
ALL,CurrencyCode,ALL,CurrencyName,Lek,,,,,,,,,,
DZD,CurrencyCode,DZD,CurrencyName,Algerian Dinar,,,,,,,,,,
FRF,CurrencyCode,FRF,CurrencyName,French Franc,,,,,,,,,,
AOS,CurrencyCode,AOS,CurrencyName,Angolan Escudo (historical),,,,,,,,,,
AOA,CurrencyCode,AOA,CurrencyName,Kwanza,,,,,,,,,,
AOK,CurrencyCode,AOK,CurrencyName,Kwanza (historical),,,,,,,,,,
AOR,CurrencyCode,AOR,CurrencyName,Kwanza readjusted (historical),,,,,,,,,,
AON,CurrencyCode,AON,CurrencyName,New Kwanza (historical),,,,,,,,,,
XCD,CurrencyCode,XCD,CurrencyName,East Caribbean Dollar,,,,,,,,,,
ARS,CurrencyCode,ARS,CurrencyName,Argentine Peso,,,,,,,,,,
ARL,CurrencyCode,ARL,CurrencyName,Argentine Peso Ley (historical),,,,,,,,,,
ARA,CurrencyCode,ARA,CurrencyName,Austral (historical),,,,,,,,,,
ARP,CurrencyCode,ARP,CurrencyName,Peso Argentino (historical),,,,,,,,,,
AMD,CurrencyCode,AMD,CurrencyName,Armenian Dram,,,,,,,,,,
SUR,CurrencyCode,SUR,CurrencyName,Rouble (historical),,,,,,,,,,
RUR,CurrencyCode,RUR,CurrencyName,Russian Ruble (historical),,,,,,,,,,
AWG,CurrencyCode,AWG,CurrencyName,Aruban Florin,,,,,,,,,,
ANG,CurrencyCode,ANG,CurrencyName,Netherlands Antillean Guilder,,,,,,,,,,
AUD,CurrencyCode,AUD,CurrencyName,Australian Dollar,,,,,,,,,,
ATS,CurrencyCode,ATS,CurrencyName,Schilling (historical),,,,,,,,,,
AZM,CurrencyCode,AZM,CurrencyName,Azerbaijanian Manat (historical),,,,,,,,,,
AZN,CurrencyCode,AZN,CurrencyName,Azerbaijanian Manat,,,,,,,,,,
BSD,CurrencyCode,BSD,CurrencyName,Bahamian Dollar,,,,,,,,,,
BHD,CurrencyCode,BHD,CurrencyName,Bahraini Dinar,,,,,,,,,,
PKR,CurrencyCode,PKR,CurrencyName,Pakistan Rupee,,,,,,,,,,
BDT,CurrencyCode,BDT,CurrencyName,Taka,,,,,,,,,,
BBD,CurrencyCode,BBD,CurrencyName,Barbados Dollar,,,,,,,,,,
BYB,CurrencyCode,BYB,CurrencyName,Belarusian Ruble (historical),,,,,,,,,,
BYN,CurrencyCode,BYN,CurrencyName,Belarusian Ruble (historical),,,,,,,,,,
BYR,CurrencyCode,BYR,CurrencyName,Belarusian Ruble,,,,,,,,,,
BEF,CurrencyCode,BEF,CurrencyName,Belgian Franc (historical),,,,,,,,,,
BZD,CurrencyCode,BZD,CurrencyName,Belize Dollar,,,,,,,,,,
