"StatVar","Units","observationPeriods","MinDate","ScalingFactors","MeasurementMethods","NumPlaces"
"worldBank/BX_GSR_ROYL_CD","[USDollar]","[P1Y]","1962","[]","[WorldBank_WDI_CSV]","177"
"worldBank/NY_ADJ_DMIN_GN_ZS","[Percent]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","213"
"worldBank/UIS_EA_2T6_AG25T99_M","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","159"
"worldBank/NE_CON_PRVT_PC_KD","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","185"
"worldBank/BAR_TER_ICMP_75UP_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/BI_EMP_TOTL_PB_RU_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","129"
"worldBank/GC_XPN_TRFT_CN","[]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","155"
"worldBank/NE_DAB_DEFL_ZS","[Percent]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","174"
"worldBank/UIS_SLE_4","[]","[P1Y]","1998","[]","[WorldBank_WDI_CSV]","149"
"worldBank/UIS_EA_2T6_AG25T99_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","159"
"worldBank/5_51_01_09_water","[]","[P1Y]","2004","[]","[WorldBank_BBSC_CSV]","145"
"worldBank/UIS_SLE_0","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","221"
"worldBank/UIS_SLE_1","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","209"
"worldBank/per_si_allsi_cov_q2_tot","[]","[P1Y]","1999","[]","[WorldBank_WDI_CSV]","118"
"worldBank/PRJ_MYS_60UP_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/SP_POP_7074_FE","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","221"
"worldBank/NY_GDP_MKTP_CD","[USDollar]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","218"
"worldBank/HF_UHC_NOP1_CG","[]","[P1Y]","1984","[]","[WorldBank_WDI_CSV]","149"
"worldBank/PRJ_MYS_60UP_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/i_deposit_acc_A1_pop","[]","[P1Y]","2011","[]","[WorldBank_WDI_CSV]","130"
"worldBank/NY_GDP_MKTP_CN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","214"
"worldBank/NY_GNP_MKTP_CD","[USDollar]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","213"
"worldBank/HF_UHC_NOP4_ZS","[Percent]","[P1Y]","1984","[]","[WorldBank_WDI_CSV]","149"
"worldBank/IT_NET_USER_ZS","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","216"
"worldBank/UIS_AIR_2_GPV_GLAST_GPI","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","207"
"worldBank/FS_AST_DOMO_GD_ZS","[Percent]","[P1Y]","2001","[]","[WorldBank_WDI_CSV]","64"
"worldBank/SL_TLF_CACT_FE_NE_ZS","[Percent]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","214"
"worldBank/AG_LND_CREL_HA","[Hectare]","[P1Y]","1961","[]","[WorldBank_WDI_CSV]","186"
"worldBank/UIS_R_1_G6_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","153"
"worldBank/SG_GEN_MNST_ZS","[Percent]","[P1Y]","2005","[]","[WorldBank_WDI_CSV]","197"
"worldBank/BI_EMP_TOTL_PB_TN_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","114"
"worldBank/PRJ_POP_2529_3_FE","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/SL_EMP_WORK_FE_ZS","[Percent]","[P1Y]","1991","[]","[WorldBank_WDI_CSV]","191"
"worldBank/NE_DAB_TOTL_CD","[USDollar]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","190"
"worldBank/BI_EMP_TOTL_PB_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","139"
"worldBank/GC_TAX_TOTL_GD_ZS","[Percent]","[P1Y]","1972","[]","[WorldBank_WDI_CSV]","165"
"worldBank/NV_IND_EMPL_KD","[]","[P1Y]","1991","[]","[WorldBank_WDI_CSV]","184"
"worldBank/SH_PRG_ANEM","[]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","196"
"worldBank/NY_ADJ_NNTY_KD","[]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","183"
"worldBank/TX_MNF_TECH_ZS_UN","[Percent]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","153"
"worldBank/NE_DAB_TOTL_CN","[]","[P1Y]","1960","[]","[WorldBank_WDI_CSV]","186"
"worldBank/SL_UEM_TOTL_MA_ZS","[Percent]","[P1Y]","1991","[]","[WorldBank_WDI_CSV]","191"
"worldBank/DT_NFL_UNTA_CD","[USDollar]","[P1Y]","1969","[]","[WorldBank_WDI_CSV]","181"
"worldBank/BAR_TER_ICMP_5559_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/BAR_SEC_ICMP_5559_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/CC_NO_SRC","[]","[P1Y]","1996","[]","[WorldBank_WDI_CSV]","205"
"worldBank/BAR_TER_ICMP_25UP_ZS","[Percent]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
"worldBank/SE_ENR_SECO_FM_ZS","[Percent]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","209"
"worldBank/per_lm_alllm_cov_q3_tot","[]","[P1Y]","2002","[]","[WorldBank_WDI_CSV]","68"
"worldBank/PRJ_MYS_2529_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/BI_PWK_PRVS_TT_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","130"
"worldBank/UIS_EA_4T6_AG25T99_F","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","161"
"worldBank/VA_EST","[]","[P1Y]","1996","[]","[WorldBank_WDI_CSV]","205"
"worldBank/SL_EMP_1524_SP_ZS","[Percent]","[P1Y]","1991","[]","[WorldBank_WDI_CSV]","191"
"worldBank/PRJ_MYS_2529_MA","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/BI_WAG_TOTL_PB_ZS","[Percent]","[P1Y]","2000","[]","[WorldBank_WDI_CSV]","190"
"worldBank/UIS_FOSEP_56_F400_F","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","151"
"worldBank/PRJ_ATT_80UP_1_FE","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/UIS_EA_4T6_AG25T99_M","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","161"
"worldBank/UIS_XUNIT_USCONST_1_FSGOV","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","150"
"worldBank/SE_PRM_NINT_FE_ZS","[Percent]","[P1Y]","1998","[]","[WorldBank_WDI_CSV]","172"
"worldBank/UIS_FOSEP_56_F400_M","[]","[P1Y]","1998","[]","[WorldBank_EdStats_CSV]","151"
"worldBank/PA_NUS_PRVT_PP","[]","[P1Y]","1990","[]","[WorldBank_WDI_CSV]","209"
"worldBank/UIS_DR_1_G5","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","145"
"worldBank/SE_PRM_NENR_FE","[]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","196"
"worldBank/UIS_DR_1_G4","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","167"
"worldBank/UIS_DR_1_G3","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","189"
"worldBank/UIS_DR_1_G2","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","189"
"worldBank/UIS_DR_1_G1","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","191"
"worldBank/SP_URB_TOTL_FE_ZS","[Percent]","[P1Y]","1980","[]","[WorldBank_WDI_CSV]","197"
"worldBank/SE_TER_CMPL_FE_ZS","[Percent]","[P1Y]","1998","[]","[WorldBank_WDI_CSV]","154"
"worldBank/UIS_XGDP_4_FSGOV","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","150"
"worldBank/UIS_SLE_4_GPI","[]","[P1Y]","1998","[]","[WorldBank_WDI_CSV]","147"
"worldBank/SE_TER_CUAT_ST_ZS","[Percent]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","185"
"worldBank/UIS_REPP_1_G3","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","181"
"worldBank/SL_TLF_PART_MA_ZS","[Percent]","[P1Y]","1976","[]","[WorldBank_WDI_CSV]","181"
"worldBank/PRJ_POP_1519_3_MF","[]","[P1Y]","2010","[]","[WorldBank_WDI_CSV]","167"
"worldBank/UIS_REPP_1_G2","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","181"
"worldBank/UIS_REPP_1_G5","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","160"
"worldBank/UIS_REPP_1_G4","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","180"
"worldBank/UIS_REPP_1_G1","[]","[P1Y]","1970","[]","[WorldBank_EdStats_CSV]","181"
"worldBank/UIS_REPR_1_G2_M","[]","[P1Y]","1994","[]","[WorldBank_WDI_CSV]","184"
"worldBank/2_01_03_01_prcpbase","[]","[P1Y]","2004","[]","[WorldBank_BBSC_CSV]","145"
"worldBank/DT_NFL_DPNG_CD","[USDollar]","[P1Y]","1970","[]","[WorldBank_WDI_CSV]","100"
"worldBank/BAR_TER_SCHL_7074","[]","[P1Y]","1995","[]","[WorldBank_WDI_CSV]","144"
