"MinDate","MeasurementMethods","NumPlaces","ScalingFactors","Units","observationPeriods","StatVar"
"1962","[WorldBank_WDI_CSV]","177","[]","[USDollar]","[P1Y]","worldBank/BX_GSR_ROYL_CD"
"1970","[WorldBank_WDI_CSV]","213","[]","[Percent]","[P1Y]","worldBank/NY_ADJ_DMIN_GN_ZS"
"1994","[WorldBank_WDI_CSV]","159","[]","[]","[P1Y]","worldBank/UIS_EA_2T6_AG25T99_M"
"1960","[WorldBank_WDI_CSV]","185","[]","[]","[P1Y]","worldBank/NE_CON_PRVT_PC_KD"
"1995","[WorldBank_WDI_CSV]","144","[]","[Percent]","[P1Y]","worldBank/BAR_TER_ICMP_75UP_ZS"
"1970","[WorldBank_WDI_CSV]","155","[]","[]","[P1Y]","worldBank/GC_XPN_TRFT_CN"
"2000","[WorldBank_WDI_CSV]","129","[]","[Percent]","[P1Y]","worldBank/BI_EMP_TOTL_PB_RU_ZS"
"1960","[WorldBank_WDI_CSV]","174","[]","[Percent]","[P1Y]","worldBank/NE_DAB_DEFL_ZS"
"1998","[WorldBank_WDI_CSV]","149","[]","[]","[P1Y]","worldBank/UIS_SLE_4"
"1994","[WorldBank_WDI_CSV]","159","[]","[]","[P1Y]","worldBank/UIS_EA_2T6_AG25T99_F"
"1994","[WorldBank_WDI_CSV]","209","[]","[]","[P1Y]","worldBank/UIS_SLE_1"
"1999","[WorldBank_WDI_CSV]","118","[]","[]","[P1Y]","worldBank/per_si_allsi_cov_q2_tot"
"2010","[WorldBank_WDI_CSV]","167","[]","[]","[P1Y]","worldBank/PRJ_MYS_60UP_MA"
"1960","[WorldBank_WDI_CSV]","221","[]","[]","[P1Y]","worldBank/SP_POP_7074_FE"
"1984","[WorldBank_WDI_CSV]","149","[]","[]","[P1Y]","worldBank/HF_UHC_NOP1_CG"
"1960","[WorldBank_WDI_CSV]","218","[]","[USDollar]","[P1Y]","worldBank/NY_GDP_MKTP_CD"
"2010","[WorldBank_WDI_CSV]","167","[]","[]","[P1Y]","worldBank/PRJ_MYS_60UP_MF"
"2011","[WorldBank_WDI_CSV]","130","[]","[]","[P1Y]","worldBank/i_deposit_acc_A1_pop"
"1960","[WorldBank_WDI_CSV]","214","[]","[]","[P1Y]","worldBank/NY_GDP_MKTP_CN"
"1960","[WorldBank_WDI_CSV]","213","[]","[USDollar]","[P1Y]","worldBank/NY_GNP_MKTP_CD"
"1984","[WorldBank_WDI_CSV]","149","[]","[Percent]","[P1Y]","worldBank/HF_UHC_NOP4_ZS"
"1990","[WorldBank_WDI_CSV]","216","[]","[Percent]","[P1Y]","worldBank/IT_NET_USER_ZS"
"2001","[WorldBank_WDI_CSV]","64","[]","[Percent]","[P1Y]","worldBank/FS_AST_DOMO_GD_ZS"
"1961","[WorldBank_WDI_CSV]","186","[]","[Hectare]","[P1Y]","worldBank/AG_LND_CREL_HA"
"1960","[WorldBank_WDI_CSV]","214","[]","[Percent]","[P1Y]","worldBank/SL_TLF_CACT_FE_NE_ZS"
"2005","[WorldBank_WDI_CSV]","197","[]","[Percent]","[P1Y]","worldBank/SG_GEN_MNST_ZS"
"1994","[WorldBank_WDI_CSV]","153","[]","[]","[P1Y]","worldBank/UIS_R_1_G6_F"
"2000","[WorldBank_WDI_CSV]","114","[]","[Percent]","[P1Y]","worldBank/BI_EMP_TOTL_PB_TN_ZS"
"2010","[WorldBank_WDI_CSV]","167","[]","[]","[P1Y]","worldBank/PRJ_POP_2529_3_FE"
"1960","[WorldBank_WDI_CSV]","190","[]","[USDollar]","[P1Y]","worldBank/NE_DAB_TOTL_CD"
