sdg,dcid
4,country/AFG
248,country/ALA
8,country/ALB
12,country/DZA
16,country/ASM
20,country/AND
24,country/AGO
660,country/AIA
10,undata-geo/G00000110
28,country/ATG
32,country/ARG
51,country/ARM
533,country/ABW
36,country/AUS
40,country/AUT
31,country/AZE
920,undata-geo/G00000200
44,country/BHS
48,country/BHR
50,country/BGD
52,country/BRB
112,country/BLR
56,country/BEL
84,country/BLZ
204,country/BEN
60,country/BMU
64,country/BTN
68,country/BOL
535,country/BES
70,country/BIH
72,country/BWA
74,country/BVT
76,country/BRA
86,country/IOT
92,country/VGB
96,country/BRN
100,country/BGR
854,country/BFA
108,country/BDI
132,country/CPV
116,country/KHM
120,country/CMR
124,country/CAN
136,country/CYM
140,country/CAF
148,country/TCD
830,ChannelIslands
152,country/CHL
156,country/CHN
344,country/HKG
446,country/MAC
162,country/CXR
166,country/CCK
170,country/COL
174,country/COM
178,country/COG
184,country/COK
188,country/CRI
384,country/CIV
191,country/HRV
192,country/CUB
531,country/CUW
196,country/CYP
203,country/CZE
408,country/PRK
180,country/COD
208,country/DNK
262,country/DJI
212,country/DMA
214,country/DOM
218,country/ECU
818,country/EGY
222,country/SLV
827,undata-geo/G00000930
226,country/GNQ
232,country/ERI
233,country/EST
748,country/SWZ
231,country/ETH
238,country/FLK
234,country/FRO
242,country/FJI
246,country/FIN
250,country/FRA
254,country/GUF
258,country/PYF
260,country/ATF
266,country/GAB
270,country/GMB
268,country/GEO
276,country/DEU
288,country/GHA
292,country/GIB
300,country/GRC
304,country/GRL
308,country/GRD
312,country/GLP
316,country/GUM
320,country/GTM
831,country/GGY
324,country/GIN
624,country/GNB
328,country/GUY
332,country/HTI
334,country/HMD
336,country/VAT
340,country/HND
348,country/HUN
352,country/ISL
356,country/IND
360,country/IDN
364,country/IRN
368,country/IRQ
372,country/IRL
833,country/IMN
376,country/ISR
380,country/ITA
388,country/JAM
392,country/JPN
832,country/JEY
400,country/JOR
398,country/KAZ
404,country/KEN
296,country/KIR
412,undata-geo/G00001610
414,country/KWT
417,country/KGZ
418,country/LAO
428,country/LVA
422,country/LBN
426,country/LSO
430,country/LBR
434,country/LBY
438,country/LIE
440,country/LTU
442,country/LUX
450,country/MDG
454,country/MWI
458,country/MYS
462,country/MDV
466,country/MLI
470,country/MLT
584,country/MHL
474,country/MTQ
478,country/MRT
480,country/MUS
175,country/MYT
484,country/MEX
583,country/FSM
492,country/MCO
496,country/MNG
499,country/MNE
500,country/MSR
504,country/MAR
508,country/MOZ
104,country/MMR
516,country/NAM
520,country/NRU
524,country/NPL
528,country/NLD
530,undata-geo/G00002100
540,country/NCL
554,country/NZL
558,country/NIC
562,country/NER
566,country/NGA
570,country/NIU
574,country/NFK
807,country/MKD
828,undata-geo/G00002230
580,country/MNP
578,country/NOR
512,country/OMN
586,country/PAK
585,country/PLW
591,country/PAN
598,country/PNG
600,country/PRY
604,country/PER
608,country/PHL
612,country/PCN
616,country/POL
620,country/PRT
630,country/PRI
634,country/QAT
410,country/KOR
498,country/MDA
638,country/REU
642,country/ROU
643,country/RUS
646,country/RWA
652,country/BLM
654,country/SHN
659,country/KNA
662,country/LCA
663,country/MAF
666,country/SPM
670,country/VCT
882,country/WSM
674,country/SMR
678,country/STP
680,undata-geo/G00002720
682,country/SAU
829,undata-geo/G00002740
686,country/SEN
688,country/SRB
891,undata-geo/G00002770
690,country/SYC
694,country/SLE
702,country/SGP
534,country/SXM
703,country/SVK
705,country/SVN
890,undata-geo/G00002870
90,country/SLB
706,country/SOM
710,country/ZAF
239,country/SGS
728,country/SSD
724,country/ESP
144,country/LKA
275,country/PSE
729,country/SDN
736,undata-geo/G00003000
740,country/SUR
744,country/SJM
752,country/SWE
756,country/CHE
760,country/SYR
158,undata-geo/G00003070
762,country/TJK
764,country/THA
626,country/TLS
768,country/TGO
772,country/TKL
776,country/TON
780,country/TTO
788,country/TUN
792,country/TUR
795,country/TKM
796,country/TCA
798,country/TUV
800,country/UGA
804,country/UKR
784,country/ARE
826,country/GBR
834,country/TZA
835,undata-geo/G00003280
836,undata-geo/G00003290
581,country/UMI
840,country/USA
850,country/VIR
858,country/URY
860,country/UZB
548,country/VUT
862,country/VEN
704,country/VNM
876,country/WLF
732,country/ESH
887,country/YEM
894,country/ZMB
716,country/ZWE
1,Earth
935,Earth
936,Earth
937,Earth
99048,Earth
910,undata-geo/G00100100
913,undata-geo/G00100200
914,undata-geo/G00100400
912,undata-geo/G00100500
911,undata-geo/G00100600
907,undata-geo/G00100900
2,africa
901,africa
99042,africa
577,undata-geo/G00101900
951,undata-geo/G00101900
15,NorthernAfrica
747,undata-geo/G00103000
202,SubSaharanAfrica
