pa,subject_label,object_id,object_label
undata-geo:C00900000,Algeria: All cities or breakdown by cities not available,undata-geo:C00900016,Tiaret (Tihert)
undata-geo:C00900000,Algeria: All cities or breakdown by cities not available,undata-geo:C00900017,Tolga
undata-geo:G00141000,Central America,undata-geo:C01000000,Central America: All cities or breakdown by cities not available
undata-geo:G00108000,Eastern Africa,undata-geo:C01100000,Eastern Africa: All cities or breakdown by cities not available
undata-geo:G00102000,Northern Africa,undata-geo:C01200000,Northern Africa: All cities or breakdown by cities not available
undata-geo:G00000070,American Samoa,undata-geo:C01300000,American Samoa: All cities or breakdown by cities not available
undata-geo:G00112000,Middle Africa,undata-geo:C01400000,Middle Africa: All cities or breakdown by cities not available
undata-geo:G00109000,Southern Africa,undata-geo:C01500000,Southern Africa: All cities or breakdown by cities not available
undata-geo:G00134000,Americas,undata-geo:C01600000,Americas: All cities or breakdown by cities not available
undata-geo:G00000080,Andorra,undata-geo:C01700000,Andorra: All cities or breakdown by cities not available
undata-geo:G00136000,Northern America,undata-geo:C01800000,Northern America: All cities or breakdown by cities not available
undata-geo:G00000090,Angola,undata-geo:C01900000,Angola: All cities or breakdown by cities not available
undata-geo:C01900000,Angola: All cities or breakdown by cities not available,undata-geo:C01900001,Luanda
undata-geo:C01900000,Angola: All cities or breakdown by cities not available,undata-geo:C01900002,Windhoek
undata-geo:G00000120,Antigua and Barbuda,undata-geo:C02000000,Antigua and Barbuda: All cities or breakdown by cities not available
undata-geo:C02000000,Antigua and Barbuda: All cities or breakdown by cities not available,undata-geo:C02000001,Antigua
undata-geo:C02000000,Antigua and Barbuda: All cities or breakdown by cities not available,undata-geo:C02000002,Saint John's
undata-geo:G00139000,Caribbean,undata-geo:C02100000,Caribbean: All cities or breakdown by cities not available
undata-geo:G00123000,Eastern Asia,undata-geo:C02200000,Eastern Asia: All cities or breakdown by cities not available
undata-geo:G00000190,Azerbaijan,undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300001,Baku
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300002,Ganja
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300003,Lankaran
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300004,Mingachevir
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300005,Naftalan
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300006,Shaki
undata-geo:C02300000,Azerbaijan: All cities or breakdown by cities not available,undata-geo:C02300007,Shirvan
