observationDate,observationAbout,value,variableMeasured
2022-03-06,country/USA,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease_USResident
2022-03-06,usc/NewEnglandDivision,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/09,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/23,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/25,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/33,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/44,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/50,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,usc/MiddleAtlanticDivision,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/34,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/36,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/3651000,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/42,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,usc/EastNorthCentralDivision,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/17,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/18,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/26,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/39,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/55,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,usc/WestNorthCentralDivision,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/20,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/27,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/29,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/38,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/46,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,usc/SouthAtlanticDivision,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/10,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/11,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/12,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/13,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
2022-03-06,geoId/24,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
