DateTime,isoCode,CumulativeCount_MedicalConditionIncident_COVID_19_PatientRecovered,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,CumulativeCount_MedicalTest_ConditionCOVID_19_Positive
2020-01-30,IN-KL,0,0,1
2020-02-02,IN-KL,0,0,2
2020-02-03,IN-KL,0,0,3
2020-03-02,IN-DL,0,0,1
2020-03-02,IN-KL,0,0,3
2020-03-02,IN-TG,0,0,1
2020-03-03,IN-DL,0,0,1
2020-03-03,IN-KL,0,0,3
2020-03-03,IN-RJ,0,0,1
2020-03-03,IN-TG,0,0,1
2020-03-10,IN-DL,0,0,4
2020-03-10,IN-HR,0,0,14
2020-03-10,IN-JK,0,0,1
2020-03-10,IN-KA,0,0,1
2020-03-10,IN-KL,0,0,9
2020-03-10,IN-LA,0,0,2
2020-03-10,IN-MH,0,0,2
2020-03-10,IN-PB,0,0,1
2020-03-10,IN-RJ,0,0,2
2020-03-10,IN-TG,0,0,1
2020-03-10,IN-TN,0,0,1
2020-03-10,IN-UP,0,0,9
2020-03-11,IN-DL,0,0,5
2020-03-11,IN-HR,0,0,14
2020-03-11,IN-JK,0,0,1
2020-03-11,IN-KA,0,0,4
2020-03-11,IN-KL,0,0,17
2020-03-11,IN-LA,0,0,2
2020-03-11,IN-MH,0,0,2
2020-03-11,IN-PB,0,0,1
2020-03-11,IN-RJ,0,0,3
2020-03-11,IN-TG,0,0,1
2020-03-11,IN-TN,0,0,1
2020-03-11,IN-UP,0,0,9
2020-03-12,IN-AP,0,0,1
2020-03-12,IN-DL,0,0,6
2020-03-12,IN-HR,0,0,14
2020-03-12,IN-JK,0,0,1
2020-03-12,IN-KA,0,0,4
2020-03-12,IN-KL,3,0,17
2020-03-12,IN-LA,0,0,3
2020-03-12,IN-MH,0,0,11
2020-03-12,IN-PB,0,0,1
2020-03-12,IN-RJ,0,0,3
2020-03-12,IN-TG,0,0,1
2020-03-12,IN-TN,0,0,1
2020-03-12,IN-UP,0,0,11
2020-03-13,IN-AP,0,0,1
2020-03-13,IN-DL,1,1,7
2020-03-13,IN-HR,0,0,14
2020-03-13,IN-JK,0,0,1
2020-03-13,IN-KA,0,1,6
2020-03-13,IN-KL,3,0,19
2020-03-13,IN-LA,0,0,3
2020-03-13,IN-MH,0,0,11
2020-03-13,IN-PB,0,0,1
2020-03-13,IN-RJ,1,0,3
2020-03-13,IN-TG,0,0,1
2020-03-13,IN-TN,0,0,1
2020-03-13,IN-UP,5,0,11
2020-03-14,IN-AP,0,0,1
2020-03-14,IN-DL,1,1,7
2020-03-14,IN-HR,0,0,14
2020-03-14,IN-JK,0,0,2
2020-03-14,IN-KA,0,1,6
2020-03-14,IN-KL,3,0,19
2020-03-14,IN-LA,0,0,3
2020-03-14,IN-MH,0,0,14
2020-03-14,IN-PB,0,0,1
2020-03-14,IN-RJ,1,0,3
2020-03-14,IN-TG,0,0,1
2020-03-14,IN-TN,0,0,1
2020-03-14,IN-UP,5,0,12
2020-03-15,IN-AP,0,0,1
2020-03-15,IN-DL,2,1,7
2020-03-15,IN-HR,0,0,14
2020-03-15,IN-JK,0,0,2
2020-03-15,IN-KA,0,1,6
2020-03-15,IN-KL,3,0,22
2020-03-15,IN-LA,0,0,3
2020-03-15,IN-MH,0,0,32
2020-03-15,IN-PB,0,0,1
2020-03-15,IN-RJ,3,0,4
2020-03-15,IN-TG,1,0,3
2020-03-15,IN-TN,0,0,1
2020-03-15,IN-UP,4,0,13
2020-03-15,IN-UT,0,0,1
2020-03-16,IN-AP,0,0,1
2020-03-16,IN-DL,2,1,7
2020-03-16,IN-HR,0,0,14
2020-03-16,IN-JK,0,0,3
2020-03-16,IN-KA,0,1,6
2020-03-16,IN-KL,3,0,23
2020-03-16,IN-LA,0,0,4
2020-03-16,IN-MH,0,0,32
2020-03-16,IN-OR,0,0,1
2020-03-16,IN-PB,0,0,1
2020-03-16,IN-RJ,3,0,4
2020-03-16,IN-TG,1,0,3
2020-03-16,IN-TN,0,0,1
2020-03-16,IN-UP,4,0,13
2020-03-16,IN-UT,0,0,1
2020-03-17,IN-AP,0,0,1
2020-03-17,IN-DL,2,1,8
2020-03-17,IN-HR,0,0,15
2020-03-17,IN-JK,0,0,3
2020-03-17,IN-KA,0,1,11
2020-03-17,IN-KL,3,0,26
2020-03-17,IN-LA,0,0,6
2020-03-17,IN-MH,0,1,39
2020-03-17,IN-OR,0,0,1
2020-03-17,IN-PB,0,0,1
2020-03-17,IN-RJ,3,0,4
2020-03-17,IN-TG,1,0,5
2020-03-17,IN-TN,0,0,1
2020-03-17,IN-UP,5,0,15
2020-03-17,IN-UT,0,0,1
2020-03-18,IN-AP,0,0,1
2020-03-18,IN-DL,2,1,10
2020-03-18,IN-HR,0,0,17
2020-03-18,IN-JK,0,0,3
2020-03-18,IN-KA,0,1,11
2020-03-18,IN-KL,3,0,27
2020-03-18,IN-LA,0,0,8
2020-03-18,IN-MH,0,1,42
2020-03-18,IN-OR,0,0,1
2020-03-18,IN-PB,0,0,1
2020-03-18,IN-PY,0,0,1
2020-03-18,IN-RJ,3,0,4
2020-03-18,IN-TG,1,0,6
2020-03-18,IN-TN,0,0,1
2020-03-18,IN-UP,5,0,16
2020-03-18,IN-UT,0,0,1
2020-03-18,IN-WB,0,0,1
2020-03-19,IN-AP,0,0,2
2020-03-19,IN-CH,0,0,1
2020-03-19,IN-CT,0,0,1
2020-03-19,IN-DL,3,1,12
2020-03-19,IN-HR,0,0,17
2020-03-19,IN-JK,0,0,4
2020-03-19,IN-KA,0,1,14
2020-03-19,IN-KL,3,0,27
2020-03-19,IN-LA,0,0,8
2020-03-19,IN-MH,0,1,47
2020-03-19,IN-OR,0,0,1
2020-03-19,IN-PB,0,1,2
2020-03-19,IN-PY,0,0,1
2020-03-19,IN-RJ,3,0,7
2020-03-19,IN-TG,1,0,6
2020-03-19,IN-TN,1,0,2
2020-03-19,IN-UP,9,0,19
2020-03-19,IN-UT,0,0,1
2020-03-19,IN-WB,0,0,1
2020-03-20,IN-AP,0,0,3
2020-03-20,IN-CH,0,0,1
2020-03-20,IN-CT,0,0,1
2020-03-20,IN-DL,5,1,17
2020-03-20,IN-GJ,0,0,5
2020-03-20,IN-HR,0,0,17
2020-03-20,IN-JK,0,0,4
2020-03-20,IN-KA,1,1,15
2020-03-20,IN-KL,3,0,28
2020-03-20,IN-LA,0,0,10
2020-03-20,IN-MH,0,1,52
2020-03-20,IN-OR,0,0,2
2020-03-20,IN-PB,0,1,2
2020-03-20,IN-PY,0,0,1
2020-03-20,IN-RJ,3,0,17
2020-03-20,IN-TG,1,0,17
2020-03-20,IN-TN,1,0,3
2020-03-20,IN-UP,9,0,23
2020-03-20,IN-UT,0,0,3
2020-03-20,IN-WB,0,0,2
2020-03-21,IN-AP,0,0,3
2020-03-21,IN-CH,0,0,1
2020-03-21,IN-CT,0,0,1
2020-03-21,IN-DL,5,1,26
2020-03-21,IN-GJ,0,0,7
2020-03-21,IN-HP,0,0,2
2020-03-21,IN-HR,0,0,17
2020-03-21,IN-JK,0,0,4
2020-03-21,IN-KA,1,1,15
2020-03-21,IN-KL,3,0,40
2020-03-21,IN-LA,0,0,13
2020-03-21,IN-MH,0,1,63
2020-03-21,IN-MP,0,0,4
2020-03-21,IN-OR,0,0,2
2020-03-21,IN-PB,0,1,13
2020-03-21,IN-PY,0,0,1
2020-03-21,IN-RJ,3,0,17
2020-03-21,IN-TG,1,0,21
2020-03-21,IN-TN,1,0,3
2020-03-21,IN-UP,9,0,24
2020-03-21,IN-UT,0,0,3
2020-03-21,IN-WB,0,0,3
2020-03-22,IN-AP,0,0,5
2020-03-22,IN-BR,0,1,2
2020-03-22,IN-CH,0,0,5
2020-03-22,IN-CT,0,0,1
2020-03-22,IN-DL,5,1,29
2020-03-22,IN-GJ,0,1,18
2020-03-22,IN-HP,0,0,2
2020-03-22,IN-HR,0,0,21
2020-03-22,IN-JK,0,0,4
2020-03-22,IN-KA,2,1,26
2020-03-22,IN-KL,3,0,52
2020-03-22,IN-LA,0,0,13
2020-03-22,IN-MH,0,2,67
2020-03-22,IN-MP,0,0,4
2020-03-22,IN-OR,0,0,2
2020-03-22,IN-PB,0,1,21
2020-03-22,IN-PY,0,0,1
2020-03-22,IN-RJ,3,0,24
2020-03-22,IN-TG,1,0,22
2020-03-22,IN-TN,1,0,7
2020-03-22,IN-UP,9,0,27
2020-03-22,IN-UT,0,0,3
2020-03-22,IN-WB,0,0,4
2020-03-23,IN-AP,0,0,7
2020-03-23,IN-BR,0,1,2
2020-03-23,IN-CH,0,0,6
2020-03-23,IN-CT,0,0,1
2020-03-23,IN-DL,5,1,29
2020-03-23,IN-GJ,0,1,29
2020-03-23,IN-HP,0,1,3
2020-03-23,IN-HR,11,0,26
2020-03-23,IN-JK,0,0,4
2020-03-23,IN-KA,2,1,33
2020-03-23,IN-KL,3,0,67
2020-03-23,IN-LA,0,0,13
2020-03-23,IN-MH,0,2,74
2020-03-23,IN-MP,0,0,6
2020-03-23,IN-OR,0,0,2
2020-03-23,IN-PB,0,1,21
2020-03-23,IN-PY,0,0,1
2020-03-23,IN-RJ,3,0,28
2020-03-23,IN-TG,1,0,32
2020-03-23,IN-TN,1,0,9
2020-03-23,IN-UP,9,0,31
2020-03-23,IN-UT,0,0,3
2020-03-23,IN-WB,0,1,7
2020-03-24,IN-AP,0,0,8
2020-03-24,IN-BR,0,1,3
2020-03-24,IN-CH,0,0,7
2020-03-24,IN-CT,0,0,1
2020-03-24,IN-DL,6,2,30
2020-03-24,IN-GJ,0,1,33
2020-03-24,IN-HP,0,1,3
2020-03-24,IN-HR,11,0,28
2020-03-24,IN-JK,0,0,4
2020-03-24,IN-KA,3,1,37
2020-03-24,IN-KL,4,0,95
2020-03-24,IN-LA,0,0,13
2020-03-24,IN-MH,0,2,89
2020-03-24,IN-MN,0,0,1
2020-03-24,IN-MP,0,0,7
2020-03-24,IN-OR,0,0,2
2020-03-24,IN-PB,0,1,29
2020-03-24,IN-PY,0,0,1
2020-03-24,IN-RJ,3,0,32
2020-03-24,IN-TG,1,0,35
2020-03-24,IN-TN,1,0,15
2020-03-24,IN-UP,11,0,33
2020-03-24,IN-UT,0,0,4
2020-03-24,IN-WB,0,1,9
2020-03-25,IN-AP,1,0,9
2020-03-25,IN-BR,0,1,4
2020-03-25,IN-CH,0,0,7
2020-03-25,IN-CT,0,0,1
2020-03-25,IN-DL,6,1,31
2020-03-25,IN-GJ,0,1,38
2020-03-25,IN-HP,0,1,3
2020-03-25,IN-HR,11,0,28
2020-03-25,IN-JK,1,0,7
2020-03-25,IN-KA,3,1,41
2020-03-25,IN-KL,4,0,109
2020-03-25,IN-LA,0,0,13
2020-03-25,IN-MH,1,3,128
2020-03-25,IN-MN,0,0,1
2020-03-25,IN-MP,0,0,14
2020-03-25,IN-MZ,0,0,1
2020-03-25,IN-OR,0,0,2
2020-03-25,IN-PB,0,1,29
2020-03-25,IN-PY,0,0,1
2020-03-25,IN-RJ,3,0,36
2020-03-25,IN-TG,1,0,35
2020-03-25,IN-TN,1,0,18
2020-03-25,IN-UP,11,0,37
2020-03-25,IN-UT,0,0,4
2020-03-25,IN-WB,0,1,9
2020-03-26,IN-AN,0,0,1
2020-03-26,IN-AP,1,0,11
2020-03-26,IN-BR,0,1,6
2020-03-26,IN-CH,0,0,7
2020-03-26,IN-CT,0,0,6
2020-03-26,IN-DL,6,1,36
2020-03-26,IN-GA,0,0,3
2020-03-26,IN-GJ,0,3,43
2020-03-26,IN-HP,0,1,3
2020-03-26,IN-HR,11,0,30
2020-03-26,IN-JK,1,0,13
2020-03-26,IN-KA,3,2,55
2020-03-26,IN-KL,6,0,118
2020-03-26,IN-LA,0,0,13
2020-03-26,IN-MH,1,3,124
2020-03-26,IN-MN,0,0,1
2020-03-26,IN-MP,0,1,20
2020-03-26,IN-MZ,0,0,1
2020-03-26,IN-OR,0,0,2
2020-03-26,IN-PB,0,1,33
2020-03-26,IN-PY,0,0,1
2020-03-26,IN-RJ,3,0,41
2020-03-26,IN-TG,1,0,44
2020-03-26,IN-TN,1,1,26
2020-03-26,IN-UP,11,0,41
2020-03-26,IN-UT,0,0,5
2020-03-26,IN-WB,0,1,10
2020-03-27,IN-AN,0,0,1
2020-03-27,IN-AP,1,0,12
2020-03-27,IN-BR,0,1,6
2020-03-27,IN-CH,0,0,7
2020-03-27,IN-CT,0,0,6
2020-03-27,IN-DL,6,1,36
2020-03-27,IN-GA,0,0,3
2020-03-27,IN-GJ,0,3,43
2020-03-27,IN-HP,0,1,3
2020-03-27,IN-HR,11,0,30
2020-03-27,IN-JK,1,1,13
2020-03-27,IN-KA,3,2,55
2020-03-27,IN-KL,11,0,137
2020-03-27,IN-LA,3,0,13
2020-03-27,IN-MH,15,4,130
2020-03-27,IN-MN,0,0,1
2020-03-27,IN-MP,0,1,20
2020-03-27,IN-MZ,0,0,1
2020-03-27,IN-OR,0,0,2
2020-03-27,IN-PB,0,1,33
2020-03-27,IN-PY,0,0,1
2020-03-27,IN-RJ,3,0,41
2020-03-27,IN-TG,1,0,45
2020-03-27,IN-TN,1,1,29
2020-03-27,IN-UP,11,0,41
2020-03-27,IN-UT,0,0,5
2020-03-27,IN-WB,0,1,10
2020-03-28,IN-AN,0,0,6
2020-03-28,IN-AP,1,0,14
2020-03-28,IN-BR,0,1,9
2020-03-28,IN-CH,0,0,8
2020-03-28,IN-CT,0,0,6
2020-03-28,IN-DL,6,1,39
2020-03-28,IN-GA,0,0,3
2020-03-28,IN-GJ,0,3,45
2020-03-28,IN-HP,0,1,3
2020-03-28,IN-HR,12,0,33
2020-03-28,IN-JK,1,1,20
2020-03-28,IN-KA,3,2,55
2020-03-28,IN-KL,11,0,176
2020-03-28,IN-LA,3,0,13
2020-03-28,IN-MH,25,5,180
2020-03-28,IN-MN,0,0,1
2020-03-28,IN-MP,0,2,30
2020-03-28,IN-MZ,0,0,1
2020-03-28,IN-OR,0,0,3
2020-03-28,IN-PB,1,1,38
2020-03-28,IN-PY,0,0,1
2020-03-28,IN-RJ,3,0,54
2020-03-28,IN-TG,1,0,56
2020-03-28,IN-TN,2,1,40
2020-03-28,IN-UP,11,0,55
2020-03-28,IN-UT,0,0,5
2020-03-28,IN-WB,0,1,15
2020-03-29,IN-AN,0,0,9
2020-03-29,IN-AP,1,0,19
2020-03-29,IN-BR,0,1,11
2020-03-29,IN-CH,0,0,8
2020-03-29,IN-CT,0,0,7
2020-03-29,IN-DL,6,2,49
2020-03-29,IN-GA,0,0,5
2020-03-29,IN-GJ,1,5,58
2020-03-29,IN-HP,0,1,3
2020-03-29,IN-HR,17,0,33
2020-03-29,IN-JK,1,2,31
2020-03-29,IN-KA,5,3,76
2020-03-29,IN-KL,15,1,182
2020-03-29,IN-LA,3,0,13
2020-03-29,IN-MH,25,6,186
2020-03-29,IN-MN,0,0,1
2020-03-29,IN-MP,0,2,30
2020-03-29,IN-MZ,0,0,1
2020-03-29,IN-OR,0,0,3
2020-03-29,IN-PB,1,1,38
2020-03-29,IN-PY,0,0,1
2020-03-29,IN-RJ,3,0,55
2020-03-29,IN-TG,1,1,66
2020-03-29,IN-TN,4,1,49
2020-03-29,IN-UP,11,0,65
2020-03-29,IN-UT,2,0,7
2020-03-29,IN-WB,0,1,18
2020-03-30,IN-AN,0,0,9
2020-03-30,IN-AP,1,0,23
2020-03-30,IN-BR,0,1,15
2020-03-30,IN-CH,0,0,8
2020-03-30,IN-CT,0,0,7
2020-03-30,IN-DL,6,2,87
2020-03-30,IN-GA,0,0,5
2020-03-30,IN-GJ,1,6,69
2020-03-30,IN-HP,0,1,3
2020-03-30,IN-HR,18,0,36
2020-03-30,IN-JK,2,2,48
2020-03-30,IN-KA,5,3,83
2020-03-30,IN-KL,19,1,202
2020-03-30,IN-LA,3,0,13
2020-03-30,IN-MH,25,8,198
2020-03-30,IN-MN,0,0,1
2020-03-30,IN-MP,0,3,47
2020-03-30,IN-MZ,0,0,1
2020-03-30,IN-OR,0,0,3
2020-03-30,IN-PB,1,1,38
2020-03-30,IN-PY,0,0,1
2020-03-30,IN-RJ,3,0,59
2020-03-30,IN-TG,1,1,71
2020-03-30,IN-TN,4,1,67
2020-03-30,IN-UP,11,0,82
2020-03-30,IN-UT,2,0,7
2020-03-30,IN-WB,0,1,22
2020-03-31,IN-AN,0,0,10
2020-03-31,IN-AP,1,0,40
2020-03-31,IN-BR,0,1,15
2020-03-31,IN-CH,0,0,13
2020-03-31,IN-CT,0,0,8
2020-03-31,IN-DL,6,2,97
2020-03-31,IN-GA,0,0,5
2020-03-31,IN-GJ,3,6,73
2020-03-31,IN-HP,0,1,3
2020-03-31,IN-HR,21,0,40
2020-03-31,IN-JK,2,2,54
2020-03-31,IN-KA,5,3,83
2020-03-31,IN-KL,19,1,234
2020-03-31,IN-LA,3,0,13
2020-03-31,IN-MH,39,9,216
2020-03-31,IN-MN,0,0,1
2020-03-31,IN-MP,0,3,47
2020-03-31,IN-MZ,0,0,1
2020-03-31,IN-OR,0,0,3
2020-03-31,IN-PB,1,3,41
2020-03-31,IN-PY,0,0,1
2020-03-31,IN-RJ,3,0,74
2020-03-31,IN-TG,1,1,79
2020-03-31,IN-TN,4,1,74
2020-03-31,IN-UP,14,0,101
2020-03-31,IN-UT,2,0,7
2020-03-31,IN-WB,0,2,26
2020-04-01,IN-AN,1,0,10
2020-04-01,IN-AP,0,0,83
2020-04-01,IN-AS,0,0,1
2020-04-01,IN-BR,0,1,23
2020-04-01,IN-CH,0,0,16
2020-04-01,IN-CT,2,0,9
2020-04-01,IN-DL,6,2,152
2020-04-01,IN-GA,0,0,5
2020-04-01,IN-GJ,5,6,82
2020-04-01,IN-HP,0,1,3
2020-04-01,IN-HR,21,0,43
2020-04-01,IN-JH,0,0,1
2020-04-01,IN-JK,2,2,62
2020-04-01,IN-KA,8,3,101
2020-04-01,IN-KL,23,2,241
2020-04-01,IN-LA,3,0,13
2020-04-01,IN-MH,39,9,302
2020-04-01,IN-MN,0,0,1
2020-04-01,IN-MP,0,3,66
2020-04-01,IN-MZ,0,0,1
2020-04-01,IN-OR,0,0,4
2020-04-01,IN-PB,1,3,42
2020-04-01,IN-PY,1,0,3
2020-04-01,IN-RJ,3,0,93
2020-04-01,IN-TG,1,3,96
2020-04-01,IN-TN,6,1,234
2020-04-01,IN-UP,14,2,103
2020-04-01,IN-UT,2,0,7
2020-04-01,IN-WB,6,3,37
2020-04-02,IN-AN,0,0,10
2020-04-02,IN-AP,1,1,86
2020-04-02,IN-AS,0,0,5
2020-04-02,IN-BR,0,1,24
2020-04-02,IN-CH,0,0,16
2020-04-02,IN-CT,2,0,9
2020-04-02,IN-DL,8,4,219
2020-04-02,IN-GA,0,0,5
2020-04-02,IN-GJ,8,7,87
2020-04-02,IN-HP,1,1,3
2020-04-02,IN-HR,21,0,43
2020-04-02,IN-JH,0,0,1
2020-04-02,IN-JK,2,2,62
2020-04-02,IN-KA,9,3,110
2020-04-02,IN-KL,25,2,265
2020-04-02,IN-LA,3,0,13
2020-04-02,IN-MH,42,13,335
2020-04-02,IN-MN,0,0,1
2020-04-02,IN-MP,0,6,99
2020-04-02,IN-MZ,0,0,1
2020-04-02,IN-OR,0,0,4
2020-04-02,IN-PB,1,4,46
2020-04-02,IN-PY,1,0,3
2020-04-02,IN-RJ,3,0,108
2020-04-02,IN-TG,1,3,107
2020-04-02,IN-TN,6,1,234
2020-04-02,IN-UP,14,2,113
2020-04-02,IN-UT,2,0,7
