key,prop,val,p1,v1,Name1,"""""",Name2,"""""",AlternateName1,"""""",AlternateName2,"""""",#End,#value
TIME_PERIOD,observationDate,{Number},,,,,,,,,,,,
OBS_VALUE,value,{Number},populationType,Person,employmentStatus,dcs:Employed,age,[15 - Years],name,"""{Name1} {Name2}""",alternateName,"""{AlternateName1}{AlternateName2}@ar""",,
ID_GOVERNORATES,observationAbout,{Number},,,,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,,,
,,,,,,,,,,,,,,
جملة للنشاط االقتصادى,economicSector,EconomicActivity,Name1,The total number of 15 or more year old employed in the economic activity sector,AlternateName1,جملة للنشاط االقتصادى,,,,,,,,
الزراعة والصيد واستغالل الغابات وقطع اشجار االخشاب,economicSector,AgricultureHuntingForestryCuttingTrees,Name1,The total number of 15 or more year old employed in agriculture hunting forestry & cutting of wood trees,AlternateName1,الزراعة والصيد واستغالل الغابات وقطع اشجار االخشاب,,,,,,,,
التعدين و إستغالل المحاجر,economicSector,MiningAndQuarryingIndustry,Name1,The total number of 15 or more year old employed in the mining & quarrying sector,AlternateName1,التعدين و إستغالل المحاجر,,,,,,,,
الصناعات التحويلية,economicSector,Manufacturing,Name1,The total number of 15 or more year old employed in the manufacturing sector,AlternateName1,الصناعات التحويلية,,,,,,,,
إمداد الكهرباء ، الغاز ، البخار وإمدادات تكييف الهواء,economicSector,ElectricityGasSteamAirConditionSupplies,Name1,The total number of 15 or more year old employed in the electric gas steam and air condition supplies sector,AlternateName1,إمداد الكهرباء ، الغاز ، البخار وإمدادات تكييف الهواء,,,,,,,,
اإلمداد المائى وشبكات الصرف الصحى,economicSector,WaterSupportDrainRecycling,Name1,The total number of 15 or more year old employed in the water support draine recycling sector,AlternateName1,اإلمداد المائى وشبكات الصرف الصحى,,,,,,,,
التشييد والبناء,economicSector,ConstructionAndBuilding,Name1,The total number of 15 or more year old employed in construction and building sector.,AlternateName1,التشييد والبناء,,,,,,,,
تجارة الجملة والتجزئة وإصالح المركبات,economicSector,VehicleTradeRepair,Name1,The total number of 15 or more year old employed in the whole and retail sale vehicles motorcycles repairing sector,AlternateName1,تجارة الجملة والتجزئة وإصالح المركبات,,,,,,,,
النقل و التخزين,economicSector,TransportStorageSector,Name1,The total number of 15 or more year old employed in the transportation & storage sector,AlternateName1,النقل و التخزين,,,,,,,,
خدمات الغذاء واإلقامة,economicSector,FoodResidenceServices,Name1,The total number of 15 or more year old employed in the food and residence services sector,AlternateName1,خدمات الغذاء واإلقامة,,,,,,,,
المعلومات واإلتصاالت,economicSector,InformationAndTelecommunication,Name1,The total number of 15 or more year old employed in the Informations and telecommunications sector,AlternateName1,المعلومات واإلتصاالت,,,,,,,,
الوساطة المالية والتأمين,economicSector,InsuranceFinancialIntermediation,Name1,The total number of 15 or more year old employed in the Insurance & Financial Intermediation sector,AlternateName1,الوساطة المالية والتأمين,,,,,,,,
أنشطة العقارات والتأجير,economicSector,RealEstateRenting,Name1,The total number of 15 or more year old employed in the real estate and renting sector,AlternateName1,أنشطة العقارات والتأجير,,,,,,,,
األنشطة العلمية والتقنية المتخصصة,economicSector,SpecializedScientificAndTechnicalActivities,Name1,The total number of 15 or more year old employed in the scientific and technical sector,AlternateName1,األنشطة العلمية والتقنية المتخصصة,,,,,,,,
األنشطة اإلدارية وخدمات الدعم,economicSector,AdministrativeAndSupportServiceActivities,Name1,The total number of 15 or more year old employed in the administrative activities and support services sector,AlternateName1,األنشطة اإلدارية وخدمات الدعم,,,,,,,,
األدارة العامة و الدفاع والضمان اإلجتماعى,economicSector,PublicAdministrationAndDefence,Name1,The total number of 15 or more year old employed in the public administration defense and social security sector,AlternateName1,األدارة العامة و الدفاع والضمان اإلجتماعى,,,,,,,,
التعليم,economicSector,EducationSector,Name1,The total number of 15 or more year old employed in the education sector,AlternateName1,التعليم,,,,,,,,
الصحة و العمل األجتماعي,economicSector,HumanHealthAndSocialWorkActivities,Name1,The total number of 15 or more year old employed in the Health and social work sector,AlternateName1,الصحة و العمل األجتماعي,,,,,,,,
أنشطة الفنون واإلبداع والتسلية,economicSector,ArtsEntertainmentAndRecreation,Name1,The total number of 15 or more year old employed in the Arts creativity and entertainment sector,AlternateName1,أنشطة الفنون واإلبداع والتسلية,,,,,,,,
أنشطة الخدمات األخرى,economicSector,OtherServiceActivities,Name1,The total number of 15 or more year old employed in the Other service sector,AlternateName1,أنشطة الخدمات األخرى,,,,,,,,
خدمات أفراد الخدمة المنزلية لألسر الخاصة,economicSector,DomesticAndPersonnelServicesForPrivateFamilies,Name1,The total number of 15 or more year old employed in the Domestic and personnel services sector,AlternateName1,خدمات أفراد الخدمة المنزلية لألسر الخاصة,,,,,,,,
المنظمات و الهيئات الدولية واإلقليمية,economicSector,InternationalAndRegionalOrganizations,Name1,The total number of 15 or more year old employed in the International and regional organizations sector,AlternateName1,المنظمات و الهيئات الدولية واإلقليمية,,,,,,,,
أنشطة غير كاملة التوصيف,economicSector,IncompletelyDescribedActivities,Name1,The total number of 15 or more year old employed in the Incompletely described activities sector,AlternateName1,أنشطة غير كاملة التوصيف,,,,,,,,
,,,,,,,,,,,,,,
ذكور,gender,Male,Name2,male,AlternateName2,ذكور,,,,,,,,
إناث,gender,Female,Name2,female,AlternateName2,إناث,,,,,,,,
NAMEARAB_SEX:جملة,,,Name2,"""""",AlternateName2,"""""",,,,,,,,
