key,prop,val,p1,v1,Name1,"""""",Name2,"""""",Name3,"""""",Name4,"""""",AlternateName1,"""""",AlternateName2,"""""",AlternateName3,"""""",#End,#value
TIME_PERIOD,observationDate,{Number},observationAbout,country/EGY,,,,,,,,,,,,,,,,
OBS_VALUE,value,{Number},name,"""{Name1} ,{Name2} ,{Name3} ,{Name4}""",alternateName,"""{AlternateName1},{AlternateName2},{AlternateName3},{AlternateName4}""",,,,,,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,,,,,,,,,
إجمالى الجمهورية,#ignore,ignore ,,,,,,,,,,,,,,,,,,
اقل من السن,#ignore,ignore ,,,,,,,,,,,,,,,,,,
إجمالى الحالات الزواجية,#ignore,ignore ,,,,,,,,,,,,,,,,,,
لم يتزوج,populationType,Person,maritalStatus,NeverMarried,Name1,Person who did not get married,AlternateName1,لم يتزوج,,,,,,,,,,,,
عقد قران,populationType,Person,maritalStatus,ContractMarriage,Name1,Total number of marriage contracts,AlternateName1,عقد قران,,,,,,,,,,,,
متزوج,populationType,Person,maritalStatus,Married,Name1,Population of married people,AlternateName1,متزوج,,,,,,,,,,,,
مطلق,populationType,Person,maritalStatus,Divorced,Name1,Population of divorced people,AlternateName1,مطلق,,,,,,,,,,,,
ارمل,populationType,Person,maritalStatus,Widowed,Name1,Population of widowed people,AlternateName1,ارمل,,,,,,,,,,,,
حضر,placeOfResidenceClassification,Urban,,,Name2,Urban,AlternateName2,حضر,,,,,,,,,,,,
ريف,placeOfResidenceClassification,Rural,,,Name2,Rural,AlternateName2,ريف,,,,,,,,,,,,
NAMEARAB_REGION:جملة,,,,,Name2,"""""",AlternateName2,"""""",,,,,,,,,,,,
NAMEARAB_GENDER:جملة,,,,,Name3,"""""",AlternateName3,"""""",,,,,,,,,,,,
ذكور,gender,Male,,,Name3,Male,AlternateName3,ذكور,,,,,,,,,,,,
اناث,gender,Female,,,Name3,Female,AlternateName3,اناث,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
أقل من 15 سنة,age,[- 15 Years],,,Name4,Less than 15 years old,AlternateName4,أقل من 15 سنة@ar,,,,,,,,,,,,
15 سنة,age,[15 Years],,,Name4,15 years old,AlternateName4,15 سنة@ar,,,,,,,,,,,,
16 سنة,age,[16 Years],,,Name4,16 years old,AlternateName4,16 سنة@ar,,,,,,,,,,,,
17 سنة,age,[17 Years],,,Name4,17 years old,AlternateName4,17 سنة,,,,,,,,,,,,
18 سنة,age,[18 Years],,,Name4,18 years old,AlternateName4,18 سنة,,,,,,,,,,,,
19 سنة,age,[19 Years],,,Name4,19 years old,AlternateName4,19 سنة,,,,,,,,,,,,
من 20 الى اقل من 25 سنة,age,[20 24 Years],,,Name4,20 24 Years old,AlternateName4,20 24 سنة,,,,,,,,,,,,
من 25 الى اقل من 30 سنة,age,[25 29 Years],,,Name4,25 29 Years old,AlternateName4,25 29 سنة,,,,,,,,,,,,
من 30 الى اقل من 35 سنة,age,[30 34 Years],,,Name4,30 34 Years old,AlternateName4,30 34 سنة,,,,,,,,,,,,
من 35 الى اقل من 40 سنة,age,[35 39 Years],,,Name4,35 39 Years old,AlternateName4,35 39 سنة,,,,,,,,,,,,
من 40 الى اقل من 45 سنة,age,[40 44 Years],,,Name4,40 44 Years old,AlternateName4,40 44 سنة,,,,,,,,,,,,
من 45 الى اقل من 50 سنة,age,[45 49 Years],,,Name4,45 49 Years old,AlternateName4,45 49 سنة,,,,,,,,,,,,
من 50 الى اقل من 55 سنة,age,[50 54 Years],,,Name4,50 54 Years old,AlternateName4,50 54 سنة,,,,,,,,,,,,
من 55 الى اقل من 60 سنة,age,[55 59 Years],,,Name4,55 59 Years old,AlternateName4,55 59 سنة,,,,,,,,,,,,
من 60 الى اقل من 65 سنة,age,[60 64 Years],,,Name4,60 64 Years old,AlternateName4,60 64 سنة,,,,,,,,,,,,
من 65 الى اقل من 70 سنة,age,[65 69 Years],,,Name4,65 69 Years old,AlternateName4,65 69 سنة,,,,,,,,,,,,
من 70 الى اقل من 75 سنة,age,[70 74 Years],,,Name4,70 74 Years old,AlternateName4,70 74 سنة,,,,,,,,,,,,
75سنة فأكثر,age,[75 - Years],,,Name4,more than 75 years ,AlternateName4,أكثر من 75 سنة,,,,,,,,,,,,
اجمالى:  فئـــــــات الســــــن,age,[- 75 Years],,,Name4,0 75 years old,AlternateName4,0 75 سنة,,,,,,,,,,,,
