key,prop,val,p1,v1,Name1,"""""",Name2,"""""",Name3,"""""",AlternateName1,"""""",AlternateName2,"""""",AlternateName3,"""""",#End,#value
TIME_PERIOD,observationDate,{Number},,,,,,,,,,,,,,,,
OBS_VALUE,value,{Number},name,"""{Name1} ,{Name2} ,{Name3}""",alternateName,"""{AlternateName1},{AlternateName2},{AlternateName3}@ar""",,,,,,,,,,,,
ID_GOVERNORATES,observationAbout,{Number},populationType,Person,,,,,,,,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
حضر,placeOfResidenceClassification,Urban,Name2,Urban,AlternateName2,حضر,,,,,,,,,,,,
ريف,placeOfResidenceClassification,Rural,Name2,Rural,AlternateName2,ريف,,,,,,,,,,,,
NAMEARAB_REGION:جملة,,,Name2,"""""",AlternateName2,"""""",,,,,,,,,,,,
ذكور,gender,Male,Name3,Male,AlternateName3,ذكور,,,,,,,,,,,,
اناث,gender,Female,Name3,Female,AlternateName3,اناث,,,,,,,,,,,,
NAMEARAB_GENDER:جملة,,,Name3,"""""",AlternateName3,"""""",,,,,,,,,,,,
أقل من سنة,age,[- 1 Years],Name1,Less than a year,AlternateName1,أقل من سنة,,,,,,,,,,,,
من 1 الى اقل من 5 سنة,age,[0 4 Years],Name1,From 1 to 4 years old,AlternateName1,من 1 الى اقل من 5 سنة,,,,,,,,,,,,
من 5 الى اقل من 10 سنة,age,[5 9 Years],Name1,From 5 to 10 years old,AlternateName1,من 5 الى اقل من 10 سنة,,,,,,,,,,,,
من 10 الى اقل من 15 سنة,age,[10 14 Years],Name1,From 10 to 15 years,AlternateName1,من 10 الى اقل من 15 سنة,,,,,,,,,,,,
من 15 الى اقل من 20 سنة,age,[15 19 Years],Name1,From 15 to 20 years old,AlternateName1,من 15 الى اقل من 20 سنة,,,,,,,,,,,,
من 20 الى اقل من 25 سنة,age,[20 24 Years],Name1,From 20 to 25 years old,AlternateName1,من 20 الى اقل من 25 سنة,,,,,,,,,,,,
من 25 الى اقل من 30 سنة,age,[25 29 Years],Name1,From 25 to 30 years old,AlternateName1,من 25 الى اقل من 30 سنة,,,,,,,,,,,,
من 30 الى اقل من 35 سنة,age,[30 34 Years],Name1,From 30 to 35 years old,AlternateName1,من 30 الى اقل من 35 سنة,,,,,,,,,,,,
من 35 الى اقل من 40 سنة,age,[35 39 Years],Name1,From 35 to 40 years old,AlternateName1,من 35 الى اقل من 40 سنة,,,,,,,,,,,,
من 40 الى اقل من 45 سنة,age,[40 44 Years],Name1,From 40 to 45 years old,AlternateName1,من 40 الى اقل من 45 سنة,,,,,,,,,,,,
من 45 الى اقل من 50 سنة,age,[45 49 Years],Name1,From 45 to 50 years old,AlternateName1,من 45 الى اقل من 50 سنة,,,,,,,,,,,,
من 50 الى اقل من 55 سنة,age,[50 54 Years],Name1,From 50 to 55 years old,AlternateName1,من 50 الى اقل من 55 سنة,,,,,,,,,,,,
من 55 الى اقل من 60 سنة,age,[55 59 Years],Name1,From 55 to 60 years old,AlternateName1,من 55 الى اقل من 60 سنة,,,,,,,,,,,,
من 60 الى اقل من 65 سنة,age,[60 64 Years],Name1,From 60 to 65 years old,AlternateName1,من 60 الى اقل من 65 سنة,,,,,,,,,,,,
من 65 الى اقل من 70 سنة,age,[65 69 Years],Name1,From 65 to 70 years old,AlternateName1,من 65 الى اقل من 70 سنة,,,,,,,,,,,,
من 70 الى اقل من 75 سنة,age,[70 74 Years],Name1,From 70 to 75 years old,AlternateName1,من 70 الى اقل من 75 سنة,,,,,,,,,,,,
من 75 الى اقل من80 سنة,age,[75 79 Years],Name1,From 75 to 80 years old,AlternateName1,من 75 الى اقل من80 سنة,,,,,,,,,,,,
من 80 الى اقل من 85 سنة,age,[80 84 Years],Name1,From 80 to 85 years old,AlternateName1,من 80 الى اقل من 85 سنة,,,,,,,,,,,,
من 85 الى اقل من 90 سنة,age,[85 89 Years],Name1,From 85 to 90 years old,AlternateName1,من 85 الى اقل من 90 سنة,,,,,,,,,,,,
90سنة فأكثر,age,[90 - Years],Name1,90 years or more,AlternateName1,90سنة فأكثر,,,,,,,,,,,,
