Site Name,Site Score,Site EPA ID,SEMS ID,Region ID,State,City,County,Status,Latitude,Longitude,Proposed Date,Listing Date,Construction Completion Date,Construction Completion Number,NOID Date,Deletion Date,Site Listing Narrative,Site Progress Profile,Proposed FR Notice,Listing FR Notice,NOID FR Notice,Deletion FR Notice,Restoration FR Notice Jumper Page,Site has had a Partial Deletion,x,y
"Mid-Atlantic Wood Preservers, Inc.",42.31,MDD064882889,300243,3,Maryland,Harmans,Anne Arundel,Deleted NPL Site,39.163611,-76.698331,10/15/1984,06/10/1986,09/23/1993,194,05/19/2000,07/18/2000,"<a href=""https://semspub.epa.gov/src/document/03/900281"" target=""_blank"">MDD064882889 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300243"" target=""_blank"">Mid-Atlantic Wood Preservers, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-05-19/pdf/00-12517.pdf"" target=""_blank"">05/19/2000 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2000-05-19/pdf/00-12516.pdf"" target=""_blank"">07/18/2000 (PDF)</a>",,No,-8538019.151613949,4745134.6145892255
Southern Maryland Wood Treating,34.21,MDD980704852,300305,3,Maryland,Hollywood,St. Mary's,Deleted NPL Site,38.3589,-76.5882,10/15/1984,06/10/1986,04/23/2001,766,02/04/2005,04/05/2005,"<a href=""https://semspub.epa.gov/src/document/03/900282"" target=""_blank"">MDD980704852 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300305"" target=""_blank"">Southern Maryland Wood Treating</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-02-04/pdf/05-2059.pdf"" target=""_blank"">02/04/2005 (PDF)</a>","<a href=""http://www.gpo.gov/fdsys/pkg/FR-2005-02-04/pdf/05-2058.pdf"" target=""_blank"">04/05/2005 (PDF)</a>",,No,-8525759.424773395,4630251.149035031
Kane & Lombard Street Drums,30.15,MDD980923783,300344,3,Maryland,Baltimore,Baltimore,NPL Site,39.2956,-76.5419,10/15/1984,06/10/1986,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900283"" target=""_blank"">MDD980923783 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300344"" target=""_blank"">Kane & Lombard Street Drums</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189628"" target=""_blank"">06/10/1986 (PDF)</a>",,,,No,-8520605.332349667,4764102.621409269
"Chemical Metals Industries, Inc.",0,MDD980555478,300289,3,Maryland,Baltimore,Baltimore,Deleted NPL Site,39.265419,-76.6325,10/23/1981,,12/30/1982,4,,12/30/1982,"<a href=""https://semspub.epa.gov/src/document/03/900284"" target=""_blank"">MDD980555478 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300289"" target=""_blank"">Chemical Metals Industries, Inc.</a>",,,,"<a href=""https://semspub.epa.gov/src/document/11/189619"" target=""_blank"">12/30/1982 (PDF)</a>",,No,-8530690.878215536,4759762.192198376
Aberdeen Proving Ground (Michaelsville Landfill),31.09,MD3210021355,300423,3,Maryland,Aberdeen,"Baltimore, Harford",NPL Site,39.4606,-76.1414,04/10/1985,10/04/1989,06/11/2001,767,,,"<a href=""https://semspub.epa.gov/src/document/03/900285"" target=""_blank"">MD3210021355 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300423"" target=""_blank"">Aberdeen Proving Ground (Michaelsville Landfill)</a>","<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189633"" target=""_blank"">10/04/1989 (PDF)</a>",,,,No,-8476021.876286961,4787864.973450934
Aberdeen Proving Ground (Edgewood Area),53.57,MD2210020036,300421,3,Maryland,Edgewood,"Baltimore, Harford",NPL Site,39.395404,-76.30773,04/10/1985,02/21/1990,,0,,,"<a href=""https://semspub.epa.gov/src/document/03/900286"" target=""_blank"">MD2210020036 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300421"" target=""_blank"">Aberdeen Proving Ground (Edgewood Area)</a>","<a href=""https://semspub.epa.gov/src/document/11/189642"" target=""_blank"">04/10/1985 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189635"" target=""_blank"">02/21/1990 (PDF)</a>",,,,No,-8494537.647190606,4778469.106297403
Woodlawn County Landfill,48.13,MDD980504344,300265,3,Maryland,Woodlawn,Cecil,NPL Site,39.641669,-76.09,01/22/1987,07/22/1987,06/25/2001,772,,,"<a href=""https://semspub.epa.gov/src/document/03/900287"" target=""_blank"">MDD980504344 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300265"" target=""_blank"">Woodlawn County Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189645"" target=""_blank"">01/22/1987 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-8470300.054460187,4814006.412029988
Joliet Army Ammunition Plant (Manufacturing Area),32.08,IL7213820460,501179,5,Illinois,Joliet,Will,NPL Site,41.3762,-88.1563,10/15/1984,07/22/1987,09/10/2008,1040,,,"<a href=""https://semspub.epa.gov/src/document/05/633475"" target=""_blank"">IL7213820460 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501179"" target=""_blank"">Joliet Army Ammunition Plant (Manufacturing Area)</a>","<a href=""https://semspub.epa.gov/src/document/11/189641"" target=""_blank"">10/15/1984 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189629"" target=""_blank"">07/22/1987 (PDF)</a>",,,,No,-9813514.426219063,5067990.442461524
Bush Valley Landfill,40.3,MDD980504195,300258,3,Maryland,Abingdon,Harford,NPL Site,39.467219,-76.26195,06/24/1988,03/31/1989,08/02/2001,774,,,"<a href=""https://semspub.epa.gov/src/document/03/900288"" target=""_blank"">MDD980504195 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300258"" target=""_blank"">Bush Valley Landfill</a>","<a href=""https://semspub.epa.gov/src/document/11/189648"" target=""_blank"">06/24/1988 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189631"" target=""_blank"">03/31/1989 (PDF)</a>",,,,No,-8489441.44090209,4788819.377285176
"Spectron, Inc.",51.42,MDD000218008,300192,3,Maryland,Elkton,Cecil,NPL Site,39.691249,-75.877778,10/14/1992,05/31/1994,09/17/2020,1219,,,"<a href=""https://semspub.epa.gov/src/document/03/900209"" target=""_blank"">MDD000218008 (PDF)</a>","<a href=""https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0300192"" target=""_blank"">Spectron, Inc.</a>","<a href=""https://semspub.epa.gov/src/document/11/189654"" target=""_blank"">10/14/1992 (PDF)</a>","<a href=""https://semspub.epa.gov/src/document/11/189638"" target=""_blank"">05/31/1994 (PDF)</a>",,,,No,-8446675.609485056,4821176.341596994
