key,p1,v1,p2,v2,,,,,,,,
iso3_country,observationAbout,country/{Data},,,,,,,,,,
2015-01-01 00:00:00,observationDate,2015,,,,,,,,,,
2016-01-01 00:00:00,observationDate,2016,,,,,,,,,,
2017-01-01 00:00:00,observationDate,2017,,,,,,,,,,
2018-01-01 00:00:00,observationDate,2018,,,,,,,,,,
2019-01-01 00:00:00,observationDate,2019,,,,,,,,,,
2020-01-01 00:00:00,observationDate,2020,,,,,,,,,,
2021-01-01 00:00:00,observationDate,2021,,,,,,,,,,
2022-01-01 00:00:00,observationDate,2022,,,,,,,,,,
2023-01-01 00:00:00,observationDate,2023,,,,,,,,,,
2024-01-01 00:00:00,observationDate,2024,,,,,,,,,,
2025-01-01 00:00:00,observationDate,2025,,,,,,,,,,
2026-01-01 00:00:00,observationDate,2026,,,,,,,,,,,,
2027-01-01 00:00:00,observationDate,2027,,,,,,,,,,,,
2028-01-01 00:00:00,observationDate,2028,,,,,,,,,,,,
2029-01-01 00:00:00,observationDate,2029,,,,,,,,,,,,
2030-01-01 00:00:00,observationDate,2030,,,,,,,,,,,,
emissions_quantity,value,{Number},populationType,Emissions,measuredProperty,amount,measurementQualifier,Annual,observationPeriod,P1Y,unit,MetricTon
co2,emittedThing,CarbonDioxide,,,,,,,,,,
ch4,emittedThing,Methane,,,,,,,,,,
co2e_20yr,emittedThing,CarbonDioxideEquivalent20YearGlobalWarmingPotential,,,,,,,,,,
co2e_100yr,emittedThing,CarbonDioxideEquivalent100YearGlobalWarmingPotential,,,,,,,,,,
n2o,emittedThing,NitrousOxide,,,,,,,,,,
cropland-fires,emissionSource,CroplandFire,,,,,,,,,,
enteric-fermentation-other,emissionSource,EntericFermentation,,,,,,,,,,
manure-management-other,emissionSource,ManureManagement,,,,,,,,,,
other-agricultural-soil-emissions,emissionSource,ClimateTrace_OtherAgriculturalSoilEmissions,,,,,,,,,,
rice-cultivation,emissionSource,RiceCultivation,,,,,,,,,,
synthetic-fertilizer-application,emissionSource,SyntheticFertilizerApplication,,,,,,,,,,
other-onsite-fuel-usage,emissionSource,ClimateTrace_OtherOnsiteFuelUsage,,,,,,,,,,
fluorinated-gases,emissionSource,FluorinatedGases,,,,,,,,,,
net-forest-land,emissionSource,NetForestEmissions,,,,,,,,,,
net-shrubgrass,emissionSource,NetGrasslandEmissions,,,,,,,,,,
net-wetland,emissionSource,NetWetlandEmissions,,,,,,,,,,
coal-mining,emissionSource,CoalMining,,,,,,,,,,
oil-and-gas-production,emissionSource,OilAndGasProduction,,,,,,,,,,
oil-and-gas-refining,emissionSource,OilAndGasRefining,,,,,,,,,,
other-fossil-fuel-operations,emissionSource,ClimateTrace_OtherFossilFuelOperations,,,,,,,,,,
aluminum,emissionSource,AluminumProduction,,,,,,,,,,
cement,emissionSource,CementProduction,,,,,,,,,,
iron-and-steel,emissionSource,SteelManufacturing,,,,,,,,,,
other-manufacturing,emissionSource,ClimateTrace_OtherManufacturing,,,,,,,,,,
petrochemical-steam-cracking,emissionSource,ChemicalPetrochemicalIndustry,,,,,,,,,,
pulp-and-paper,emissionSource,PulpAndPaperManufacturing,,,,,,,,,,
bauxite-mining,emissionSource,BauxiteMining,,,,,,,,,,
copper-mining,emissionSource,CopperMining,,,,,,,,,,
iron-mining,emissionSource,IronMining,,,,,,,,,,
rock-quarrying,emissionSource,RockQuarry,,,,,,,,,,
sand-quarrying,emissionSource,SandQuarry,,,,,,,,,,
electricity-generation,emissionSource,ElectricityGeneration,,,,,,,,,,
other-energy-use,emissionSource,ClimateTrace_OtherEnergyUse,,,,,,,,,,
domestic-aviation,emissionSource,FuelCombustionForDomesticAviation,,,,,,,,,,
international-aviation,emissionSource,FuelCombustionForInternationalAviation,,,,,,,,,,
other-transport,emissionSource,ClimateTrace_OtherTransportation,,,,,,,,,,
railways,emissionSource,FuelCombustionForRailways,,,,,,,,,,
road-transportation,emissionSource,FuelCombustionForRoadVehicles,,,,,,,,,,
biological-treatment-of-solid-waste-and-biogenic,emissionSource,BiologicalTreatmentOfSolidWasteAndBiogenic,,,,,,,,,,
domestic-wastewater-treatment-and-discharge,emissionSource,DomesticWastewaterTreatmentAndDischarge,,,,,,,,,,
incineration-and-open-burning-of-waste,emissionSource,OpenBurningWaste,,,,,,,,,,
industrial-wastewater-treatment-and-discharge,emissionSource,IndustrialWastewaterTreatmentAndDischarge,,,,,,,,,,
other-solid-fuels,emissionSource,SolidFuelTransformation,,,,,,,,,,
solid-waste-disposal,emissionSource,SolidWasteDisposal,,,,,,,,,,
residential-onsite-fuel-usage,emissionSource,FuelCombustionForResidentialCommercialOnsiteHeating,,,,,,,,,,
crop-residues,emissionSource,CropResidues,,,,,,,,,,
enteric-fermentation-cattle-operation,emissionSource,EntericFermentationOperation,,,,,,,,,,
enteric-fermentation-cattle-pasture,emissionSource,EntericFermentationPasture,,,,,,,,,,
manure-applied-to-soils,emissionSource,ManureAppliedToSoils,,,,,,,,,,
manure-left-on-pasture-cattle,emissionSource,ManureLeftOnPasture,,,,,,,,,,
manure-management-cattle-operation,emissionSource,ManureManagementOperation,,,,,,,,,,
non-residential-onsite-fuel-usage,emissionSource,FuelCombustionForNonResidentialCommercialOnsiteHeating,,,,,,,,,,
forest-land-clearing,emissionSource,ForestClearing,,,,,,,,,,
forest-land-degradation,emissionSource,ForestLandDegredation,,,,,,,,,,
forest-land-fires,emissionSource,ForestLandFire,,,,,,,,,,
removals,emissionSource,Removals,,,,,,,,,,
shrubgrass-fires,emissionSource,ShrublandFire,,,,,,,,,,
water-reservoirs,emissionSource,WaterReservoirs,,,,,,,,,,
wetland-fires,emissionSource,WetlandFire,,,,,,,,,,
oil-and-gas-transport,emissionSource,OilAndGasTransport,,,,,,,,,,
chemicals,emissionSource,ClimateTrace_Chemicals,,,,,,,,,,
food-beverage-tobacco,emissionSource,FoodProcessingBeveragesTobaccoProduction,,,,,,,,,,
glass,emissionSource,GlassProduction,,,,,,,,,,
lime,emissionSource,LimeProduction,,,,,,,,,,
other-chemicals,emissionSource,ClimateTrace_OtherChemicals,,,,,,,,,,
other-metals,emissionSource,ClimateTrace_OtherMetals,,,,,,,,,,
textiles-leather-apparel,emissionSource,TextileLeatherApparel,,,,,,,,,,
wood-and-wood-products,emissionSource,WoodProducts,,,,,,,,,,
other-mining-quarrying,emissionSource,ClimateTrace_OtherMiningQuarrying,,,,,,,,,,
heat-plants,emissionSource,HeatPlants,,,,,,,,,,
domestic-shipping,emissionSource,DomesticShipping,,,,,,,,,,
international-shipping,emissionSource,InternationalShipping,,,,,,,,,,
non-broadcasting-vessels,emissionSource,NonBroadcastingVessels,,,,,,,,,,
