place,time,variable,spi
geoId/non_existent_place,1988-01-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.32789096000000006
geoId/non_existent_place,1988-02-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.38998984
geoId/non_existent_place,1988-03-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.021692704000000063
geoId/non_existent_place,1988-04-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.7204355
geoId/non_existent_place,1988-05-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.17599144
geoId/non_existent_place,1988-06-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.36924813199999995
geoId/non_existent_place,1988-07-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.27150392000000007
geoId/non_existent_place,1988-08-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.39563944000000006
geoId/non_existent_place,1988-09-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.7188880799999999
geoId/non_existent_place,1988-10-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.5538461840000001
geoId/non_existent_place,1988-11-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,0.05455705999999999
geoId/non_existent_place,1988-12-01,dcs:standardizedPrecipitationIndex_Atmosphere_12MonthPeriod,-0.004253199999999985
