,Year,geo_ID,Total,White Alone,Black or African American Alone
0,1980,geoId/01,3899671,2885360,995823
1,1980,geoId/02,404680,318054,13960
2,1980,geoId/04,2735840,2475536,77259
3,1980,geoId/05,2288809,1897772,373988
4,1980,geoId/06,23792840,20355102,1853934
5,1980,geoId/08,2909545,2750401,104330
6,1980,geoId/09,3114221,2865540,222256
7,1980,geoId/10,594936,492641,96444
8,1980,geoId/11,637161,179412,449388
9,1980,geoId/12,9841159,8399179,1359265
10,1980,geoId/13,5484427,3977670,1472001
11,1980,geoId/15,961525,348619,18252
12,1980,geoId/16,948582,927975,2752
13,1980,geoId/17,11435454,9562762,1682106
14,1980,geoId/18,5492740,5045461,415278
15,1980,geoId/19,2915562,2853322,41978
16,1980,geoId/20,2370088,2207732,127787
17,1980,geoId/21,3665364,3390775,259617
18,1980,geoId/22,4221583,2941063,1243143
19,1980,geoId/23,1127825,1117104,3192
20,1980,geoId/24,4226191,3186160,963191
21,1980,geoId/25,5748441,5443504,242404
22,1980,geoId/26,9256676,7952347,1199819
23,1980,geoId/27,4086746,3963520,54588
24,1980,geoId/28,2524011,1622497,887561
25,1980,geoId/29,4923025,4370462,514552
26,1980,geoId/30,788754,746140,1811
27,1980,geoId/31,1572854,1506599,48704
28,1980,geoId/32,810232,728560,51708
29,1980,geoId/33,924802,915908,4087
30,1980,geoId/34,7376972,6319567,936750
31,1980,geoId/35,1309108,1168494,24691
32,1980,geoId/36,17566376,14687433,2505228
33,1980,geoId/37,5896178,4487719,1320432
34,1980,geoId/38,654501,629439,2608
35,1980,geoId/39,10803551,9658738,1077974
36,1980,geoId/40,3040067,2640670,206901
37,1980,geoId/41,2642128,2535850,37454
38,1980,geoId/42,11872347,10737269,1053395
39,1980,geoId/44,949207,907774,31398
40,1980,geoId/45,3132387,2163146,950498
41,1980,geoId/46,690713,641722,2189
42,1980,geoId/47,4600705,3854243,725528
43,1980,geoId/48,14337755,12423465,1732480
44,1980,geoId/49,1473171,1424146,9478
45,1980,geoId/50,512824,509139,1157
46,1980,geoId/51,5367648,4272763,1012944
47,1980,geoId/53,4155198,3871101,107783
48,1980,geoId/54,1952874,1880429,65115
49,1980,geoId/55,4713991,4477660,184272
50,1980,geoId/56,474381,461457,3411
51,1981,geoId/01,3918526,2897922,999972
52,1981,geoId/02,418519,328044,14819
53,1981,geoId/04,2810110,2539657,80479
54,1981,geoId/05,2293196,1900195,374993
55,1981,geoId/06,24285898,20659184,1885457
56,1981,geoId/08,2977917,2809947,108638
57,1981,geoId/09,3128849,2871729,227496
58,1981,geoId/10,595974,492716,96946
59,1981,geoId/11,636891,182558,445455
60,1981,geoId/12,10192814,8692184,1406266
61,1981,geoId/13,5568420,4025445,1502631
62,1981,geoId/15,978201,353194,19286
63,1981,geoId/16,962244,940724,2862
64,1981,geoId/17,11443511,9560775,1679838
65,1981,geoId/18,5480482,5031683,414825
66,1981,geoId/19,2908003,2843611,42679
67,1981,geoId/20,2384813,2217862,130059
68,1981,geoId/21,3670396,3394952,259580
69,1981,geoId/22,4283312,2976967,1265925
70,1981,geoId/23,1133039,1121555,3412
71,1981,geoId/24,4261930,3194144,983744
72,1981,geoId/25,5768702,5445764,250734
73,1981,geoId/26,9209352,7903582,1195937
74,1981,geoId/27,4111752,3978030,58727
75,1981,geoId/28,2539038,1630556,893654
76,1981,geoId/29,4932103,4375155,516441
77,1981,geoId/30,795330,751269,1873
78,1981,geoId/31,1578481,1510561,49449
79,1981,geoId/32,847644,760429,54187
80,1981,geoId/33,936630,926734,4417
