Detail Data For Gas Supply - Import Countrywise Having Year : ALL
.
YearValue,Country,GasType,Qty_Tonne_Imports,Value_RsLacs
2007,ALGERIA,LIQUIFIED NATURAL GAS (LNG),131255.000,25878.490
2007,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),123008.000,22795.370
2007,EGYPT,LIQUIFIED NATURAL GAS (LNG),228314.000,48506.610
2007,FRANCE,LIQUIFIED NATURAL GAS (LNG),61520.000,12120.920
2007,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),122321.000,23717.310
2007,NIGERIA,LIQUIFIED NATURAL GAS (LNG),64458.230,13915.120
2007,OMAN,LIQUIFIED NATURAL GAS (LNG),623803.000,62588.810
2007,QATAR,LIQUIFIED NATURAL GAS (LNG),5471813.500,417063.310
2007,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),106176.000,22560.260
2007,UAE,LIQUIFIED NATURAL GAS (LNG),111786.000,22428.500
2005,BAHARAIN IS,LIQUIFIED NATURAL GAS (LNG),6534.000,1093.021
2005,QATAR,LIQUIFIED NATURAL GAS (LNG),2365314.250,154707.970
2006,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),113949.840,15320.111
2006,OMAN,LIQUIFIED NATURAL GAS (LNG),57391.000,6773.800
2006,QATAR,LIQUIFIED NATURAL GAS (LNG),4462693.500,289399.440
2006,SAUDI ARABIA,LIQUIFIED NATURAL GAS (LNG),142757.270,9395.560
2008,ALGERIA,LIQUIFIED NATURAL GAS (LNG),372912.000,76868.211
2008,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),60039.000,18070.030
2008,EGYPT,LIQUIFIED NATURAL GAS (LNG),61760.000,17945.370
2008,GUINEA,LIQUIFIED NATURAL GAS (LNG),59326.000,20245.240
2008,NIGERIA,LIQUIFIED NATURAL GAS (LNG),434317.000,91986.100
2008,OMAN,LIQUIFIED NATURAL GAS (LNG),329509.000,91242.270
2008,QATAR,LIQUIFIED NATURAL GAS (LNG),6476690.500,539738.030
2008,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),291550.030,69449.600
2009,ALGERIA,LIQUIFIED NATURAL GAS (LNG),240835.020,83348.320
2009,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),66372.700,26693.930
2009,AUSTRIA,LIQUIFIED NATURAL GAS (LNG),63880.000,14555.680
2009,BELGIUM,LIQUIFIED NATURAL GAS (LNG),169687.020,81971.280
2009,BERMUDA,LIQUIFIED NATURAL GAS (LNG),104819.000,31251.750
2009,EGYPT,LIQUIFIED NATURAL GAS (LNG),124670.000,53484.930
2009,GUINEA,LIQUIFIED NATURAL GAS (LNG),57404.000,17572.000
