Detail Data For Gas Supply by State - Gross Production Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
YearValue,Onshore_OffShore,State,GasType,GrossProduction_MMSCM
2008,ONSHORE,WEST BENGAL,NATURAL GAS,15.000
2009,ONSHORE,WEST BENGAL,NATURAL GAS,20.000
2010,ONSHORE,WEST BENGAL,NATURAL GAS,38.400
2011,ONSHORE,WEST BENGAL,NATURAL GAS,41.400
2012,ONSHORE,WEST BENGAL,NATURAL GAS,79.100
2013,ONSHORE,WEST BENGAL,NATURAL GAS,100.800
2014,ONSHORE,WEST BENGAL,NATURAL GAS,156.500
2015,ONSHORE,WEST BENGAL,NATURAL GAS,223.700
2016,ONSHORE,WEST BENGAL,NATURAL GAS,389.400
2017,ONSHORE,WEST BENGAL,NATURAL GAS,555.067
2018,ONSHORE,WEST BENGAL,NATURAL GAS,531.068
2019,ONSHORE,WEST BENGAL,NATURAL GAS,350.222
2020,ONSHORE,WEST BENGAL,NATURAL GAS,305.900
2012,ONSHORE,JHARKHAND,NATURAL GAS,3.560
2013,ONSHORE,JHARKHAND,NATURAL GAS,2.950
2014,ONSHORE,JHARKHAND,NATURAL GAS,3.380
2015,ONSHORE,JHARKHAND,NATURAL GAS,2.480
2016,ONSHORE,JHARKHAND,NATURAL GAS,2.040
2017,ONSHORE,JHARKHAND,NATURAL GAS,3.083
2018,ONSHORE,JHARKHAND,NATURAL GAS,3.964
2019,ONSHORE,JHARKHAND,NATURAL GAS,3.580
2020,ONSHORE,JHARKHAND,NATURAL GAS,4.650
2012,ONSHORE,MADHYA PRADESH,NATURAL GAS,1.530
2013,ONSHORE,MADHYA PRADESH,NATURAL GAS,3.440
2014,ONSHORE,MADHYA PRADESH,NATURAL GAS,5.650
2015,ONSHORE,MADHYA PRADESH,NATURAL GAS,2.080
2016,ONSHORE,MADHYA PRADESH,NATURAL GAS,1.400
2017,ONSHORE,MADHYA PRADESH,NATURAL GAS,6.439
2018,ONSHORE,MADHYA PRADESH,NATURAL GAS,199.772
2019,ONSHORE,MADHYA PRADESH,NATURAL GAS,356.662
2020,ONSHORE,MADHYA PRADESH,NATURAL GAS,344.900
2006,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1663.000
2007,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1525.000
2008,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1567.000
2009,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1524.000
2010,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1479.260
2011,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1384.390
2012,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1363.780
2013,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1248.550
2014,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1171.340
2015,ONSHORE,ANDHRA PRADESH,NATURAL GAS,540.590
2016,ONSHORE,ANDHRA PRADESH,NATURAL GAS,619.360
2017,ONSHORE,ANDHRA PRADESH,NATURAL GAS,867.775
2018,ONSHORE,ANDHRA PRADESH,NATURAL GAS,959.161
2019,ONSHORE,ANDHRA PRADESH,NATURAL GAS,1081.306
2020,ONSHORE,ANDHRA PRADESH,NATURAL GAS,912.320
2006,ONSHORE,ASSAM,NATURAL GAS,2455.000
2007,ONSHORE,ASSAM,NATURAL GAS,2561.000
2008,ONSHORE,ASSAM,NATURAL GAS,2628.000
2009,ONSHORE,ASSAM,NATURAL GAS,2603.000
2010,ONSHORE,ASSAM,NATURAL GAS,2703.010
2011,ONSHORE,ASSAM,NATURAL GAS,2679.850
2012,ONSHORE,ASSAM,NATURAL GAS,2904.540
2013,ONSHORE,ASSAM,NATURAL GAS,2909.790
2014,ONSHORE,ASSAM,NATURAL GAS,2868.030
2015,ONSHORE,ASSAM,NATURAL GAS,2958.250
2016,ONSHORE,ASSAM,NATURAL GAS,3024.780
2017,ONSHORE,ASSAM,NATURAL GAS,3127.880
2018,ONSHORE,ASSAM,NATURAL GAS,3219.024
2019,ONSHORE,ASSAM,NATURAL GAS,3289.059
2020,ONSHORE,ASSAM,NATURAL GAS,3141.230
2010,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,39.600
2011,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,44.490
2012,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,39.500
2013,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,41.070
2014,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,41.390
2015,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,33.530
2016,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,29.560
2017,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,27.543
2018,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,29.513
2019,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,27.810
2020,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,45.590
2006,ONSHORE,GUJARAT,NATURAL GAS,3831.000
2007,ONSHORE,GUJARAT,NATURAL GAS,3294.000
2008,ONSHORE,GUJARAT,NATURAL GAS,2931.000
2009,ONSHORE,GUJARAT,NATURAL GAS,2605.000
2010,ONSHORE,GUJARAT,NATURAL GAS,2444.180
2011,ONSHORE,GUJARAT,NATURAL GAS,2261.830
2012,ONSHORE,GUJARAT,NATURAL GAS,2172.930
2013,ONSHORE,GUJARAT,NATURAL GAS,2032.090
2014,ONSHORE,GUJARAT,NATURAL GAS,1656.940
2015,ONSHORE,GUJARAT,NATURAL GAS,1526.820
2016,ONSHORE,GUJARAT,NATURAL GAS,1490.080
2017,ONSHORE,GUJARAT,NATURAL GAS,1580.267
2018,ONSHORE,GUJARAT,NATURAL GAS,1606.663
2019,ONSHORE,GUJARAT,NATURAL GAS,1402.223
2020,ONSHORE,GUJARAT,NATURAL GAS,1342.330
2006,ONSHORE,RAJASTHAN,NATURAL GAS,242.000
2007,ONSHORE,RAJASTHAN,NATURAL GAS,242.000
2008,ONSHORE,RAJASTHAN,NATURAL GAS,255.000
2009,ONSHORE,RAJASTHAN,NATURAL GAS,216.000
2010,ONSHORE,RAJASTHAN,NATURAL GAS,238.860
2011,ONSHORE,RAJASTHAN,NATURAL GAS,432.490
2012,ONSHORE,RAJASTHAN,NATURAL GAS,590.180
2013,ONSHORE,RAJASTHAN,NATURAL GAS,685.420
2014,ONSHORE,RAJASTHAN,NATURAL GAS,982.200
2015,ONSHORE,RAJASTHAN,NATURAL GAS,1177.770
2016,ONSHORE,RAJASTHAN,NATURAL GAS,1338.010
2017,ONSHORE,RAJASTHAN,NATURAL GAS,1277.341
2018,ONSHORE,RAJASTHAN,NATURAL GAS,1441.934
2019,ONSHORE,RAJASTHAN,NATURAL GAS,1483.249
2020,ONSHORE,RAJASTHAN,NATURAL GAS,1882.520
2006,ONSHORE,TAMILNADU,NATURAL GAS,906.000
2007,ONSHORE,TAMILNADU,NATURAL GAS,1130.000
2008,ONSHORE,TAMILNADU,NATURAL GAS,1169.000
2009,ONSHORE,TAMILNADU,NATURAL GAS,1242.000
2010,ONSHORE,TAMILNADU,NATURAL GAS,1177.750
2011,ONSHORE,TAMILNADU,NATURAL GAS,1119.180
2012,ONSHORE,TAMILNADU,NATURAL GAS,1284.760
2013,ONSHORE,TAMILNADU,NATURAL GAS,1206.040
2014,ONSHORE,TAMILNADU,NATURAL GAS,1304.020
2015,ONSHORE,TAMILNADU,NATURAL GAS,1191.570
2016,ONSHORE,TAMILNADU,NATURAL GAS,1010.870
2017,ONSHORE,TAMILNADU,NATURAL GAS,983.168
2018,ONSHORE,TAMILNADU,NATURAL GAS,1207.218
2019,ONSHORE,TAMILNADU,NATURAL GAS,1207.853
2020,ONSHORE,TAMILNADU,NATURAL GAS,1096.650
2006,ONSHORE,TRIPURA,NATURAL GAS,480.000
2007,ONSHORE,TRIPURA,NATURAL GAS,520.000
2008,ONSHORE,TRIPURA,NATURAL GAS,534.000
2009,ONSHORE,TRIPURA,NATURAL GAS,553.000
2010,ONSHORE,TRIPURA,NATURAL GAS,563.790
2011,ONSHORE,TRIPURA,NATURAL GAS,609.980
2012,ONSHORE,TRIPURA,NATURAL GAS,643.900
2013,ONSHORE,TRIPURA,NATURAL GAS,646.740
2014,ONSHORE,TRIPURA,NATURAL GAS,822.240
2015,ONSHORE,TRIPURA,NATURAL GAS,1140.040
2016,ONSHORE,TRIPURA,NATURAL GAS,1331.960
2017,ONSHORE,TRIPURA,NATURAL GAS,1429.908
2018,ONSHORE,TRIPURA,NATURAL GAS,1440.370
2019,ONSHORE,TRIPURA,NATURAL GAS,1554.303
2020,ONSHORE,TRIPURA,NATURAL GAS,1472.750
2006,OFFSHORE,OFFSHORE,NATURAL GAS,22624.000
2007,OFFSHORE,OFFSHORE,NATURAL GAS,22476.000
2008,OFFSHORE,OFFSHORE,NATURAL GAS,23318.000
2009,OFFSHORE,OFFSHORE,NATURAL GAS,24081.000
2010,OFFSHORE,OFFSHORE,NATURAL GAS,38811.390
2011,OFFSHORE,OFFSHORE,NATURAL GAS,43645.090
2012,OFFSHORE,OFFSHORE,NATURAL GAS,38474.840
2013,OFFSHORE,OFFSHORE,NATURAL GAS,31802.340
2014,OFFSHORE,OFFSHORE,NATURAL GAS,26395.200
2015,OFFSHORE,OFFSHORE,NATURAL GAS,24860.640
2016,OFFSHORE,OFFSHORE,NATURAL GAS,23011.740
2017,OFFSHORE,OFFSHORE,NATURAL GAS,22038.231
2018,OFFSHORE,OFFSHORE,NATURAL GAS,22010.620
2019,OFFSHORE,OFFSHORE,NATURAL GAS,22117.104
2020,OFFSHORE,OFFSHORE,NATURAL GAS,20635.390
