Detail Data For Gas Monthly - Production Month by Month Having Year : ALL
.
YearValue,MonthValue,Details,Onshore_OffShore,Source,GasType,GrossProduction_MMSCM_M
2019,4,GROSS PRODUCTION,ONSHORE,ASSAM / ARUNACHAL PRADESH,NATURAL GAS,269.430
2019,4,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,129.160
2019,4,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,113.750
2019,4,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,100.780
2019,4,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,79.260
2019,4,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,132.100
2019,4,GROSS PRODUCTION,ONSHORE,WEST BENGAL ; MP ; JHARKHAND (CBM),NATURAL GAS,54.350
2019,4,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1777.040
2019,4,FLARE AND LOSS BY GAS PRODUCING COMPANIES,OFFSHORE,OFFSHORE,NATURAL GAS,-76.440
2019,5,GROSS PRODUCTION,ONSHORE,ASSAM / ARUNACHAL PRADESH,NATURAL GAS,269.260
2019,5,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,130.950
2019,5,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,113.340
2019,5,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,99.000
2019,5,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,73.480
2019,5,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,147.780
2019,5,GROSS PRODUCTION,ONSHORE,WEST BENGAL; MP; JHARKHAND (CBM),NATURAL GAS,55.480
2019,5,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1849.620
2019,5,FLARE AND LOSS BY GAS PRODUCING COMPANIES,OFFSHORE,OFFSHORE,NATURAL GAS,-76.560
2020,4,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,68.200
2020,4,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.840
2020,4,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,224.860
2020,4,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,89.100
2020,4,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,137.880
2020,4,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,67.750
2020,4,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,136.150
2020,4,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1382.180
2020,5,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,68.710
2020,5,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,4.240
2020,5,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,265.950
2020,5,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,91.180
2020,5,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,148.820
2020,5,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,77.760
2020,5,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,143.770
2020,5,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1446.760
2020,6,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,67.820
2020,6,GROSS PRODUCTION,ONSHORE,ARUNACHAL PRADESH,NATURAL GAS,3.280
2020,6,GROSS PRODUCTION,ONSHORE,ASSAM,NATURAL GAS,262.780
2020,6,GROSS PRODUCTION,ONSHORE,GUJARAT,NATURAL GAS,93.370
2020,6,GROSS PRODUCTION,ONSHORE,RAJASTHAN,NATURAL GAS,156.980
2020,6,GROSS PRODUCTION,ONSHORE,TAMIL NADU,NATURAL GAS,76.050
2020,6,GROSS PRODUCTION,ONSHORE,TRIPURA,NATURAL GAS,129.610
2020,6,GROSS PRODUCTION,OFFSHORE,OFFSHORE,NATURAL GAS,1484.080
2020,7,GROSS PRODUCTION,ONSHORE,ANDHRA PRADESH,NATURAL GAS,61.840
