Detail Data For Gas Prices  Having Year : ALL
.
YearValue,Region,PriceDate,Price_RsPerTonne
2006,OTHER THAN NER,01/01/2006 00:00:00,3200.000
2006,NER,01/01/2006 00:00:00,1920.000
2007,OTHER THAN NER,01/04/2006 00:00:00,3200.000
2007,NER,01/04/2006 00:00:00,1920.000
2008,OTHER THAN NER,01/04/2007 00:00:00,3200.000
2008,NER,01/04/2007 00:00:00,1920.000
2009,OTHER THAN NER,01/04/2008 00:00:00,3200.000
2009,NER,01/04/2008 00:00:00,1920.000
2010,OTHER THAN NER,01/04/2009 00:00:00,3200.000
2010,NER,01/04/2009 00:00:00,1920.000
2011,OTHER THAN NER,01/04/2010 00:00:00,3200.000
2011,NER,01/04/2010 00:00:00,1920.000
2012,OTHER THAN NER,01/04/2011 00:00:00,7499.000
2012,NER,01/04/2011 00:00:00,4499.000
2013,OTHER THAN NER,01/04/2012 00:00:00,8387.000
2013,NER,01/04/2012 00:00:00,5032.000
2014,OTHER THAN NER,01/04/2013 00:00:00,9067.000
2014,NER,01/04/2013 00:00:00,5440.000
2015,OTHER THAN NER,01/04/2014 00:00:00,10168.000
2015,OTHER THAN NER,01/11/2014 00:00:00,12292.000
2015,NER,01/04/2014 00:00:00,6101.000
2015,NER,01/11/2014 00:00:00,7375.000
2016,OTHER THAN NER,01/04/2015 00:00:00,11548.000
2016,NER,01/04/2015 00:00:00,6929.000
2017,OTHER THAN NER,01/04/2016 00:00:00,8138.000
2017,OTHER THAN NER,01/10/2016 00:00:00,6621.000
2017,NER,01/04/2016 00:00:00,4883.000
2017,NER,01/10/2016 00:00:00,3973.000
2018,OTHER THAN NER,01/04/2017 00:00:00,6483.000
2018,OTHER THAN NER,01/10/2017 00:00:00,7390.000
2018,NER,01/04/2017 00:00:00,3890.000
2018,NER,01/10/2017 00:00:00,4434.000
2019,OTHER THAN NER,01/04/2018 00:00:00,7895.000
2019,OTHER THAN NER,01/10/2018 00:00:00,9629.000
2019,NER,01/04/2018 00:00:00,4737.000
2019,NER,01/10/2018 00:00:00,5789.000
2020,OTHER THAN NER,01/04/2019 00:00:00,10174.000
2020,OTHER THAN NER,01/10/2019 00:00:00,9143.000
2020,NER,01/04/2019 00:00:00,6093.000
2020,NER,01/10/2019 00:00:00,5491.000
