Year,geo_ID,Count_Person_Male,Count_Person_Female,Count_Person_Male_WhiteAlone,Count_Person_Female_WhiteAlone,Count_Person_Male_NonWhite,Count_Person_Female_NonWhite
1900,country/USA,38867000 ,37227000 ,34249000 ,32651000 ,4618000 ,4576000 
1901,country/USA,39649000 ,37935000 ,34971000 ,33296000 ,4678000 ,4639000 
1902,country/USA,40483000 ,38680000 ,35745000 ,33977000 ,4738000 ,4703000 
1903,country/USA,41262000 ,39370000 ,36471000 ,34613000 ,4791000 ,4757000 
1904,country/USA,42089000 ,40077000 ,37249000 ,35271000 ,4840000 ,4806000 
1905,country/USA,42965000 ,40857000 ,38072000 ,35987000 ,4893000 ,4870000 
1906,country/USA,43841000 ,41609000 ,38890000 ,36693000 ,4951000 ,4916000 
1907,country/USA,44682000 ,42326000 ,39683000 ,37372000 ,4999000 ,4954000 
1908,country/USA,45594000 ,43116000 ,40542000 ,38116000 ,5052000 ,5000000 
1909,country/USA,46545000 ,43945000 ,41438000 ,38901000 ,5107000 ,5044000 
1910,country/USA,47554000 ,44853000 ,42385000 ,39752000 ,5169000 ,5101000 
1911,country/USA,48290000 ,45573000 ,43088000 ,40436000 ,5202000 ,5137000 
1912,country/USA,49025000 ,46310000 ,43786000 ,41142000 ,5239000 ,5168000 
1913,country/USA,49957000 ,47268000 ,44663000 ,42042000 ,5294000 ,5226000 
1914,country/USA,50883000 ,48228000 ,45532000 ,42948000 ,5351000 ,5280000 
1915,country/USA,51573000 ,48973000 ,46188000 ,43660000 ,5385000 ,5313000 
1916,country/USA,52234000 ,49727000 ,46819000 ,44377000 ,5415000 ,5350000 
1917,country/USA,52788000 ,50480000 ,47339000 ,45096000 ,5449000 ,5384000 
1918,country/USA,51974000 ,51234000 ,46540000 ,45812000 ,5434000 ,5422000 
1919,country/USA,53103000 ,51411000 ,47672000 ,46012000 ,5431000 ,5399000 
1920,country/USA,54291000 ,52170000 ,48787000 ,46723000 ,5504000 ,5447000 
1921,country/USA,55292000 ,53246000 ,49710000 ,47706000 ,5582000 ,5540000 
1922,country/USA,55886000 ,54163000 ,50228000 ,48540000 ,5658000 ,5623000 
1923,country/USA,56861000 ,55086000 ,51131000 ,49379000 ,5730000 ,5707000 
1924,country/USA,57985000 ,56124000 ,52177000 ,50335000 ,5808000 ,5789000 
1925,country/USA,58813000 ,57016000 ,52931000 ,51130000 ,5882000 ,5886000 
1926,country/USA,59588000 ,57809000 ,53628000 ,51840000 ,5960000 ,5969000 
1927,country/USA,60397000 ,58638000 ,54358000 ,52583000 ,6039000 ,6055000 
1928,country/USA,61101000 ,59408000 ,54982000 ,53262000 ,6119000 ,6146000 
1929,country/USA,61680000 ,60087000 ,55509000 ,53874000 ,6171000 ,6213000 
1930,country/USA,62296517 ,60780224 ,56069079 ,54489801 ,6227438 ,6290423 
1931,country/USA,62725503 ,61314145 ,56462405 ,54970999 ,6263098 ,6343146 
1932,country/USA,63070137 ,61770334 ,56775715 ,55378727 ,6294422 ,6391607 
1933,country/USA,63384009 ,62194754 ,57059471 ,55755778 ,6324538 ,6438976 
1934,country/USA,63726196 ,62647577 ,57369149 ,56157979 ,6357047 ,6489598 
1935,country/USA,64109888 ,63140344 ,57714338 ,56594839 ,6395550 ,6545505 
1936,country/USA,64459383 ,63593797 ,58026634 ,56995595 ,6432749 ,6598202 
1937,country/USA,64789797 ,64035032 ,58322024 ,57384336 ,6467773 ,6650696 
1938,country/USA,65235361 ,64589578 ,58718342 ,57873513 ,6517019 ,6716065 
1939,country/USA,65713339 ,65166379 ,59142657 ,58381711 ,6570682 ,6784668 
1940,country/USA,66352363 ,65770083 ,59718338 ,58910520 ,6634025 ,6859563 
1941,country/USA,66920133 ,66482338 ,60196094 ,59535371 ,6724039 ,6946967 
1942,country/USA,67596729 ,67262824 ,60774953 ,60216566 ,6821776 ,7046258 
1943,country/USA,68545741 ,68193612 ,61567825 ,61037413 ,6977916 ,7156199 
1944,country/USA,69377719 ,69019626 ,62249895 ,61759317 ,7127824 ,7260309 
1945,country/USA,70035073 ,69893092 ,62748059 ,62518412 ,7287014 ,7374680 
1946,country/USA,70631171 ,70757395 ,63287081 ,63277446 ,7344090 ,7479949 
1947,country/USA,71945892 ,72180179 ,64507124 ,64552310 ,7438768 ,7627869 
1948,country/USA,73129684 ,73501618 ,65582129 ,65726079 ,7547555 ,7775539 
1949,country/USA,74335435 ,74852695 ,66677722 ,66920576 ,7657713 ,7932119 
1950,country/USA,75849012 ,76422405 ,67848105 ,68135412 ,8000907 ,8286993 
1951,country/USA,77101263 ,77776626 ,68924398 ,69296564 ,8176865 ,8480062 
1952,country/USA,78372190 ,79180550 ,70023125 ,70503293 ,8349065 ,8677257 
1953,country/USA,79614310 ,80569882 ,71083397 ,71689591 ,8530913 ,8880291 
1954,country/USA,80972704 ,82053150 ,72241638 ,72951445 ,8731066 ,9101705 
1955,country/USA,82363638 ,83567564 ,73419797 ,74232704 ,8943841 ,9334860 
1956,country/USA,83779505 ,85123526 ,74616342 ,75546821 ,9163163 ,9576705 
1957,country/USA,85248426 ,86735704 ,75859479 ,76909177 ,9388947 ,9826527 
1958,country/USA,86605105 ,88276799 ,76996151 ,78203387 ,9608954 ,10073412 
1959,country/USA,87995434 ,89834194 ,78153703 ,79501226 ,9841731 ,10332968 
