,Year,geo_ID,Count_Person_Female,Count_Person_Female_AmericanIndianAndAlaskaNativeAlone,Count_Person_Female_AsianAlone,Count_Person_Female_BlackOrAfricanAmericanAlone,Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Female_TwoOrMoreRaces,Count_Person_Female_WhiteAlone,Count_Person_Male,Count_Person_Male_AmericanIndianAndAlaskaNativeAlone,Count_Person_Male_AsianAlone,Count_Person_Male_BlackOrAfricanAmericanAlone,Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone,Count_Person_Male_TwoOrMoreRaces,Count_Person_Male_WhiteAlone
0,2000,geoId/01,2302835,11512,17169,622659,742,18827,1631926,2149338,11750,15375,538795,866,17603,1564949
1,2001,geoId/01,2309496,11906,17924,625667,881,20051,1633067,2158138,12178,16047,541736,1082,18775,1568320
2,2002,geoId/01,2314370,12295,18790,627711,1017,21121,1633436,2165719,12671,17020,543961,1255,19969,1570843
3,2003,geoId/01,2324069,12766,19849,630763,1145,22321,1637225,2179422,13154,18080,547635,1480,21219,1577854
4,2004,geoId/01,2337857,13189,21240,635252,1315,23599,1643262,2192872,13566,19472,551123,1668,22533,1584510
5,2005,geoId/01,2356423,13575,22635,640478,1438,25015,1653282,2213382,14031,20771,556584,1852,23983,1596161
6,2006,geoId/01,2385480,14095,24049,649939,1595,26575,1669227,2243501,14571,21981,565542,2115,25463,1613829
7,2007,geoId/01,2407275,14658,25332,656468,1719,28148,1680950,2265565,15008,23122,571152,2277,26951,1627055
8,2008,geoId/01,2430257,15089,26597,664051,1901,29959,1692660,2287949,15633,24086,577562,2542,28645,1639481
9,2009,geoId/01,2448159,15629,28094,668803,2075,31688,1701870,2309779,16196,25653,583504,2721,30331,1651374
